,column_code,dataset_name,column_name,business_entity_code
0,electric-vehicle-population-data.VIN (1-10),electric-vehicle-population-data,VIN (1-10),Transportation.Personal-Transportation.Vehicle
1,electric-vehicle-population-data.County,electric-vehicle-population-data,County,Transportation.Jurisdiction
2,electric-vehicle-population-data.City,electric-vehicle-population-data,City,Transportation.Jurisdiction
3,electric-vehicle-population-data.State,electric-vehicle-population-data,State,Transportation.Jurisdiction
4,electric-vehicle-population-data.Postal Code,electric-vehicle-population-data,Postal Code,Transportation.Jurisdiction
5,electric-vehicle-population-data.Model Year,electric-vehicle-population-data,Model Year,Transportation.Personal-Transportation.Vehicle
6,electric-vehicle-population-data.Make,electric-vehicle-population-data,Make,Transportation.Personal-Transportation.Vehicle
7,electric-vehicle-population-data.Model,electric-vehicle-population-data,Model,
8,electric-vehicle-population-data.Electric Vehicle Type,electric-vehicle-population-data,Electric Vehicle Type,Transportation.Green-Report.Clean-Energy
9,electric-vehicle-population-data.Clean Alternative Fuel Vehicle (CAFV) Eligibility,electric-vehicle-population-data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Transportation.Green-Report.Clean-Energy
10,electric-vehicle-population-data.Electric Range,electric-vehicle-population-data,Electric Range,Transportation.Personal-Transportation.Vehicle
11,electric-vehicle-population-data.Base MSRP,electric-vehicle-population-data,Base MSRP,Transportation.Personal-Transportation.Vehicle
12,electric-vehicle-population-data.Legislative District,electric-vehicle-population-data,Legislative District,Transportation.Jurisdiction
13,electric-vehicle-population-data.DOL Vehicle ID,electric-vehicle-population-data,DOL Vehicle ID,Transportation.Personal-Transportation.Registration
14,electric-vehicle-population-data.Vehicle Location,electric-vehicle-population-data,Vehicle Location,Transportation.Personal-Transportation.Location
15,electric-vehicle-population-data.Electric Utility,electric-vehicle-population-data,Electric Utility,Transportation.Green-Report.Clean-Energy
16,electric-vehicle-population-data.2020 Census Tract,electric-vehicle-population-data,2020 Census Tract,Transportation.Jurisdiction
17,border-crossing-entry-data-683ae.Port Name,border-crossing-entry-data-683ae,Port Name,
18,border-crossing-entry-data-683ae.State,border-crossing-entry-data-683ae,State,
19,border-crossing-entry-data-683ae.Port Code,border-crossing-entry-data-683ae,Port Code,
20,border-crossing-entry-data-683ae.Border,border-crossing-entry-data-683ae,Border,
21,border-crossing-entry-data-683ae.Date,border-crossing-entry-data-683ae,Date,
22,border-crossing-entry-data-683ae.Measure,border-crossing-entry-data-683ae,Measure,Research-And-Statistics.Transportation-Finance.Indices
23,border-crossing-entry-data-683ae.Value,border-crossing-entry-data-683ae,Value,Research-And-Statistics.Transportation-Finance.Indices
24,border-crossing-entry-data-683ae.Latitude,border-crossing-entry-data-683ae,Latitude,
25,border-crossing-entry-data-683ae.Longitude,border-crossing-entry-data-683ae,Longitude,
26,border-crossing-entry-data-683ae.Point,border-crossing-entry-data-683ae,Point,
27,electric-vehicle-charging-stations.Station Name,electric-vehicle-charging-stations,Station Name,Transportation.Personal-Transportation.Location
28,electric-vehicle-charging-stations.Street Address,electric-vehicle-charging-stations,Street Address,Transportation.Personal-Transportation.Location
29,electric-vehicle-charging-stations.City,electric-vehicle-charging-stations,City,Transportation.Personal-Transportation.Location
30,electric-vehicle-charging-stations.Access Days Time,electric-vehicle-charging-stations,Access Days Time,Transportation.Waiting-Time
31,electric-vehicle-charging-stations.EV Level1 EVSE Num,electric-vehicle-charging-stations,EV Level1 EVSE Num,
32,electric-vehicle-charging-stations.EV Level2 EVSE Num,electric-vehicle-charging-stations,EV Level2 EVSE Num,
33,electric-vehicle-charging-stations.EV DC Fast Count,electric-vehicle-charging-stations,EV DC Fast Count,
34,electric-vehicle-charging-stations.EV Other Info,electric-vehicle-charging-stations,EV Other Info,
35,electric-vehicle-charging-stations.New Georeferenced Column,electric-vehicle-charging-stations,New Georeferenced Column,Transportation.Personal-Transportation.Location
36,alternative-fueling-station-locations-422f2.Fuel Type Code,alternative-fueling-station-locations-422f2,Fuel Type Code,Energy.Electricity.Energy-Technology.Fuel
37,alternative-fueling-station-locations-422f2.Station Name,alternative-fueling-station-locations-422f2,Station Name,
38,alternative-fueling-station-locations-422f2.Street Address,alternative-fueling-station-locations-422f2,Street Address,
39,alternative-fueling-station-locations-422f2.Intersection Directions,alternative-fueling-station-locations-422f2,Intersection Directions,
40,alternative-fueling-station-locations-422f2.City,alternative-fueling-station-locations-422f2,City,
41,alternative-fueling-station-locations-422f2.State,alternative-fueling-station-locations-422f2,State,
42,alternative-fueling-station-locations-422f2.ZIP,alternative-fueling-station-locations-422f2,ZIP,
43,alternative-fueling-station-locations-422f2.Plus4,alternative-fueling-station-locations-422f2,Plus4,
44,alternative-fueling-station-locations-422f2.Station Phone,alternative-fueling-station-locations-422f2,Station Phone,
45,alternative-fueling-station-locations-422f2.Status Code,alternative-fueling-station-locations-422f2,Status Code,
46,alternative-fueling-station-locations-422f2.Expected Date,alternative-fueling-station-locations-422f2,Expected Date,
47,alternative-fueling-station-locations-422f2.Groups With Access Code,alternative-fueling-station-locations-422f2,Groups With Access Code,
48,alternative-fueling-station-locations-422f2.Access Days Time,alternative-fueling-station-locations-422f2,Access Days Time,
49,alternative-fueling-station-locations-422f2.Cards Accepted,alternative-fueling-station-locations-422f2,Cards Accepted,
50,alternative-fueling-station-locations-422f2.BD Blends,alternative-fueling-station-locations-422f2,BD Blends,
51,alternative-fueling-station-locations-422f2.NG Fill Type Code,alternative-fueling-station-locations-422f2,NG Fill Type Code,
52,alternative-fueling-station-locations-422f2.NG PSI,alternative-fueling-station-locations-422f2,NG PSI,
53,alternative-fueling-station-locations-422f2.EV Level1 EVSE Num,alternative-fueling-station-locations-422f2,EV Level1 EVSE Num,
54,alternative-fueling-station-locations-422f2.EV Level2 EVSE Num,alternative-fueling-station-locations-422f2,EV Level2 EVSE Num,
55,alternative-fueling-station-locations-422f2.EV DC Fast Count,alternative-fueling-station-locations-422f2,EV DC Fast Count,
56,alternative-fueling-station-locations-422f2.EV Other Info,alternative-fueling-station-locations-422f2,EV Other Info,
57,alternative-fueling-station-locations-422f2.EV Network,alternative-fueling-station-locations-422f2,EV Network,
58,alternative-fueling-station-locations-422f2.EV Network Web,alternative-fueling-station-locations-422f2,EV Network Web,
59,alternative-fueling-station-locations-422f2.Geocode Status,alternative-fueling-station-locations-422f2,Geocode Status,
60,alternative-fueling-station-locations-422f2.Latitude,alternative-fueling-station-locations-422f2,Latitude,
61,alternative-fueling-station-locations-422f2.Longitude,alternative-fueling-station-locations-422f2,Longitude,
62,alternative-fueling-station-locations-422f2.Date Last Confirmed,alternative-fueling-station-locations-422f2,Date Last Confirmed,
63,alternative-fueling-station-locations-422f2.ID,alternative-fueling-station-locations-422f2,ID,
64,alternative-fueling-station-locations-422f2.Updated At,alternative-fueling-station-locations-422f2,Updated At,
65,alternative-fueling-station-locations-422f2.Owner Type Code,alternative-fueling-station-locations-422f2,Owner Type Code,
66,alternative-fueling-station-locations-422f2.Federal Agency ID,alternative-fueling-station-locations-422f2,Federal Agency ID,
67,alternative-fueling-station-locations-422f2.Federal Agency Name,alternative-fueling-station-locations-422f2,Federal Agency Name,
68,alternative-fueling-station-locations-422f2.Open Date,alternative-fueling-station-locations-422f2,Open Date,
69,alternative-fueling-station-locations-422f2.Hydrogen Status Link,alternative-fueling-station-locations-422f2,Hydrogen Status Link,
70,alternative-fueling-station-locations-422f2.NG Vehicle Class,alternative-fueling-station-locations-422f2,NG Vehicle Class,
71,alternative-fueling-station-locations-422f2.LPG Primary,alternative-fueling-station-locations-422f2,LPG Primary,
72,alternative-fueling-station-locations-422f2.E85 Blender Pump,alternative-fueling-station-locations-422f2,E85 Blender Pump,
73,alternative-fueling-station-locations-422f2.EV Connector Types,alternative-fueling-station-locations-422f2,EV Connector Types,
74,airports-5e97a.the_geom,airports-5e97a,the_geom,
75,airports-5e97a.OBJECTID,airports-5e97a,OBJECTID,
76,airports-5e97a.Rec_Type,airports-5e97a,Rec_Type,
77,airports-5e97a.Site_Num,airports-5e97a,Site_Num,
78,airports-5e97a.Fac_Type,airports-5e97a,Fac_Type,
79,airports-5e97a.Loc_Id,airports-5e97a,Loc_Id,
80,airports-5e97a.Eff_Date,airports-5e97a,Eff_Date,
81,airports-5e97a.Region_Cod,airports-5e97a,Region_Cod,
82,airports-5e97a.Field_Offi,airports-5e97a,Field_Offi,
83,airports-5e97a.State_Post,airports-5e97a,State_Post,
84,airports-5e97a.State_Name,airports-5e97a,State_Name,
85,airports-5e97a.County,airports-5e97a,County,
86,airports-5e97a.County_Pos,airports-5e97a,County_Pos,
87,airports-5e97a.City,airports-5e97a,City,
88,airports-5e97a.Fac_Name,airports-5e97a,Fac_Name,
89,airports-5e97a.Owner_Type,airports-5e97a,Owner_Type,
90,airports-5e97a.Fac_Use,airports-5e97a,Fac_Use,
91,airports-5e97a.Owner_Name,airports-5e97a,Owner_Name,
92,airports-5e97a.Owner_Addr,airports-5e97a,Owner_Addr,
93,airports-5e97a.Owner_City,airports-5e97a,Owner_City,
94,airports-5e97a.Owner_Phon,airports-5e97a,Owner_Phon,
95,airports-5e97a.Manager_Na,airports-5e97a,Manager_Na,
96,airports-5e97a.Manager_Ad,airports-5e97a,Manager_Ad,
97,airports-5e97a.Manager_Ci,airports-5e97a,Manager_Ci,
98,airports-5e97a.Manager_Ph,airports-5e97a,Manager_Ph,
99,airports-5e97a.Ref_Point_,airports-5e97a,Ref_Point_,
100,airports-5e97a.Ref_Poin_1,airports-5e97a,Ref_Poin_1,
