,dataset_code,business_entity_code
0,electric-vehicle-population-data,Transportation
1,border-crossing-entry-data-683ae,Research-And-Statistics
2,electric-vehicle-charging-stations,Transportation
3,alternative-fueling-station-locations-422f2,Energie
4,airports-5e97a,Aviation
5,average-daily-traffic-counts,Transportation
6,electric-vehicle-population-size-history-by-county,Transportation
7,recalls-data,Automobiles
8,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Administrative
9,sales-tax-collections-by-state,Research-And-Statistics
10,licensed-drivers-by-state-gender-and-age-group,Roadways-And-Bridges
11,subway-lines,Transportation
12,medallion-taxi-initial-inspection-schedule,Transportation
13,vehicle-fuel-type-count-by-zip-code,Transportation
14,percent-of-covid-19-vaccine-recipients-who-live-in-a-svi-priority-zip-code-cumulative-and-,Health-And-Human-Services
15,los-angeles-international-airport-passenger-traffic-by-terminal,Transportation
16,motor-vehicle-registrations-dashboard-data,Roadways-And-Bridges
17,mva-vehicle-sales-counts-by-month-for-calendar-year-2002-2020-up-to-october,Transportation
18,mta-subway-stations-and-complexes,Transportation
19,national-forest-system-trails-feature-layer-f51e8,Geospatial
20,2023-annual-technology-baseline-atb-cost-and-performance-data-for-electricity-generation-t,Energie
21,electric-vehicle-title-and-registration-activity,Transportation
22,bridge-conditions-nys-department-of-transportation,Transportation
23,taxi-and-for-hire-vehicle-fhv-relief-stands,Transportation
24,louisville-metro-ky-animal-service-intake-and-outcome,Geospatial
25,tampa-cv-pilot-traveler-information-message-tim-sample,Automobiles
26,seasonally-adjustment-transportation-data,Research-And-Statistics
27,liquor-brands,Public-Safety
28,land-use-2020-cfac6,Housing-And-Buildings
29,nyc-taxi-zones,Transportation
30,mta-nyct-express-bus-capacity-beginning-2023,Transportation
31,electric-vehicle-population-size-history,Transportation
32,ladot-traffic-counts-summary,Transportation
33,louisville-metro-ky-animal-services-citation-60070,Geospatial
34,wa-tax-exemptions-potential-eligibility-by-make-model-excluding-vehicle-price-criteria,Transportation
35,e-bike-field-study-data,Bicycles-And-Pedestrians
36,highway-performance-monitoring-system-hpms-b7a2f,Roadways-And-Bridges
37,mta-lirr-chargebacks-beginning-2015,Transportation
38,parking-citations-82ba2,Transportation
39,oath-trials-division-case-status,City-Government
40,king-county-metro-vanpool,Transportation-And-Roads
