,code,name,description,instances,sub_class_of
0,Research-And-Statistics,Research-And-Statistics,Financial aspect of Transportation,[],
1,Research-And-Statistics.Government-Transportation,Government-Transportation,Government-related transportation activities and revenues,"['government-transportation-revenue', 'government-transportation-expenditures', 'transportation-services-index']",Research-And-Statistics
2,Research-And-Statistics.Government-Transportation.Government-Revenue,Government-Revenue,Revenue related to government transportation activities,"['gas-tax', 'sales-tax', 'revenue', 'fuel-tax', 'transportation-expenditure']",Research-And-Statistics.Government-Transportation
3,Research-And-Statistics.Government-Transportation.Transportation-Expenditures,Transportation-Expenditures,Expenditures related to government transportation activities,"['government-transportation-expenditures', 'transportation-spending']",Research-And-Statistics.Government-Transportation
4,Research-And-Statistics.Transportation-Finance,Transportation-Finance,Financial aspects and indices related to transportation,"['transportation-revenue', 'transportation-economics', 'fuel', 'finance', 'pipeline-petroleum', 'pipeline']",Research-And-Statistics
5,Research-And-Statistics.Transportation-Finance.Government-Funding,Government-Funding,Government funding sources for transportation,"['highway-trust-fund', 'pipeline-petroleum']",Research-And-Statistics.Transportation-Finance
6,Research-And-Statistics.Transportation-Finance.Indices,Indices,Indices related to transportation activities and revenue,"['freight-transportation-services-index', 'passenger-transportation-services-index', 'transportation-spending']",Research-And-Statistics.Transportation-Finance
7,Research-And-Statistics.Transportation-Finance.Fuel,Fuel,Types of fuel and fuel-related concepts,"['diesel', 'gasoline', 'natural-gas-pipeline', 'liquefied-petroleum']",Research-And-Statistics.Transportation-Finance
8,Research-And-Statistics.Transportation-Finance.Fuel.Special-Fuels,Special-Fuels,Special fuels used in transportation,"['natural-gas-pipeline', 'liquefied-petroleum']",Research-And-Statistics.Transportation-Finance.Fuel
9,Research-And-Statistics.Transportation-Finance.Transportation-Economics,Transportation-Economics,Economic aspects of transportation,"['economic-activity', 'transportation-economics']",Research-And-Statistics.Transportation-Finance
10,Research-And-Statistics.Transportation-Modes,Transportation-Modes,Different modes of transportation,"['passenger', 'personal-vehicles', 'freight', 'passengers', 'buses', 'highways', 'waterways-tonnage']",Research-And-Statistics
11,Research-And-Statistics.Transportation-Modes.Vehicle-Modes,Vehicle-Modes,Motorized vehicle modes of transportation,"['personal-vehicles', 'freight', 'passenger']",Research-And-Statistics.Transportation-Modes
12,Research-And-Statistics.Transportation-Modes.Vehicle-Modes.Road-Vehicles,Road-Vehicles,"Road vehicles, including cars, buses, and trucks","['personal-vehicles', 'passenger', 'trucks']",Research-And-Statistics.Transportation-Modes.Vehicle-Modes
13,Research-And-Statistics.Transportation-Modes.Vehicle-Modes.Transit-Vehicles,Transit-Vehicles,Transit vehicles used for public transport,['buses'],Research-And-Statistics.Transportation-Modes.Vehicle-Modes
