,code,name,description,instances,sub_class_of
0,Public-Safety,Public-Safety,"A system of organizations, processes, and technologies related to maintaining law and order and preserving the safety of the public",[],
1,Public-Safety.Law-Enforcement,Law-Enforcement,Organizations responsible for maintaining law and order and enforcing the law,"['police', 'ct', 'nypd', 'brpd']",Public-Safety
2,Public-Safety.Law-Enforcement.Law-Enforcement-Agency,Law-Enforcement-Agency,A specific agency responsible for law enforcement,"['NYPD', 'CT', 'BRPD']",Public-Safety.Law-Enforcement
3,Public-Safety.Law-Enforcement.Law-Enforcemen-tOfficer,Law-Enforcemen-tOfficer,A person trained and authorized to enforce the law,['police officer'],Public-Safety.Law-Enforcement
4,Public-Safety.Transportation-Safety,Transportation-Safety,Aspects of transportation related to ensuring the safety of the public,"['vision-zero', 'atcems']",Public-Safety
5,Public-Safety.Transportation-Safety.Road-Safety,Road-Safety,Measures taken to ensure safety on roads and highways,['vision-zero'],Public-Safety.Transportation-Safety
6,Public-Safety.Transportation-Safety.Road-Safety.Crash,Crash,An collision or impact between two or more vehicles or objects,[],Public-Safety.Transportation-Safety.Road-Safety
7,Public-Safety.Transportation-Safety.Road-Safety.Moving-Violation,Moving-Violation,An infraction committed while operating a vehicle in motion,"['traffic-ticket', 'b-summons']",Public-Safety.Transportation-Safety.Road-Safety
8,Public-Safety.Transportation-Safety.Road-Safety.Moving-Violation.Speeding-Ticket,Speeding-Ticket,A moving violation ticket issued for exceeding the speed limit,[],Public-Safety.Transportation-Safety.Road-Safety.Moving-Violation
9,Public-Safety.Transportation-Safety.Road-Safety.Moving-Violation.Speeding-Ticket.Speeding,Speeding,Traveling at a speed above the posted limit,[],Public-Safety.Transportation-Safety.Road-Safety.Moving-Violation.Speeding-Ticket
10,Public-Safety.Transportation-Safety.Road-Safety.Vehicle,Vehicle,A machine used for transportation,"['car', 'truck', 'bus']",Public-Safety.Transportation-Safety.Road-Safety
11,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Brand,Brand,A name or identification mark for a manufacturer or seller,"['chevrolet', 'Ford', 'VW']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle
12,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Brand.Automobile-Manufacturer,Automobile-Manufacturer,"A company that designs, manufactures, and sells cars","['General Motors', 'Ford Motors', 'VW']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Brand
13,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Brand.Automobile-Manufacturer.Assembly-Plant,Assembly-Plant,A factory where vehicles are assembled,[],Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Brand.Automobile-Manufacturer
14,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine,Engine,A machine that converts fuel into mechanical power,"['gasoline engine', 'diesel engine']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle
15,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel,Fuel,A substance used to power an engine,"['gasoline', 'diesel']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine
16,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel.Alcohol-Fuel,Alcohol-Fuel,Fuel derived from alcohol,"['ethanol', 'methanol']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel
17,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel.Alcohol-Fuel.Grain,Grain,A plant source used for making alcohol fuel,"['corn', 'wheat']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel.Alcohol-Fuel
18,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel.Petroleum-Fuel,Petroleum-Fuel,Fuel derived from crude oil,"['diesel fuel', 'gasoline']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel
19,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel.Petroleum-Fuel.Gasoline-Station,Gasoline-Station,A facility where motorists can purchase gasoline,[],Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Engine.Fuel.Petroleum-Fuel
20,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Safety-Agency,Safety-Agency,An organization responsible for ensuring public safety,"['good-systems', 'ATCEMS']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle
21,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Safety-Agency.First-Responder,First-Responder,A person who is among the first to arrive and provide assistance in an emergency,"['paramedic', 'emt']",Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Safety-Agency
22,Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Safety-Agency.First-Responder.Fire-Fighter,Fire-Fighter,A person trained to put out fires,[],Public-Safety.Transportation-Safety.Road-Safety.Vehicle.Safety-Agency.First-Responder
