,code,name,description,instances,sub_class_of
0,Public-And-Transit,Public-And-Transit,"A system of transport that is available for use by the general public, typically operated by a government agency or a public authority",[],
1,Public-And-Transit.Transit-Agency,Transit-Agency,"An organization responsible for planning, financing, and operating public transport services",[],Public-And-Transit
2,Public-And-Transit.Transit-Agency.Ridership-Data,Ridership-Data,Data related to the number of passengers using the transit system,[],Public-And-Transit.Transit-Agency
3,Public-And-Transit.Transit-Agency.Service-Data,Service-Data,Data related to transit services offered,[],Public-And-Transit.Transit-Agency
4,Public-And-Transit.Transit-Agency.Service-Data.Schedule-Data,Schedule-Data,Data related to transit schedules,[],Public-And-Transit.Transit-Agency.Service-Data
5,Public-And-Transit.Transit-Agency.Service-Data.Routing-Data,Routing-Data,Data related to transit routes and stops,[],Public-And-Transit.Transit-Agency.Service-Data
6,Public-And-Transit.Transit-Vehicle,Transit-Vehicle,A vehicle used for public transport,[],Public-And-Transit
7,Public-And-Transit.Transit-Vehicle.Bus,Bus,A road vehicle designed to carry many passengers,[],Public-And-Transit.Transit-Vehicle
8,Public-And-Transit.Transit-Vehicle.Bus.Seating-Capacities,Seating-Capacities,Data related to the seating capacities of the bus,[],Public-And-Transit.Transit-Vehicle.Bus
9,Public-And-Transit.Transit-Vehicle.Bus.Revenue-Data,Revenue-Data,Data related to the revenue generated by the bus,[],Public-And-Transit.Transit-Vehicle.Bus
10,Public-And-Transit.Transit-Vehicle.Bus.Revenue-Data.Revenue-Hours,Revenue-Hours,Data related to the number of hours the bus generates revenue,[],Public-And-Transit.Transit-Vehicle.Bus.Revenue-Data
11,Public-And-Transit.Transit-Vehicle.Bus.Revenue-Data.Revenue-Miles,Revenue-Miles,Data related to the number of miles the bus generates revenue,[],Public-And-Transit.Transit-Vehicle.Bus.Revenue-Data
12,Public-And-Transit.Transit-Vehicle.Train,Train,A road vehicle designed to carry many passengers over longer distances,[],Public-And-Transit.Transit-Vehicle
13,Public-And-Transit.Transit-Vehicle.Train.Safety-Data,Safety-Data,Data related to train safety,[],Public-And-Transit.Transit-Vehicle.Train
14,Public-And-Transit.Transit-Vehicle.Train.Collision-Data,Collision-Data,Data related to train collisions,[],Public-And-Transit.Transit-Vehicle.Train
15,Public-And-Transit.Transit-Vehicle.Train.Equity-Data-Hub,Equity-Data-Hub,"Data related to transit equity, available through an Equity Data Hub",[],Public-And-Transit.Transit-Vehicle.Train
16,Public-And-Transit.Security,Security,"Procedures, devices, and personnel for protecting the public and the transit system",[],Public-And-Transit
17,Public-And-Transit.Security.Access-Control,Access-Control,Systems and procedures for controlling access to the transit system,[],Public-And-Transit.Security
18,Public-And-Transit.Security.CCTV,CCTV,Closed-circuit television systems used for monitoring the transit system,[],Public-And-Transit.Security
19,Public-And-Transit.Service,Service,Provision of transit services to passengers,[],Public-And-Transit
20,Public-And-Transit.Service.Collision-Data,Collision-Data,Data related to transit collisions,[],Public-And-Transit.Service
21,Public-And-Transit.Service.Schedule-Data,Schedule-Data,Data related to transit schedules,[],Public-And-Transit.Service
22,Public-And-Transit.Service.Route-Data,Route-Data,Data related to transit routes and stops,[],Public-And-Transit.Service
23,Public-And-Transit.Service.Unlinked-Passenger-Trips-Data,Unlinked-Passenger-Trips-Data,"Data related to unlinked passenger trips, including boardings and alightings",[],Public-And-Transit.Service
