,code,name,description,instances,sub_class_of
0,Social-Services,Social-Services,Organizations providing social support and services for specific populations,[],
1,Social-Services.Older-Adult-Services,Older-Adult-Services,Social services specifically for older adults,[],Social-Services
2,Social-Services.Older-Adult-Services.Adult-Care-Givers,Adult-Care-Givers,Providers of care and assistance to older adults,[],Social-Services.Older-Adult-Services
3,Social-Services.Older-Adult-Services.Department-For-The-Aging,Department-For-The-Aging,Government department responsible for older adult services,"['nyc-aging', 'dfta']",Social-Services.Older-Adult-Services
4,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers,Senior-Centers,Facilities that provide social and recreational activities for older adults,[],Social-Services.Older-Adult-Services.Department-For-The-Aging
5,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Older-Adult-Centers,Older-Adult-Centers,Community center specifically for older adults,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers
6,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Older-Adult-Centers.Program-Name,Program-Name,Name of the center,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Older-Adult-Centers
7,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Older-Adult-Centers.Program-Address,Program-Address,The address of the center,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Older-Adult-Centers
8,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Congregate-Meals,Congregate-Meals,Preparation and serving of meals to older adults in a communal setting,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers
9,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Congregate-Meals.Program-Name,Program-Name,Name of the meal program,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Congregate-Meals
10,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Congregate-Meals.Program-Phone,Program-Phone,Phone number of the meal program,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Congregate-Meals
11,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Home-Delivered-Meals,Home-Delivered-Meals,Delivery of meals to older adults at their residence,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers
12,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Home-Delivered-Meals.Program-Name,Program-Name,Name of the meal delivery program,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Home-Delivered-Meals
13,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Home-Delivered-Meals.Program-Phone,Program-Phone,Phone number of the meal delivery program,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Home-Delivered-Meals
14,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Transportation,Transportation,Transportation services for older adults,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers
15,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Transportation.Abuse-Prevention,Abuse-Prevention,Transportation services for safeguarding older adults from abuse,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Transportation
16,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Transportation.Home-Health-Care,Home-Health-Care,Transportation for older adults to and from home health care appointments,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Transportation
17,Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Transportation.Legal-Services,Legal-Services,Transportation for older adults to legal appointments,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Senior-Centers.Transportation
18,Social-Services.Older-Adult-Services.Department-For-The-Aging.Program-Address,Program-Address,The physical location of a social service program,[],Social-Services.Older-Adult-Services.Department-For-The-Aging
19,Social-Services.Older-Adult-Services.Department-For-The-Aging.Budget,Budget,The financial resources of a social service organization,[],Social-Services.Older-Adult-Services.Department-For-The-Aging
20,Social-Services.Older-Adult-Services.Department-For-The-Aging.Budget.Federal,Federal,Government grants,['oac'],Social-Services.Older-Adult-Services.Department-For-The-Aging.Budget
21,Social-Services.Older-Adult-Services.Department-For-The-Aging.Budget.State,State,Government grants from the state,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Budget
22,Social-Services.Older-Adult-Services.Department-For-The-Aging.Budget.Private,Private,Funds from private donors and organizations,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Budget
23,Social-Services.Older-Adult-Services.Department-For-The-Aging.Provider,Provider,,[],Social-Services.Older-Adult-Services.Department-For-The-Aging
24,Social-Services.Older-Adult-Services.Department-For-The-Aging.Provider.Provider-Name,Provider-Name,Name of a social service provider,[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Provider
25,Social-Services.Older-Adult-Services.Department-For-The-Aging.Provider.Provider-Type,Provider-Type,"Type of provider (government, nonprofit, for-profit)",[],Social-Services.Older-Adult-Services.Department-For-The-Aging.Provider
