,X,Y,OBJECTID,Incidentid,DateTime,Year,StreetName,CrossStreet,Distance,JunctionRelation,Totalinjuries,Totalfatalities,Injuryseverity,Collisionmanner,Lightcondition,Weather,SurfaceCondition,Unittype_One,Age_Drv1,Gender_Drv1,Traveldirection_One,Unitaction_One,Violation1_Drv1,AlcoholUse_Drv1,DrugUse_Drv1,Unittype_Two,Age_Drv2,Gender_Drv2,Traveldirection_Two,Unitaction_Two,Violation1_Drv2,AlcoholUse_Drv2,DrugUse_Drv2,Latitude,Longitude
0,-111.95221,33.42191,1,2598369,2012/01/01 07:25:00+00,2012,University Dr,Hardy Dr,0.0,Intersection Non Interchange,6,0,Non Incapacitating Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Driver,23,Female,West,Making Left Turn,Inattention Distraction,Alcohol,No Apparent Influence,Driver,20.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42191,-111.95221
1,-111.93769,33.42319,2,2593420,2012/01/01 11:45:00+00,2012,7th St,Myrtle Ave,139.92,Not Junction Related,0,0,No Injury,Single Vehicle,Dark Lighted,Clear,Dry,Driver,255,,East,Backing,Unknown,No Apparent Influence,No Apparent Influence,,,,,,,,,33.42319,-111.93769
2,-111.89196,33.41842,3,2588493,2012/01/01 18:07:00+00,2012,Price Rd,Orange St,0.0,Intersection Interchange,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,26,Male,South,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,31.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41842,-111.89196
3,-111.94791,33.41779,4,2584449,2012/01/02 00:03:00+00,2012,11th St,Judd St,200.112,Not Junction Related,0,0,No Injury,Sideswipe Opposite Direction,Daylight,Clear,Dry,Driver,255,,Unknown,Unknown,Unknown,No Apparent Influence,No Apparent Influence,Driverless,,,East,Properly Parked,,,,33.41779,-111.94791
4,-111.92847,33.3495600000001,5,2592211,2012/01/02 00:12:00+00,2012,Rural Rd,Elliot Rd,135.168,Intersection Related Non Interchange,1,0,Possible Injury,Sideswipe Same Direction,Dusk,Clear,Dry,Driver,59,Male,South,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,20.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.34956,-111.92847
5,-111.94037,33.32471,6,2595894,2012/01/02 00:17:00+00,2012,Warner Ranch Dr,Dateland Dr,86.064,Not Junction Related,1,0,Incapacitating Injury,Single Vehicle,Daylight,Clear,Dry,Driver,25,Male,West,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,,,,,,,,,33.32471,-111.94037
6,-111.92631,33.39351,7,2599102,2012/01/02 02:48:00+00,2012,Rural Rd,Southern Ave,200.112,Driveway,1,0,Possible Injury,Other,Dark Lighted,Clear,Dry,Pedalcyclist,25,Female,North,Other,Other,No Apparent Influence,No Apparent Influence,Driver,56.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39351,-111.92631
7,-111.92371,33.40779,8,2599105,2012/01/02 02:56:00+00,2012,Jentilly Ln,Broadway Rd,104.016,Intersection Related Non Interchange,0,0,No Injury,Single Vehicle,Dark Lighted,Clear,Dry,Driver,53,Male,South,Going Straight Ahead,Speed To Fast For Conditions,Alcohol,No Apparent Influence,,,,,,,,,33.40779,-111.92371
8,-111.89032,33.40747,9,2584451,2012/01/02 03:30:00+00,2012,Price Rd,Broadway Rd,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,255,,North,Making Left Turn,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Driver,19.0,Female,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.40747,-111.89032
9,-111.90684,33.3491700000001,10,2598841,2012/01/02 18:20:00+00,2012,Elliot Rd,Los Feliz Dr,0.0,Intersection Interchange,1,0,Possible Injury,Left Turn,Daylight,Clear,Dry,Driver,38,Male,West,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,Driver,58.0,Female,Southeast,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.34917,-111.90684
