,Zip Code,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related
0,78726.0,9,66096,16,20,3,4,2,0.0,1,0,0,1050,349900,0.0,118,0.0,0,8,0.0,70,0.0,99,17.0,375,20,55,2,786,40
1,,19,52431,16,35,8,7,8,24.0,10,10,2,950,216700,0.6,28,2.0,8,27,5.0,74,22.0,98,58.0,65,31,74,29,668,38
2,78724.0,38,35711,29,63,8,8,28,85.0,16,38,20,962,105700,1.5,48,28.0,15,22,42.0,78,84.0,100,96.0,208,37,46,21,786,40
3,78617.0,18,43957,12,67,10,15,23,,11,1,8,1041,100600,0.4,34,,7,24,,63,,99,,101,74,21,16,865,42
4,78701.0,20,68152,16,14,10,9,0,7.0,7,9,0,1590,338300,0.8,134,0.0,7,12,1.0,29,7.0,90,30.0,12,115,59,97,433,23
5,78702.0,33,34734,18,56,14,11,10,21.0,41,39,2,766,175400,2.2,15,0.0,39,51,2.0,80,15.0,99,67.0,3,73,207,96,590,39
6,78703.0,10,92606,9,9,6,4,4,3.0,11,0,0,1183,621900,0.4,1,0.0,8,25,0.0,51,2.0,92,13.0,7,65,104,67,629,25
7,78704.0,21,50248,7,30,9,7,3,13.0,12,13,1,940,338200,0.4,9,0.0,11,26,2.0,76,13.0,99,33.0,33,40,126,76,629,33
8,78705.0,66,11917,21,17,4,14,2,39.0,8,1,0,1088,292500,0.3,2,1.0,6,23,10.0,57,38.0,94,79.0,49,70,40,100,511,30
9,78717.0,3,93305,25,14,4,5,9,7.0,1,0,0,1018,243200,0.1,230,0.0,1,9,0.0,70,6.0,98,67.0,638,2,33,3,708,47
10,78721.0,32,32131,36,52,17,16,14,61.0,26,47,10,870,121000,2.0,35,12.0,25,39,22.0,84,57.0,100,95.0,36,62,113,87,668,40
