,Technology,TechDetail,TechDetail2,Metric,ResourceDetail,ResourceDetail1,Parameter,ParameterDetail,Value,Units,$Year,Scenario,Year,Description,Source,atb_year,Notes
0,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Lithium-ion Battery Cabinets,215.3245653,$/kWh,2020,Moderate,2021,,,2022,
1,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Battery Central Inverter,18.6266925,$/kWh,2020,Moderate,2021,,,2022,
2,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Structural BOS,3.16827806,$/kWh,2020,Moderate,2021,,,2022,
3,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Electrical BOS,37.22137455,$/kWh,2020,Moderate,2021,,,2022,
4,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Installation Labor & Equipment,16.6315377,$/kWh,2020,Moderate,2021,,,2022,
5,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,EPC Overhead,10.34959981,$/kWh,2020,Moderate,2021,,,2022,
6,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Sale Tax,16.03732376,$/kWh,2020,Moderate,2021,,,2022,
7,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,EPC Cost,317.3593717,$/kWh,2020,Moderate,2021,,,2022,
8,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Land acquisition,0.0,$/kWh,2020,Moderate,2021,,,2022,
9,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Permitting fee,0.736311562,$/kWh,2020,Moderate,2021,,,2022,
10,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Interconnection fee,5.041223534,$/kWh,2020,Moderate,2021,,,2022,
11,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Contingency,9.393837292,$/kWh,2020,Moderate,2021,,,2022,
12,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Developer overhead,19.04275632,$/kWh,2020,Moderate,2021,,,2022,
13,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,EPC/developer net profit,17.29079328,$/kWh,2020,Moderate,2021,,,2022,
14,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Developer cost,51.50492199,$/kWh,2020,Moderate,2021,,,2022,
15,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Total energy storage system cost,368.8642937,$/kWh,2020,Moderate,2021,,,2022,
16,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Lithium-ion Battery Cabinets,861.2982612,$/kW,2020,Moderate,2021,,,2022,
17,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Battery Central Inverter,74.50677,$/kW,2020,Moderate,2021,,,2022,
18,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Structural BOS,12.67311224,$/kW,2020,Moderate,2021,,,2022,
19,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Electrical BOS,148.8854982,$/kW,2020,Moderate,2021,,,2022,
20,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Installation Labor & Equipment,66.5261508,$/kW,2020,Moderate,2021,,,2022,
21,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,EPC Overhead,41.39839925,$/kW,2020,Moderate,2021,,,2022,
22,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Sale Tax,64.14929503,$/kW,2020,Moderate,2021,,,2022,
23,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,EPC Cost,1269.437487,$/kW,2020,Moderate,2021,,,2022,
24,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Land acquisition,0.0,$/kW,2020,Moderate,2021,,,2022,
25,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Permitting fee,2.94524625,$/kW,2020,Moderate,2021,,,2022,
26,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Interconnection fee,20.16489413,$/kW,2020,Moderate,2021,,,2022,
27,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Contingency,37.57534917,$/kW,2020,Moderate,2021,,,2022,
28,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Developer overhead,76.17102528,$/kW,2020,Moderate,2021,,,2022,
29,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,EPC/developer net profit,69.16317312,$/kW,2020,Moderate,2021,,,2022,
30,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Developer cost,206.019688,$/kW,2020,Moderate,2021,,,2022,
31,Battery Storage,Utility Scale,,,,,Capital Cost 60MW 240MWh,Total energy storage system cost,1475.457175,$/kW,2020,Moderate,2021,,,2022,
32,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,Lithium-ion Battery Cabinets,219.6198488,$/kWh,2020,Moderate,2021,,,2022,
33,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,Battery Central Inverter,18.6266925,$/kWh,2020,Moderate,2021,,,2022,
34,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,Structural BOS,9.992279698,$/kWh,2020,Moderate,2021,,,2022,
35,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,Electrical BOS,44.64379256,$/kWh,2020,Moderate,2021,,,2022,
36,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,Installation Labor & Equipment,56.30508941,$/kWh,2020,Moderate,2021,,,2022,
37,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,EPC Overhead,30.7747101,$/kWh,2020,Moderate,2021,,,2022,
38,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,Sale Tax,17.81622633,$/kWh,2020,Moderate,2021,,,2022,
39,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,EPC Cost,397.7786393,$/kWh,2020,Moderate,2021,,,2022,
40,Battery Storage,Commercial Scale,,,,,Capital Cost 600kW 2400kWh,Land acquisition,0.0,$/kWh,2020,Moderate,2021,,,2022,
