,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
0,2,01/01/2022 12:14:21 AM,01/01/2022 12:15:33 AM,N,1,42,42,1,0.44,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1,0.0
1,1,01/01/2022 12:20:55 AM,01/01/2022 12:29:38 AM,N,1,116,41,1,2.1,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2,1,0.0
2,1,01/01/2022 12:57:02 AM,01/01/2022 01:13:14 AM,N,1,41,140,1,3.7,14.5,3.25,0.5,4.6,0.0,,0.3,23.15,1,1,2.75
3,2,01/01/2022 12:07:42 AM,01/01/2022 12:15:57 AM,N,1,181,181,1,1.69,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,0.0
4,2,01/01/2022 12:07:50 AM,01/01/2022 12:28:52 AM,N,1,33,170,1,6.26,22.0,0.5,0.5,5.21,0.0,,0.3,31.26,1,1,2.75
5,1,01/01/2022 12:47:57 AM,01/01/2022 12:54:09 AM,N,1,150,210,1,1.3,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1,0.0
6,2,01/01/2022 12:13:38 AM,01/01/2022 12:33:50 AM,N,1,66,67,1,6.47,22.5,0.5,0.5,0.0,0.0,,0.3,23.8,2,1,0.0
7,2,01/01/2022 12:43:00 AM,01/01/2022 12:49:20 AM,N,1,40,195,1,1.15,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1,0.0
8,2,01/01/2022 12:41:04 AM,01/01/2022 12:47:04 AM,N,1,112,80,1,1.3,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1,0.0
9,2,01/01/2022 12:51:07 AM,01/01/2022 01:09:31 AM,N,1,256,186,1,4.75,17.0,0.5,0.5,4.21,0.0,,0.3,25.26,1,1,2.75
10,2,12/31/2021 11:44:03 PM,12/31/2021 11:57:25 PM,N,1,75,4,1,6.03,18.5,0.5,0.5,1.5,0.0,,0.3,24.05,1,1,2.75
11,2,01/01/2022 12:06:59 AM,01/01/2022 12:21:24 AM,N,1,41,116,1,2.82,12.5,0.5,0.5,0.0,0.0,,0.3,13.8,2,1,0.0
12,2,01/01/2022 12:47:35 AM,01/01/2022 12:50:20 AM,N,1,75,74,1,0.7,4.5,0.5,0.5,1.45,0.0,,0.3,7.25,1,1,0.0
13,2,01/01/2022 12:10:25 AM,01/01/2022 11:10:29 PM,N,1,74,260,1,5.48,17.5,0.5,0.5,0.0,6.55,,0.3,25.35,2,1,0.0
14,2,01/01/2022 12:52:27 AM,01/01/2022 01:25:16 AM,N,1,74,231,1,7.54,26.5,0.5,0.5,6.11,0.0,,0.3,36.66,1,1,2.75
15,1,01/01/2022 12:47:31 AM,01/01/2022 12:49:51 AM,N,1,74,42,1,0.9,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,3,1,0.0
16,1,01/01/2022 12:59:10 AM,01/01/2022 01:21:02 AM,N,1,41,94,1,6.2,21.5,0.5,0.5,0.0,0.0,,0.3,22.8,1,1,0.0
17,2,01/01/2022 12:12:00 AM,01/01/2022 12:26:26 AM,N,5,213,174,1,5.57,20.0,0.0,0.0,0.0,0.0,,0.3,20.3,2,2,0.0
