,Technology,TechDetail,Metric,Parameter,ParameterDetail,Value,Units,$Year,Scenario,Year,atb_year,Description,ResourceDetail,ResourceDetail2,Source,Notes,TechDetail2
0,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Lithium-ion Battery Cabinets,270.22,$/kWh,2021,Base,2022,2023,,,,,,
1,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Battery Central Inverter,24.38,$/kWh,2021,Base,2022,2023,,,,,,
2,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Structural BOS,2.77,$/kWh,2021,Base,2022,2023,,,,,,
3,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Electrical BOS,44.84,$/kWh,2021,Base,2022,2023,,,,,,
4,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Installation Labor & Equipment,12.18,$/kWh,2021,Base,2022,2023,,,,,,
5,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,EPC Overhead,11.73,$/kWh,2021,Base,2022,2023,,,,,,
6,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Sale Tax,18.71,$/kWh,2021,Base,2022,2023,,,,,,
7,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total EPC Cost,384.83,$/kWh,2021,Base,2022,2023,,,,,,
8,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Land acquisition,0.0,$/kWh,2021,Base,2022,2023,,,,,,
9,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Permitting fee,0.77,$/kWh,2021,Base,2022,2023,,,,,,
10,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Interconnection fee,5.69,$/kWh,2021,Base,2022,2023,,,,,,
11,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Contingency,10.95,$/kWh,2021,Base,2022,2023,,,,,,
12,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Developer overhead,23.09,$/kWh,2021,Base,2022,2023,,,,,,
13,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,EPC/developer net profit,20.94,$/kWh,2021,Base,2022,2023,,,,,,
14,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total Developer cost,61.45,$/kWh,2021,Base,2022,2023,,,,,,
15,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total energy storage system cost,446.28,$/kWh,2021,Base,2022,2023,,,,,,
16,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Lithium-ion Battery Cabinets,327.29,$/kWh,2021,Base,2022,2023,,,,,,
17,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Battery Central Inverter,24.38,$/kWh,2021,Base,2022,2023,,,,,,
18,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Structural BOS,17.22,$/kWh,2021,Base,2022,2023,,,,,,
19,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Electrical BOS,69.16,$/kWh,2021,Base,2022,2023,,,,,,
20,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Installation Labor & Equipment,66.15,$/kWh,2021,Base,2022,2023,,,,,,
21,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,EPC Overhead,48.27,$/kWh,2021,Base,2022,2023,,,,,,
22,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Sale Tax,24.16,$/kWh,2021,Base,2022,2023,,,,,,
23,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total EPC Cost,576.6299999999999,$/kWh,2021,Base,2022,2023,,,,,,
24,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Land acquisition,0.0,$/kWh,2021,Base,2022,2023,,,,,,
25,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Permitting fee,7.22,$/kWh,2021,Base,2022,2023,,,,,,
26,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Interconnection fee,6.41,$/kWh,2021,Base,2022,2023,,,,,,
27,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Contingency,15.07,$/kWh,2021,Base,2022,2023,,,,,,
28,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Developer overhead,34.88,$/kWh,2021,Base,2022,2023,,,,,,
29,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,EPC/developer net profit,31.57,$/kWh,2021,Base,2022,2023,,,,,,
30,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total Developer cost,95.14,$/kWh,2021,Base,2022,2023,,,,,,
31,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total energy storage system cost,671.7699999999999,$/kWh,2021,Base,2022,2023,,,,,,
32,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Battery Pack,3533.0,$,2021,Base,2022,2023,,,,,,
33,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Inverter,2294.0,$,2021,Base,2022,2023,,,,,,
34,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,BOS,1567.0,$,2021,Base,2022,2023,,,,,,
35,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Supply Chain Costs,478.0,$,2021,Base,2022,2023,,,,,,
36,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Sales Tax,392.0,$,2021,Base,2022,2023,,,,,,
37,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Install Labor & Equipments,1081.0,$,2021,Base,2022,2023,,,,,,
38,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Engineering Fee,95.0,$,2021,Base,2022,2023,,,,,,
39,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,PII,1633.0,$,2021,Base,2022,2023,,,,,,
40,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Sales & Marketing,3851.0,$,2021,Base,2022,2023,,,,,,
41,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Overhead & Profit,3866.0,$,2021,Base,2022,2023,,,,,,
42,Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Total,18791.0,$,2021,Base,2022,2023,,,,,,
43,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Lithium-ion Battery Cabinets,1080.88,$/kW,2021,Base,2022,2023,,,,,,
44,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Battery Central Inverter,97.52,$/kW,2021,Base,2022,2023,,,,,,
45,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Structural BOS,11.08,$/kW,2021,Base,2022,2023,,,,,,
46,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Electrical BOS,179.36,$/kW,2021,Base,2022,2023,,,,,,
47,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Installation Labor & Equipment,48.72,$/kW,2021,Base,2022,2023,,,,,,
48,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,EPC Overhead,46.92,$/kW,2021,Base,2022,2023,,,,,,
49,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Sale Tax,74.84,$/kW,2021,Base,2022,2023,,,,,,
50,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total EPC Cost,1539.3200000000002,$/kW,2021,Base,2022,2023,,,,,,
51,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Land acquisition,0.0,$/kW,2021,Base,2022,2023,,,,,,
52,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Permitting fee,3.08,$/kW,2021,Base,2022,2023,,,,,,
53,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Interconnection fee,22.76,$/kW,2021,Base,2022,2023,,,,,,
54,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Contingency,43.8,$/kW,2021,Base,2022,2023,,,,,,
55,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Developer overhead,92.36,$/kW,2021,Base,2022,2023,,,,,,
56,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,EPC/developer net profit,83.76,$/kW,2021,Base,2022,2023,,,,,,
57,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total Developer cost,245.8,$/kW,2021,Base,2022,2023,,,,,,
