,_id,certification_type,firm_name,owners,work_description,naics_codes,physical_address,mailing_address,phone_number,fax_number,email_address,website
0,229872,SBE,"12 Bravo, INC","Glenn Geary, Aaron Brentzel, Scott Antosh",Construction Inspection and Construction Contractor,"237110, 237130, 237990, 541330","10891 Route 993, Suite 1
Irwin, PA 15642","10891 Route 993, Suite 1
Irwin, PA 15642",412-977-5743,,glenn@12bravocc.com,http://www.12BravoCC.com
1,229873,DBE,3 Rivers Pipe Profiling,Victoria Hunter,3 Rivers Pipe Profiling offers remote CCTV and Lase4r Profiling inspetion servies in ompliane with PennDOT and PA Trnpike speifiations for  Year Design Life stormwater drainage pipe from 8 to 48 inhes in diameter throghot the Commonwealth of Pennsylvania.,541990,"8 Taper Dr.
Pittsburgh, PA 15241","8 Taper Dr.
Pittsburgh, PA 15241",412-841-4876,412-308-6767,victoria@3riverspipe.com,http://www.3riverspipe.com
2,229874,DBE,3D Plastering and Texturing Limited Liability Company,Andrew Luster,Provides plastering textring drywall finishing onrete work arpentry roofing inlding arhitetral shingles and flat roofs masonry siding inslation and eletrial.  Also provides general ontrating and all phases of onstrtion.,238130 238140 238170 238310 238320 238330 238350 238910 238990 423310 424610,"83 Gearing Avene
Pittsburgh, PA 15210","83 Gearing Avene
Pittsburgh, PA 15210",412-287-0449,,aluster101@gmail.com,
3,229875,DBE,6 Degrees Consulting Inc.,Mr Robert Lawson,Sales/marketing/bsiness development/onstrtion management/projet management.,236220 238130 238150 238160 238170 238190 238220 238310 238320 238350 238390 327390 423720 425120 484210 484220 532412 541611 541613,"353 Heberton Street
Site A
Pittsburgh, PA 15206","353 Heberton Street
Site A
Pittsburgh, PA 15206",412-361-0157,412-361-0131,blawson@6degreesconsulting.net,http://www.6degreesconsulting.net
4,229876,DBE,925 Demolition LLC,Jody Little,Interior and exterior demolition debris lean p and site preparation work.,238910,"47 Basman St
Pittsburgh, PA 15210","47 Basman St
Pittsburgh, PA 15210",412-537-8241,,jodylittle925@gmail.com,
5,229877,DBE,A For the People Insurance Agency Inc.,William Hawthorne,Insrane ageny - bsiness home ato life and health.,524210,"54 Wylie Avene
Pittsburgh, PA 15219","54 Wylie Avene
Pittsburgh, PA 15219",412-621-5581,412-681-5506,bill@aforthepeople.com,http://www.aforthepeople.com
6,229878,DBE,A Touch Above the Rest Commercial Cleaning,Gerri Germany,Commerial and residential leaing servies along with post onstrtion leaning.,238990 561720 561790,"5 Norma Hill Drive
Pittsburgh, PA 15201","5 Norma Hill Drive
Pittsburgh, PA 15201",412-482-8911,412-781-6905,gerrig1226@aol.com,
7,229879,DBE,A&A Consultants Inc.,Mr. Elfaith Ahmed,"Consulting engineering-geotechnical, structural,environmental  and civil engineering; construction management  and inspection; lab testing.",236210 236220 237110 237990 238910 541330 541380,"1800 Pine Hollow Road
Site 4A
McKees Rocks, PA 15136","1800 Pine Hollow Road
Site 4A
McKees Rocks, PA 15136",412-323-2200,412-323-2202,petroff@aaconsultinc.com,http://www.aaconsultinc.com
8,229880,DBE,A&F ENGINEERING LLC,Kelly Magill,Eletrial mehanial and plmbing engineering.,541330,"548 North Lewis Rn Road
Clairton, PA 15025","548 North Lewis Rn Road
Clairton, PA 15025",412-812-3574,412-405-8446,kmagill@af-engineering.net,
9,229881,DBE,A. P. Enterprise LLC,Harrison Purdy,Offie spplies offie eqipment and faility maintenane 44 449 449 449 776 77 NAICS CODES ARE OFF,425120 541611,"4 E Jefferson St
Pittsburgh, PA 15212","4 E Jefferson St
Pittsburgh, PA 15212",412-206-1177,,HarrisonPurdy@apEnterprisellc.org,http://www.apenterprisellc.com
