,ID,Time,distance_av (headway),pos_x_av_f,pos_y_av_f,pos_x_av_m,pos_y_av_m,heading_av_m,dim_x_av,dim_y_av,dim_z_av,speed_av,acc_av,pos_x_sv1_f,pos_y_sv1_f,pos_x_sv1_m,pos_y_sv1_m,heading_sv1,dim_x_sv1,dim_y_sv1,dim_z_sv1,speed_sv1,acc_sv1,pos_x_sv2_f,pos_y_sv2_f,pos_x_sv2_m,pos_y_sv2_m,heading_sv2,dim_x_sv2,dim_y_sv2,dim_z_sv2,speed_sv2,acc_sv2,closest_distance_longitudinal (gap),closest_distance_lateral,map_origin_x,map_origin_y,map_origin_z,road_origin_x_m,road_origin_y_m,road_origin_x_ecef,road_origin_y_ecef,lanelet_id_av,lane_id_av,lanelet_id_sv1,lane_id_sv1,lanelet_id_sv2,lane_id_sv2,total_lanes,run number,sub run number,date,time of day,sub run start time,route starting point(rs),route ending point(re),distance,maplink,annual traffic density,roadway type,road condition,speed limits,type of vehicle,aggressiveness,following distance,special notes,gap level
0,1,0.2,12.57148845,630.2692657,0.7928892038,-569.7172988,58.3395115,118.685797,4.7925086,2.3592641,2.2596869,6.654142833,0.0,642.7890681,-0.3459718467,-572.3455504,70.2276511,87.66449784,5,2,1.6,8.37172001,0.0,606.0175319,-0.4032105328,-549.608572,47.25596765,173.1249747,5,2,1.6,8.353073625,0.0,7.775418714,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,3406,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
1,1,0.3,12.66840869,630.9949332,0.8054227654,-570.0497534,58.98455054,115.6546725,4.7925086,2.3592641,2.2596869,6.622872334,0.0,643.6110027,-0.3450133258,-572.3182849,71.05822436,86.69584224,5,2,1.6,8.484770816,0.0,606.8468084,-0.439467413,-550.4295485,47.37552786,173.1158563,5,2,1.6,8.225281379,0.0,7.90939251,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,3406,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
2,1,0.4,12.5739176,631.9412285,0.8930836217,-570.2703156,59.66091512,112.2923953,4.7925086,2.3592641,2.2596869,6.554292629,0.0,644.4540658,-0.344796845,-572.2737239,71.90016239,85.91564515,5,2,1.6,8.608383087,0.0,607.6631113,-0.4760493499,-551.2383854,47.49246716,173.0284274,5,2,1.6,8.084393388,0.0,7.8299724,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,5700,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
3,1,0.5,12.8404604,632.5168785,0.7865698193,-570.5023194,60.1967665,111.4340148,4.7925086,2.3592641,2.2596869,6.268002644,0.0,645.3081297,-0.3364541701,-572.2203666,72.75260316,85.35498378,5,2,1.6,8.73201788,0.0,608.4652644,-0.5119547399,-552.0328926,47.60680311,172.8835463,5,2,1.6,7.943389783,0.0,8.103439945,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,5700,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
4,1,0.6,12.91348253,633.3073476,0.7526496046,-570.7103974,60.9601097,111.42652,4.7925086,2.3592641,2.2596869,6.2654343,0.0,646.1765251,-0.3160607719,-572.1583348,73.61471791,84.98442817,5,2,1.6,8.855343376,0.0,609.2501104,-0.5456081872,-552.8121472,47.72254888,172.7100238,5,2,1.6,7.814775936,0.0,8.226177838,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,5700,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
5,1,0.7,12.86754119,634.0632949,0.7593672349,-570.8711969,61.69878288,106.6965239,4.7925086,2.3592641,2.2596869,7.001621423,1.840467807,646.8883446,-0.2853941731,-572.0996204,74.32472189,84.81234484,5,2,1.6,8.985947664,0.3265107221,609.8693941,-0.5724046023,-553.4286816,47.81598815,172.5012002,5,2,1.6,7.737053396,-0.1943063486,8.217052218,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,5700,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
6,1,0.8,13.90011948,634.519606,0.6435907224,-571.0691285,62.09915799,106.6304,4.7925086,2.3592641,2.2596869,7.0119131,1.866197,648.3929676,-0.2178603613,-571.9723471,75.8305412,84.57356061,5,2,1.6,9.147395825,0.7301311233,610.0297602,-0.5799508638,-553.5874438,47.84022392,172.4348963,5,2,1.6,7.706602057,-0.270434697,9.260450049,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,5700,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
7,1,0.9,13.60285698,635.5229971,0.6540769672,-571.2024565,63.0373979,106.3847938,4.7925086,2.3592641,2.2596869,6.66636027,1.002314925,649.0991212,-0.1981842614,-571.9088111,76.5341848,84.52083639,5,2,1.6,9.268644197,1.033252054,611.1285986,-0.6477731974,-554.6845822,48.01878508,171.7968357,5,2,1.6,7.532443966,-0.7058299234,8.95492721,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,5700,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
8,1,1.0,13.28529008,636.5347104,0.6664953516,-571.3348012,63.98382919,106.1354797,4.7925086,2.3592641,2.2596869,6.31559077,0.1253911753,649.7930526,-0.1792384187,-571.8462517,77.22554962,84.47093565,5,2,1.6,9.389279187,1.334839528,612.2417014,-0.7165095469,-555.7959833,48.19969061,171.1501132,5,2,1.6,7.356106529,-1.146673516,8.62881739,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,5700,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
9,1,1.1,13.41537112,637.3235026,0.5406387193,-571.4830174,64.76792819,106.13081,4.7925086,2.3592641,2.2596869,6.3090208,-1.731501557,650.7206902,-0.157183532,-571.7658921,78.14996937,84.4112606,5,2,1.6,9.538892205,1.382361352,612.9778744,-0.7601586851,-556.5224621,48.32769249,170.4219707,5,2,1.6,7.258007011,-1.197615964,8.770418558,0,-83.011496,39.973902,223.843,0,0,-83.011496,39.973902,5700,1,5700,1,5700,1,1,1,1,2022-03-15,09-54-40,220,"bp, 660 Neil Ave, Columbus, OH 43215","Olentangy Fwy, Columbus, OH 43214",~6.5 miles,"https://www.google.com/maps/dir/''/40.0462509,-83.0333445/@40.0532914,-83.0503686,12z/data=!4m9!4m8!1m5!1m1!1s0x88388f20bcfe500b:0xa862daafa462d691!2m2!1d-83.010366!2d39.9748145!1m0!3e0",>50000,Limited Access,Dry,65.0,RI,Average,5,,2
