,Year,ARID,AgencyName,AgencyDesc,ParkingPlacardNumber,ParkingPlacardType,IssuingAuthority,GovernmentVehicle,PrivateVehicle,VehiclePlateState,AgencyType,ApplicationPlacardType,ParkingRestriction,Active,ActivePermit,ABPermitNumber,ABP_IssueDate,ABP_EffectiveDate,ABP_ExpirationDate,IssueReason,ABPermitRecords.Active,PermitType,DeactivateDate,Returned,ReturnDate
0,2008,1,ACS,ADMIN FOR CHILDREN'S SERVICES,800188,NOW - CAPP,DOT,VARIOUS,VARIOUS,NY,NYC,AAOSP,VALID 24/7 NO TIME LIMITS,True,True,800188,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
1,2008,2,BIC,BUSINESS INTEGRITY COMMISSION,800189,Official Business,DOT,City,No,NEW YORK,NYC,CAPP,The permit should be unlimited time permit.,True,False,800189,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,02/10/2012,True,02/10/2012
2,2008,3,DCA,DEPARTMENT OF CONSUMER AFFAIRS,800190,offical business,DOT,YES,NO,NEW YORK,NYC,CAPP,7 DAYS 24HRS,True,True,800190,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
3,2008,4,DCAS,DEPT OF CITYWIDE ADMIN SERVICES,817325,ABPP,DOT,CITY,NO,NY,NYC,CAPP,24/7,True,False,817325,09/25/2008,05/01/2008,02/01/2009,7,False,CAPP,11/20/2009,True,11/20/2009
4,2008,5,DCAS,DEPT OF CITYWIDE ADMIN SERVICES,800192,ABPP,DOT,CITY,NO,NY,NYC,CAPP,24/7,True,False,800192,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
5,2008,6,DCP,DEPARTMENT OF CITY PLANNING,800193,Official Business,City Hall,City,No,NYS,NYC,CAPP,NONE,True,True,800193,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
6,2008,7,DDC,DEPT OF DESIGN AND CONSTRUCTION,800194,OFFICIAL BUSINESS,CITYHALL,CITY,,NY,NYC,CAPP,7/24,True,True,800194,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
7,2008,8,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800195,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800195,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
8,2008,9,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800196,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800196,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
9,2008,10,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800197,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800197,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
