,the_geom,OBJECTID,Rec_Type,Site_Num,Fac_Type,Loc_Id,Eff_Date,Region_Cod,Field_Offi,State_Post,State_Name,County,County_Pos,City,Fac_Name,Owner_Type,Fac_Use,Owner_Name,Owner_Addr,Owner_City,Owner_Phon,Manager_Na,Manager_Ad,Manager_Ci,Manager_Ph,Ref_Point_,Ref_Poin_1,Ref_Poin_2,Ref_Poin_3,Ref_Poin_4,Elevation,Elevation_,Mag_Var,Mag_Var_Ye,Pattern_Al,Sectional_,Dist_City_,Dir_City_T,Land_Area_,Boundary_A,Boundary_1,Boundary_2,Responsibl,Responsi_1,Responsi_2,Fss_On_Fac,Fss_Id,Fss_Name,Local_Phon,Toll_Free_,Alt_Fss_Id,Alt_Fss_Na,Toll_Fre_1,Notam_Wx_F,Notam_DSer,Activation,Status_Cod,Arff_Cert_,Npias_Fed_,Airspace_A,Intl_Custo,Intl_Cus_1,Mil_Joint_,Mil_Landin,Inspection,Agency_Ins,Last_Inspe,Last_Info_,Fuel_Types,Repair_Ser,Power_Plan,Bottled_Ox,Bulk_Oxyge,Lighting_S,Beacon_Lig,Atc_Tower,Unicom,Ctaf,Seg_Circle,Beacon_Col,Landing_Fe,Medical_Fa,Based_Sing,Based_Mult,Based_Jet_,Based_Heli,Based_Glid,Based_Mili,Based_Ultr,Commercial,Commuter_O,Air_Taxi_O,Ga_Local_O,Ga_Itinera,Mitary_Ops,Annual_Ops,Position_S,Position_1,Elevatio_1,Elevatio_2,Contract_F,Transient_,Other_Serv,Wind_Indic,Icao_Ident,Min_Op_Net,Filler
0,POINT (-77.08511666690545 26.51012777773246),19828,APT,90727.*A,AIRPORT,MYAM,7/16/2020,,NONE,,,BAHAMAS,BS,MARSH HARBOUR,LEONARD M THOMPSON INTL,PU,PU,,,,,DEPARTMENT OF CIVIL AVIATION,,,1-242-367-5500,26-30-36.4600N,095436.4600N,077-05-06.4200W,277506.4200W,E,8.0,E,08W,2010.0,,MIAMI,3.0,SW,,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,,MIA,MIAMI,,1-800-WX-BRIEF,,,,,,,O,,,,Y,,,,,N,,,100  A,,,,,,,N,122.8,,,,,,,,,,,,,,,,,,,,AIP,1/6/2010,AIP,1/6/2010,,,,,MYAM,N,
1,POINT (-124.88666666664308 49.71083333275737),19748,APT,90041.*A,AIRPORT,CYQQ,7/16/2020,,SEA,,,"B.C., CANADA",CN,COMOX,COMOX,PR,PR,CANADA,,,,CANADIAN MILITARY,,,DND-250-339-8231,49-42-39.0000N,178959.0000N,124-53-12.0000W,449592.0000W,E,84.0,E,19E,,,SEATTLE,3.0,NNE,,ZVR,ZVR,VANCOUVER,ZVR,ZVR,VANCOUVER,,YKA,KAMLOOPS FIC,,,,,,CYQQ,,Feb-07,O,,,,Y,,,,,N,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,OWNER,1/18/2007,OWNER,1/18/2007,,,,,CYQQ,N,
2,POINT (-82.95764852760186 42.27586419409519),19812,APT,90506.*A,AIRPORT,CYQG,7/16/2020,,NONE,,,"ONTARIO, CANADA",CN,WINDSOR,WINDSOR,PU,PU,,,,,,,,,42-16-33.1111N,152193.1111N,082-57-27.5347W,298647.5347W,E,622.0,E,07W,,,,0.0,SE,,ZOB,ZCC,CLEVELAND,ZOB,ZCC,CLEVELAND,,YXU,LONDON FIC,,,,,,,,Mar-05,O,,,,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,FAA-EST,9/15/2011,FAA,9/15/2011,,,,,CYQG,N,
3,POINT (-104.4310672224387 40.10831555601567),2815,APT,02646.63*A,AIRPORT,CO60,7/16/2020,ANM,DEN,CO,COLORADO,WELD,CO,KEENESBURG,HORSESHOE LANDINGS,PR,PR,STEVE BENSON,33245 WCR 16,"KEENSBURG, CO 80643",303-732-4483,,,,,40-06-29.9360N,144389.9360N,104-25-51.8420W,375951.8420W,E,4800.0,E,11E,1985.0,,CHEYENNE,5.0,E,,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,,DEN,DENVER,,1-800-WX-BRIEF,,,,,N,Jul-89,O,,,NO OBJECTION,,,,,2,N,,9072019.0,,,,,,,,N,,,N,,Y,,1.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
4,POINT (-97.40537083336345 46.76386333328385),10725,APT,17285.751*A,AIRPORT,8ND5,7/16/2020,AGL,DMA,ND,NORTH DAKOTA,CASS,ND,CHAFFEE,AUSK STRIP,PR,PR,HARVEY J. AUSK,,"ALICE, ND 58083",701-347-4944,,,,,46-45-49.9080N,168349.9080N,097-24-19.3350W,350659.3350W,E,1020.0,E,06E,1985.0,,TWIN CITIES,3.0,SW,,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,GFK,GRAND FORKS,,1-800-WX-BRIEF,,,,,N,Dec-80,O,,,NO OBJECTION,,,,,2,N,,5022008.0,,,,,,,,N,,,N,,N,,1.0,,,,,,,,,,,,,,,,,,,,,N,,N,
5,POINT (-92.01044833308654 39.460594444271585),9489,APT,11999.52*A,AIRPORT,MU40,7/16/2020,ACE,NONE,MO,MISSOURI,MONROE,MO,PARIS,LAKE VILLAGE,PR,PR,LAKE VILLAGE,HWY 15 S,"PARIS, MO 65275",816-327-5151,,,,,39-27-38.1400N,142058.1400N,092-00-37.6140W,331237.6140W,E,750.0,E,03E,1985.0,,KANSAS CITY,1.0,S,,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,,N,Oct-84,O,,,CONDITIONAL,,,,,2,N,,2161994.0,,,,,,,,N,,,N,,N,,3.0,,,,,,,,,,,,,,,,,,,,,,,N,
6,POINT (-78.17834944431728 42.99339333286789),12050,APT,14858.2*H,HELIPORT,21NY,7/16/2020,AEA,NYC,NY,NEW YORK,GENESEE,NY,BATAVIA,GAUTIERI,PR,PR,VITO J. GAUTIERI,45 LIBERTY ST,"BATAVIA, NY 14020",716-343-0852,,,,,42-59-36.2160N,154776.2160N,078-10-42.0580W,281442.0580W,E,915.0,E,10W,1985.0,,DETROIT,0.0,E,,ZOB,ZCC,CLEVELAND,ZOB,ZCC,CLEVELAND,N,BUF,BUFFALO,,1-800-WX-BRIEF,,,,,N,,O,,,CONDITIONAL,,,,,2,N,,1121994.0,,NONE,NONE,,,,,N,,,Y,,N,,,,,1.0,,,,,,,,,,,,,,,,,,Y,,N,
7,POINT (-85.02391888925087 43.86418916672663),8430,APT,09993.97*A,AIRPORT,07MI,7/16/2020,AGL,DET,MI,MICHIGAN,CLARE,MI,LAKE,SCOTT AIRSTRIP,PR,PR,,,,,RUSS HEFFRON,8505 SHORT STREET,"LAKE, MI 48632",989-339-5290,43-51-51.0810N,157911.0810N,085-01-26.1080W,306086.1080W,E,1065.0,E,04W,1980.0,,CHICAGO,1.0,NW,,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,,LAN,LANSING,,1-800-WX-BRIEF,,,,,N,Oct-86,O,,,NO OBJECTION,,,,,2,N,,11012013.0,,,,,,,,N,,,Y,,,,1.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
8,POINT (-82.5395666672884 36.20873333307094),15632,APT,23223.1*A,AIRPORT,TN02,7/16/2020,ASO,NONE,TN,TENNESSEE,WASHINGTON,TN,TELFORD,TELFORD OVERLOOK FERGUSON FIELD,PR,PR,MARVIN FERGUSON,190 BROWNING ROAD,"TELFORD, TN 37690",423-791-0036,,,,,36-12-31.4400N,130351.4400N,082-32-22.4400W,297142.4400W,E,1680.0,E,,,,,3.0,E,5.0,ZME,ZCM,MEMPHIS,ZTL,ZCT,ATLANTA,,BNA,NASHVILLE,,1-800-WX-BRIEF,,,,,,Sep-14,O,,,,,,,,,N,,,,,,,,,,N,122.95,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
9,POINT (-99.86564833327229 33.41953888907938),16755,APT,24174.11*A,AIRPORT,4TX7,7/16/2020,ASW,TEX,TX,TEXAS,KNOX,TX,KNOX CITY,OLIVER,PR,PR,JOANN ASHER,"ROUTE 2, BOX 194B","CLYDE, TX 79510-9627",,,,,,33-25-10.3400N,120310.3400N,099-51-56.3340W,359516.3340W,E,1500.0,E,08E,1985.0,,DALLAS-FT WORTH,3.0,W,,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,,N,,O,,,NO OBJECTION,,,,,2,N,,8041986.0,,NONE,NONE,,,,,N,,,N,,N,,4.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
