,sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
0,5879@1,-79.86152302,40.62539823,44,19,14,18,36,151,362,606,477,315,292,288,326.0,349,481.0,604.0,678.0,790.0,575,431,416,227,188,119
1,5970@1,-79.79640914,40.44504722,18,19,24,31,100,223,356,385,296,297,272,291,333.0,358,463.0,561.0,535.0,402.0,315,258,200,119,78,36
2,5957@1,-79.82097619,40.48762446,60,36,39,27,45,165,395,584,478,423,434,448,435.0,489,532.0,637.0,662.0,715.0,611,511,429,247,170,106
3,120@1,-79.70385879,40.44354849,27,7,14,9,35,119,365,550,539,421,354,458,504.0,465,508.0,640.0,698.0,731.0,471,390,278,146,111,56
4,26732@1,-80.11427254,40.38989858,19,14,7,10,9,33,113,232,220,173,174,177,188.0,202,195.0,247.0,309.0,348.0,324,264,181,140,87,54
5,27598@1,-80.03451208,40.4382557,45,40,28,42,58,270,734,918,838,505,422,450,540.0,589,767.0,815.0,84.0,988.0,697,523,321,312,193,122
6,3688@1,-80.27973494,40.51056686,52,42,15,21,30,76,248,479,549,419,406,439,463.0,551,612.0,682.0,717.0,628.0,406,369,326,281,174,127
7,6029@1,-79.81955655,40.36913222,5,1,-1,7,15,31,39,50,48,47,38,56,54.0,65,76.0,99.0,78.0,72.0,56,56,35,30,9,6
8,27849@1,-79.99862971,40.451181,12,14,26,19,18,46,138,263,284,113,99,119,124.0,93,110.0,127.0,117.0,138.0,116,98,74,57,47,24
9,5510@1,-80.16211738,40.38459789,1,-1,-1,-1,-1,1,1,3,2,4,2,1,11.0,6,4.0,3.0,5.0,14.0,9,13,11,2,1,1
10,27583@1,-80.02496363,40.40431042,6,9,13,16,19,53,128,177,133,149,136,125,153.0,186,202.0,272.0,227.0,222.0,144,105,97,81,49,33
11,27559@1,-79.96684881,40.42285581,21,4,5,12,13,61,262,385,294,215,207,210,284.0,331,509.0,556.0,618.0,600.0,593,385,254,123,80,63
12,18651@1,-79.85375139,40.33138892,-1,-1,-1,-1,-1,-1,5,7,15,5,18,24,11.0,8,15.0,16.0,15.0,17.0,13,13,13,5,2,3
13,10507@1,-79.90966117,40.30688925,87,38,24,18,48,143,356,389,344,278,318,339,348.0,374,356.0,491.0,561.0,541.0,432,357,322,248,174,132
14,27671@1,-79.86998432,40.39013548,5,1,3,2,7,17,33,72,48,54,41,33,53.0,60,51.0,90.0,89.0,65.0,60,46,47,40,16,10
15,27516@1,-79.89401217,40.5168524,3,5,-1,4,26,167,397,369,223,247,255,256,245.0,302,379.0,453.0,647.0,333.0,264,176,104,28,10,5
16,5983@1,-79.77959456,40.51363096,32,24,25,6,19,123,215,359,248,215,177,157,223.0,194,238.0,358.0,375.0,392.0,259,188,153,127,92,75
17,10553@1,-79.75936223,40.5012759,18,14,8,9,33,126,409,587,457,308,252,303,274.0,335,532.0,528.0,626.0,766.0,507,463,321,161,123,42
18,10595@1,-80.00432132,40.56929381,25,19,13,13,34,156,519,758,608,442,449,538,536.0,556,664.0,879.0,1.0,28.0,690,472,327,278,138,134
19,5297@1,-80.14311504,40.61505737,9,9,4,9,8,48,117,192,156,115,86,85,78.0,95,160.0,168.0,199.0,205.0,144,102,63,52,27,24
20,10466@2,-79.96025497,40.54817427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,332.5,364,349.5,397.0,452.0,398.5,-1,-1,-1,-1,-1,-1
21,10466@1,-79.96016636,40.54809753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,691.0,715,747.0,854.5,518.5,478.5,-1,-1,-1,-1,-1,-1
22,21550@1,-80.18751356,40.4424076,24,13,17,19,35,125,356,610,443,354,381,477,480.0,442,457.0,483.0,659.0,667.0,607,363,257,193,96,51
23,23795@1,-79.96181657,40.51386332,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,2,-1.0,-1,-1.0,2.0,-1.0,1.0,1,-1,-1,4,2,-1
24,5944@1,-79.81233925,40.48402439,82,50,35,51,62,235,688,931,918,722,615,788,816.0,769,969.0,503.0,608.0,631.0,539,812,656,471,267,179
25,6044@1,-79.86344126,40.27828579,57,39,23,24,69,254,385,439,390,399,436,499,518.0,565,584.0,738.0,821.0,811.0,639,630,502,382,216,114
26,6109@1,-79.96738357,40.35488948,17,8,5,16,49,147,197,221,189,191,214,234,237.0,255,282.0,292.0,293.0,333.0,272,222,152,87,86,33
27,5898@2,-79.84330904,40.53491361,28,36,39,71,204,572,955,764,606,541,603,636,613.0,717,742.0,684.0,758.0,698.0,620,571,357,245,146,76
28,5898@1,-79.84323518,40.53485501,29,27,60,104,312,669,781,728,790,798,808,849,759.0,882,235.0,192.0,467.0,228.0,892,687,439,220,148,99
29,19006@2,-79.94982601,40.34803405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,916.0,873,888.0,122.0,149.0,257.0,-1,-1,-1,-1,-1,-1
30,19006@1,-79.9499974,40.34791144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,869.0,799,835.0,846.0,998.0,825.0,-1,-1,-1,-1,-1,-1
31,6104@1,-79.91267062,40.33845583,61,27,46,51,114,297,419,422,318,264,286,300,313.0,286,414.0,456.0,449.0,372.0,302,214,188,180,159,102
32,6075@1,-79.95806986,40.26544895,-1,-1,-1,-1,-1,1,-1,1,-1,-1,2,2,2.0,-1,4.0,-1.0,-1.0,2.0,-1,2,-1,-1,-1,-1
33,93@1,-80.02462671,40.43170511,225,101,123,166,259,627,12,433,499,255,137,210,313.0,352,760.0,150.0,537.0,315.0,675,16,744,300,753,674
34,5525@1,-80.25850421,40.44576745,5,3,1,6,17,38,94,136,156,74,93,114,152.0,110,138.0,217.0,162.0,171.0,134,95,109,46,32,35
35,47@2,-80.02957141,40.43385253,265,189,150,156,180,326,831,210,210,983,908,22,126.0,175,612.0,710.0,724.0,740.0,553,928,768,735,669,466
36,47@1,-80.02939249,40.43385298,121,98,85,119,184,511,5,325,290,843,649,629,694.0,666,678.0,783.0,813.0,865.0,816,523,386,385,255,193
37,5462@1,-80.02397281,40.34277106,80,41,29,36,66,265,661,687,646,724,721,816,752.0,729,723.0,807.0,943.0,864.0,765,662,579,496,257,184
38,27831@1,-79.78471172,40.57768457,14,6,5,8,14,47,116,142,119,116,105,122,170.0,177,190.0,247.0,236.0,233.0,189,109,97,114,33,17
39,5863@1,-79.9556861,40.58235175,26,16,7,7,33,128,461,835,636,498,437,479,489.0,495,646.0,754.0,900.0,946.0,696,483,325,253,109,97
