,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
0,LPG,Irish Propane,70 Katherine St,At Bailey and Clinton,Buffalo,NY,14210,,716-852-3335,E,,Public,8am-4:45pm M-F,Cash A D M V,,,,,,,,,,GPS,42.8594,-78.858933,2015-04-03,13444,2015-04-03 16:57:34 UTC,P,,,,,,False,,
1,ELEC,Latitudes,2401 Highway 528,,Rio Rancho,NM,87124,,505-369-7777,E,,Public,24 hours daily,,,,,,2.0,,,,,200-8,35.21843,-106.663,2015-01-06,50083,2015-01-06 17:43:46 UTC,P,,,2012-08-01,,,,,J1772
2,ELEC,American Bush - Solar Canopy,2630 S 300 W,Located across from Tire World,Salt Lake City,UT,84115,,801-518-3529,E,,Public,24 hours daily,,,,,,2.0,,,,,200-8,40.7144199,-111.900105,2015-01-06,42013,2015-01-06 17:47:30 UTC,P,,,2011-12-01,,,,,J1772
3,ELEC,McDonald's #31850 - Flower Mound TX,3601 FM 407,,Flower Mound,TX,75028,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1.0,,,Blink Network,http://www.blinknetwork.com/,GPS,33.071809,-97.085119,2015-04-23,63495,2015-04-23 07:09:51 UTC,,,,,,,,,J1772
4,ELEC,CITY OF SEATTLE,600 Pine St,,Seattle,WA,98101,,888-758-4389,E,,Public,24 hours daily,,,,,,7.0,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,47.6125141,-122.3354092,2015-04-23,43306,2015-04-23 07:54:36 UTC,,,,,,,,,J1772
5,ELEC,Two Embarcadero Center,"Two Embarcadero Center, A Level Parking",,San Franciso,CA,94111,,800-663-5633,E,,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,,,,,2.0,,,SemaCharge Network,http://www.semacharge.com/,GPS,37.7950272,-122.3985003,2015-04-23,53540,2015-04-23 07:35:02 UTC,,,,,,,,,J1772
6,ELEC,PARKWAY,721 Arch St,,Philadelphia,PA,19106,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.9528732,-75.1528625,2015-04-23,48103,2015-04-23 08:17:22 UTC,,,,,,,,,J1772
7,ELEC,General Electric - Dallas Office,2508 Highlander Way,,Carrollton,TX,75006,,,E,,Private,,,,,,,4.0,,,,,GPS,32.9838,-96.845317,2015-03-04,46370,2015-03-04 14:11:16 UTC,P,,,2011-08-13,,,,,J1772
8,ELEC,Municipal Lot,38767 SE River St,,Snoqualmie,WA,98065,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1.0,,,Blink Network,http://www.blinknetwork.com/,GPS,47.527427,-121.823532,2015-04-23,48607,2015-04-23 07:10:34 UTC,,,,,,,,,J1772
9,LPG,U-Haul,15173 Brookpark Rd,At W-150,Brook Park,OH,44142,,216-676-4770,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,41.418059,-81.802714,2015-03-04,19752,2015-03-04 01:20:24 UTC,P,,,,,,True,,
