,RespondentID,StartDate,EndDate,FamiliarityNews,FamiliarityTech,SharedCyclist,SharedPedestrian,SafeAv,SafeHuman,AvImpact,ProvingGround,Speed25Mph,TwoEmployeesAv,SchoolZoneManual,ShareTripData,SharePerformanceData,ReportSafetyIncident,ArizonaCrash,ZipCode,BikePghMember,AutoOwner,SmartphoneOwner,Age
0,10505419886,2/2/2019,2/2/2019,To a moderate extent,Somewhat familiar,Yes,Yes,4.0,2.0,Significantly Better,Approve,No,Not sure,No,Not sure,Yes,Yes,No change,15212.0,No,Yes,Yes,25-34
1,10505138734,2/2/2019,2/2/2019,To a moderate extent,Somewhat familiar,Yes,No,5.0,4.0,Significantly Better,Neutral,No,No,No,No,Yes,Not sure,No change,15232.0,Not sure,Yes,Yes,25-34
2,10504803283,2/1/2019,2/1/2019,To a moderate extent,Somewhat familiar,Yes,Yes,1.0,4.0,Significantly Worse,Disapprove,Not sure,Yes,No,No,No,Not sure,Significantly more negative opinion,,No,No,No,
3,10504337177,2/1/2019,2/1/2019,To a moderate extent,Extremely familiar,Yes,Yes,2.0,3.0,Slightly Worse,Disapprove,Yes,Yes,Yes,No,Yes,Yes,No change,15136.0,No,No,Yes,55-64
4,10504261546,2/1/2019,2/1/2019,To a moderate extent,Mostly familiar,Yes,No,5.0,3.0,Slightly Better,Neutral,No,No,Not sure,Yes,Yes,No,No change,15201.0,Yes,No,Yes,35-44
5,10504232487,2/1/2019,2/1/2019,To a large extent,Mostly familiar,Yes,Yes,1.0,3.0,Slightly Worse,Somewhat Disapprove,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15222.0,Yes,Yes,Yes,35-44
6,10504048132,2/1/2019,2/1/2019,To little extent,Not familiar at all,Yes,Yes,5.0,2.0,Slightly Better,Neutral,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,No change,15224.0,Yes,Yes,Yes,35-44
7,10504011274,2/1/2019,2/1/2019,To a large extent,Mostly familiar,Yes,Yes,5.0,2.0,Significantly Better,Somewhat Approve,No,No,No,Yes,Yes,No,No change,15201.0,No,Yes,Yes,25-34
8,10503863228,2/1/2019,2/1/2019,To a large extent,Somewhat familiar,No,No,5.0,4.0,Significantly Better,Approve,Not sure,No,No,Yes,Yes,Yes,No change,15206.0,No,Yes,Yes,45-54
9,10503731368,2/1/2019,2/1/2019,To a large extent,Somewhat familiar,Yes,Yes,3.0,5.0,No effect,Somewhat Disapprove,Yes,Yes,Yes,Yes,Yes,Yes,Significantly more negative opinion,15219.0,No,Yes,Yes,55-64
10,10503687114,2/1/2019,2/1/2019,To a moderate extent,Somewhat familiar,Not sure,Yes,3.0,4.0,Slightly Better,Neutral,Yes,Not sure,Yes,Yes,Yes,Yes,No change,15207.0,Yes,Yes,Yes,45-54
11,10503567568,2/1/2019,2/1/2019,To a moderate extent,Somewhat familiar,Yes,No,3.0,4.0,Slightly Worse,Somewhat Approve,Yes,Yes,Yes,Not sure,Yes,Yes,Somewhat more negative opinion,15220.0,No,Yes,Yes,35-44
12,10503541139,2/1/2019,2/1/2019,To a moderate extent,Somewhat familiar,Yes,Yes,3.0,2.0,No effect,Somewhat Approve,Yes,Yes,Not sure,Yes,Yes,Not sure,Somewhat more negative opinion,15201.0,Yes,Yes,Yes,25-34
13,10503248383,2/1/2019,2/1/2019,Not at all,Extremely familiar,Yes,Yes,5.0,5.0,No effect,Approve,No,No,No,No,No,No,No change,15201.0,No,Yes,Yes,35-44
14,10503159766,2/1/2019,2/1/2019,To a large extent,Somewhat familiar,No,Yes,4.0,4.0,No effect,Approve,No,No,Yes,Not sure,No,Yes,No change,15206.0,No,Yes,Yes,55-64
15,10502774103,1/31/2019,1/31/2019,To a large extent,Mostly familiar,Yes,Yes,5.0,3.0,Significantly Better,Approve,Not sure,No,No,No,Yes,Yes,Somewhat more negative opinion,15009.0,Yes,Yes,Yes,25-34
16,10502675032,1/31/2019,1/31/2019,To little extent,Not familiar at all,Not sure,Not sure,3.0,3.0,Slightly Worse,Neutral,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Somewhat more negative opinion,15135.0,No,Yes,Yes,45-54
17,10502625514,1/31/2019,1/31/2019,To a large extent,Somewhat familiar,Yes,No,4.0,2.0,Significantly Better,Approve,No,No,No,No,Yes,Yes,No change,15217.0,Yes,Yes,Yes,35-44
18,10502571139,1/31/2019,1/31/2019,To a large extent,Mostly familiar,Yes,Yes,5.0,2.0,Significantly Better,Approve,No,No,Not sure,No,No,No,No change,15222.0,Yes,Yes,Yes,35-44
19,10502460099,1/31/2019,1/31/2019,To some extent,Mostly familiar,Yes,Yes,3.0,2.0,Slightly Better,Somewhat Disapprove,Yes,No,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15224.0,Yes,Yes,Yes,25-34
20,10502288136,1/31/2019,1/31/2019,To some extent,Somewhat familiar,Yes,No,4.0,3.0,No effect,Somewhat Approve,Not sure,No,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15224.0,No,Yes,Yes,Under 18
21,10502226666,1/31/2019,1/31/2019,To a moderate extent,Not familiar at all,Not sure,Not sure,1.0,3.0,Slightly Worse,Neutral,Not sure,Not sure,Not sure,Yes,Yes,Yes,Significantly more negative opinion,,Yes,Yes,Yes,25-34
22,10502199182,1/31/2019,1/31/2019,To a moderate extent,Somewhat familiar,Yes,Yes,5.0,3.0,Significantly Better,Approve,No,No,No,Yes,Yes,No,No change,15234.0,No,Yes,Yes,25-34
23,10502147481,1/31/2019,1/31/2019,To some extent,Not familiar at all,No,No,3.0,1.0,Slightly Better,Somewhat Disapprove,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15221.0,No,Yes,Yes,25-34
24,10502114701,1/31/2019,1/31/2019,To a moderate extent,Mostly familiar,Yes,Yes,5.0,3.0,Slightly Better,Somewhat Approve,Not sure,Not sure,Yes,Not sure,Yes,Yes,No change,15235.0,No,Yes,Yes,35-44
