,ID ,Traffic Volume Count Location  Address,Street,Date of Count,Total Passing Vehicle Volume,Vehicle Volume By Each Direction of Traffic,Latitude,Longitude,Location
0,414,5838 West,Lake St,11/14/2006,7100,East Bound: 3600 / West Bound: 3500,41.887904,-87.771064,"(41.887904, -87.771064)"
1,176,320 East,76th St,03/28/2006,8600,East Bound: 3800 / West Bound: 4800,41.756542,-87.617335,"(41.756542, -87.617335)"
2,1367,1730 East,57th Dr,08/24/2006,53500,East Bound: 27800 / West Bound: 25700,41.792663,-87.582231,"(41.792663, -87.582231)"
3,316,125 East,24th St,03/30/2006,700,East Bound: 400 / West Bound: 300,41.849302,-87.622658,"(41.849302, -87.622658)"
4,1294,2924 East,130th St,08/29/2006,4200,East Bound: 2300 / West Bound: 1900,41.659177,-87.552112,"(41.659177, -87.552112)"
5,507,1931 West,Lake St,10/19/2006,6900,East Bound: 3400 / West Bound: 3500,41.885023,-87.675556,"(41.885023, -87.675556)"
6,691,6067 North,Kimball Ave,08/15/2006,15600,North Bound: 7500 / South Bound: 8100,41.992042,-87.714036,"(41.992042, -87.714036)"
7,960,5116 North,Ashland Ave,08/22/2006,26700,North Bound: 13100 / South Bound: 13600,41.974889,-87.669587,"(41.974889, -87.669587)"
8,85,6416 South,State St,05/02/2006,19300,North Bound: 8800 / South Bound: 10500,41.777072,-87.62526,"(41.777072, -87.62526)"
9,1116,435 North,La Salle St,09/21/2006,32300,North Bound: 17700 / South Bound: 14600,41.890186,-87.632548,"(41.890186, -87.632548)"
10,871,6891 West,Diversey Ave,08/16/2006,16600,East Bound: 8600 / West Bound: 8000,41.930851,-87.797915,"(41.930851, -87.797915)"
11,674,4034 North,Ashland Ave,08/29/2006,33400,North Bound: 15700 / South Bound: 17700,41.955361,-87.669076,"(41.955361, -87.669076)"
12,1104,626 North,Homan Ave,09/27/2006,10700,North Bound: 5300 / South Bound: 5400,41.892668,-87.71135,"(41.892668, -87.71135)"
13,397,6559 South,Damen Ave,10/11/2006,21500,North Bound: 11600 / South Bound: 9900,41.773922,-87.673756,"(41.773922, -87.673756)"
14,160,9150 South,Harbor Ave,05/04/2006,2500,North Bound: 1100 / South Bound: 1400,41.729262,-87.541841,"(41.729262, -87.541841)"
15,1286,10621 South,Halsted St,08/31/2006,31800,North Bound: 17400 / South Bound: 14400,41.700823,-87.642645,"(41.700823, -87.642645)"
16,1260,5834 South,Cottage Grove Ave,10/11/2006,25000,North Bound: 14200 / South Bound: 10800,41.788454,-87.606097,"(41.788454, -87.606097)"
17,819,2641 West,Pershing Rd,09/26/2006,11000,East Bound: 5800 / West Bound: 5200,41.822852,-87.691118,"(41.822852, -87.691118)"
18,119,6722 South,Halsted St,03/21/2006,13500,North Bound: 7600 / South Bound: 5900,41.771775,-87.644579,"(41.771775, -87.644579)"
19,518,161 East,Chicago Ave,10/03/2006,18100,East Bound: 9700 / West Bound: 8400,41.89675,-87.623095,"(41.89675, -87.623095)"
20,1194,3249 West,71st St,11/14/2006,15600,East Bound: 7900 / West Bound: 7700,41.764348,-87.70478,"(41.764348, -87.70478)"
21,379,4624 South,Woodlawn Ave,05/02/2006,3000,North Bound: 1500 / South Bound: 1500,41.810689,-87.596855,"(41.810689, -87.596855)"
22,1337,389 West,Washington St,09/26/2006,17000,East Bound: 17000 / / Oneway East Bound ,41.883192,-87.638103,"(41.883192, -87.638103)"
23,914,4550 West,Addison Ave,08/14/2006,23600,East Bound: 11800 / West Bound: 11800,41.946193,-87.741344,"(41.946193, -87.741344)"
24,979,2034 North,Halsted St,10/16/2006,18700,North Bound: 10200 / South Bound: 8500,41.919237,-87.648548,"(41.919237, -87.648548)"
