,INCIDENT NUMBER,CRASH DATE,STREET ADDRESS,CITY,STATE,ZIP CODE,INTERSECTING STREET,DISTRICT,ZONE,SUBZONE,CRASH OCCURRED ON,KIND OF LOCATION,ACCESS CONTROL,TYPE OF ROADWAY,ROAD SURFACE,ROADWAY CONDITION,WEATHER CONDITION,LIGHTING CONDITION,INJURY,FATALITY,HIT AND RUN,PEDESTRIAN INVOLVED,TRAIN INVOLVED,INTERSECTION,TOTAL VEHICLES,VEHICLE ALIGNMENT,RELATION TO ROADWAY,MANNER OF COLLISION,PRIMARY FACTOR,SECONDARY FACTOR,LATITUDE,LONGITUDE,GEOMETRY
0,22-107897,11/03/2022 08:39:00 AM,,Baton Rouge,LA,70808,,2.0,2B,2B1,City street,Other,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,Unknown,Front to rear - rear end,Violations,Violations,30.421058294399,-91.1406780450081,POINT (-91.140678 30.4210583)
1,23-86198,08/27/2023 11:30:00 PM,3600 PLANK DR,Baton Rouge,LA,70805,AMIRILLO ST,4.0,4F,4F2,City street,Business Continuous,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Dark - continuous street lights,1,0,1,0,0,1,2,Straight,On roadway,Front to rear - rear end,Violations,Violations,30.4957269549153,-91.1263732913319,POINT (-91.1263733 30.495727)
2,23-74990,07/28/2023 04:52:00 AM,1700 NICHOLSON DR,Baton Rouge,LA,70802,GARNER AVE,2.0,2C,2C1,State highway,"Business, Mixed Residential",NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Angle - left opposite direction,Violations,Movement prior to crash,30.4314519853029,-91.1875868823031,POINT (-91.1875869 30.431452)
3,22-103782,10/22/2022 03:30:00 AM,,Baton Rouge,LA,70806,,1.0,1B,1B1,State highway,"Business, Mixed Residential",NO CONTROL (UNLIMITED ACCESS TO ROADWAY),TWO-WAY ROAD WITH NO PHYSICAL SEPARATION,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,In parking lane or zone,Front to rear - rear end,Violations,Violations,30.4440669436658,-91.1587582793857,POINT (-91.1587583 30.4440669)
4,23-25624,03/17/2023 07:45:00 AM,10000 LA HIGHWAY 19 HWY,Baton Rouge,LA,70807,,4.0,4B,4B2,State highway,"Business, Mixed Residential",PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,TWO-WAY ROAD WITH NO PHYSICAL SEPARATION,Wet,,Rain,Daylight,0,0,0,0,0,1,3,Straight,On roadway,Front to rear - rear end,Movement prior to crash,Violations,30.5370016994646,-91.1780406737735,POINT (-91.1780407 30.5370017)
5,23-35035,04/13/2023 12:22:00 PM,,Baton Rouge,LA,70816,,3.0,3F,3F1,City street,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,3,Straight,Unknown,Front to rear - rear end,Violations,Movement prior to crash,30.439992630923,-91.0074693421734,POINT (-91.0074693 30.4399926)
6,23-17795,02/23/2023 06:29:00 AM,,Baton Rouge,LA,70802,FUQUA ST,1.0,1A,1A2,Interstate,"Business, Mixed Residential",PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Cloudy,Daylight,1,0,1,0,0,0,2,Curve Right,On roadway,Sideswipe - same direction,Violations,Not applicable,30.4556837418707,-91.1805288175145,POINT (-91.1805288 30.4556837)
7,23-56864,06/10/2023 09:32:00 AM,100 LOBDELL AVE,Baton Rouge,LA,70806,FLORIDA BLVD,3.0,3G,3G3,City street,Other,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),TWO-WAY ROAD WITH NO PHYSICAL SEPARATION,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Sideswipe - opposite direction,Driver condition,Violations,30.4500089790107,-91.111829672887,POINT (-91.1118297 30.450009)
8,23-12374,02/07/2023 11:19:00 AM,,Baton Rouge,LA,70809,,2.0,2B,2B3,Interstate,Open Country,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,Unknown,Front to rear - rear end,Violations,Movement prior to crash,30.4173779578539,-91.0912461699298,POINT (-91.0912462 30.417378)
9,23-32109,04/04/2023 11:12:00 AM,3300 ESSEN LN,Baton Rouge,LA,70809,JEFFERSON HWY,3.0,3G,3G4,State highway,Business Continuous,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,On roadway,Sideswipe - same direction,Violations,Violations,30.4193870333804,-91.0965780198104,POINT (-91.096578 30.419387)
