,the_geom,OBJECTID,Location,Borough,Street_Nam,From_Stree,To_Street,Iex,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_AM,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD,Oct20_AM,Oct20_PM,Oct20_MD,May21_AM,May21_PM,May21_MD,Oct21_AM,Oct21_PM,Oct21_MD,May22_AM,May22_pM,May22_MD,Oct22_AM,Oct22_PM,Oct22_MD,May23_AM,May23_pM,May23_MD,Oct23_AM,Oct23_PM,Oct23_MD
0,POINT (-73.90459140730678 40.87919896648575),1,1,Bronx,Broadway,West 231st Street,Naples Terrace,N,1189.0,4094.0,2508.0,734,2646,2939,802,4015,2631,1125.0,4310.0,3420.0,1001,3475,2832,991,4262,2469,1010,3609,3128,863,4119,2217,997,4440,2687,1328,3820,2428,1288,3328,3365,1268,4315,2276,1210,4710,3825,1206,4590,3008,1220,4384,2641,1450,4646,2996,1788,4980,3033,1204,4520,2999,1246,4531,2686,1309,3642,2830,1916,5893,2776,1111,4044,2731,1271,4502,2899,1708,4464,2967,,,,486.0,2843.0,1754.0,630.0,3262.0,1710.0,808.0,2807.0,2230.0,737.0,2343.0,1883.0,745.0,2637.0,2241.0,1897.0,5018.0,2496.0,935.0,3759.0,1745.0
1,POINT (-73.92188432870218 40.82662794123293),2,2,Bronx,East 161st Street,Gra Concourse,Sheridan Avenue,Y,1511.0,3184.0,1971.0,1855,3754,1183,1136,2638,1522,1939.0,3283.0,1383.0,1351,3111,1304,1227,3137,2762,2077,3283,1409,1007,3069,1477,1734,3333,1772,2051,3525,1752,1233,1875,1912,2113,4099,1970,2278,4215,2288,2071,3890,1832,2206,4363,2315,1949,4435,2388,2318,4589,2483,2005,4790,2512,2053,4721,2311,2109,5485,2548,1848,4920,2143,2389,5952,2832,1749,5148,2156,2006,4723,1604,1702.0,4347.0,1576.0,780.0,1892.0,1287.0,1405.0,2097.0,1410.0,2191.0,3786.0,1770.0,2242.0,4227.0,2168.0,2608.0,4277.0,1867.0,2384.0,4600.0,2064.0,2822.0,5050.0,1287.0
2,POINT (-73.89535781584335 40.86215460031517),3,3,Bronx,East Fordham Road,Valentine Avenue,Tiebout Avenue,Y,1832.0,12311.0,14391.0,1829,9215,15065,1061,8013,7927,2497.0,10010.0,8013.0,1689,8374,7472,2387,10655,6614,2285,10943,10424,2807,12658,7714,2289,15890,9167,2679,13548,8140,2125,7635,7022,2704,10486,7421,2710,12723,8872,2651,10613,8241,2699,12490,6339,2752,10408,8266,2382,11216,7574,2733,10586,9072,2540,11272,8422,2422,11145,9775,2557,12125,6499,2783,12388,7076,2209,9634,7066,2246,8931,6212,1625.0,11739.0,7468.0,972.0,6976.0,5058.0,942.0,5576.0,4402.0,1798.0,7296.0,4864.0,1501.0,5950.0,4987.0,1662.0,6572.0,4765.0,1654.0,6918.0,4696.0,1560.0,6880.0,2453.0
3,POINT (-73.87892467324478 40.8812869959873),4,4,Bronx,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,764.0,2673.0,1798.0,1360,1975,872,2102,3206,1989,3020.0,3915.0,1662.0,1536,2997,1672,2097,3135,1591,2954,3962,1717,1622,3006,1344,1661,2844,1510,1996,2836,1587,1906,2066,1261,2371,3500,1620,2052,3981,1979,2373,3660,1914,2096,3378,1333,2382,3425,1339,1757,3561,1714,2256,2923,1574,2066,2944,1752,2017,2771,1459,2125,3130,1123,2453,3429,1551,1648,2892,1323,1944,2682,1693,,,,953.0,2063.0,1185.0,946.0,1211.0,1161.0,1503.0,1978.0,689.0,1350.0,2082.0,1063.0,1448.0,2120.0,1032.0,1398.0,2280.0,1303.0,1404.0,2089.0,807.0
4,POINT (-73.88956389732787 40.844636776717685),5,5,Bronx,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,650.0,2538.0,2334.0,1078,2739,2343,553,2438,1652,756.0,3095.0,1374.0,684,2660,2604,912,3637,2339,1075,5823,4085,1012,5785,3758,1093,6119,4274,1049,5859,3934,627,1503,2371,959,3140,2273,1007,4175,2854,760,3488,2805,971,3586,2460,1019,3184,2366,1055,3710,2554,1063,3296,2466,993,3625,2492,1101,3336,2501,980,3700,2526,1082,3330,2479,1016,3781,2565,975,3761,2461,,,,357.0,1997.0,1719.0,444.0,2382.0,1384.0,714.0,2356.0,1502.0,669.0,1508.0,1606.0,774.0,2084.0,1611.0,730.0,2077.0,1578.0,786.0,2140.0,1115.0
5,POINT (-73.92087824799184 40.83015855511036),6,6,Bronx,Gra Concourse,East 164th Street,East 165th Street,Y,489.0,1235.0,835.0,873,1457,631,634,1554,856,771.0,1445.0,744.0,605,1271,539,599,1028,750,597,1426,669,634,1341,738,753,1394,891,802,1396,859,838,1372,1069,936,1743,1059,912,2059,1037,963,1726,973,858,2035,1042,972,1902,1097,839,2023,1059,999,1948,1161,767,1933,1010,982,1971,1165,740,1909,925,962,1872,1199,757,1933,956,1158,1986,686,694.0,1881.0,816.0,511.0,1459.0,689.0,500.0,878.0,586.0,919.0,1416.0,886.0,718.0,1121.0,806.0,684.0,1175.0,1146.0,551.0,1194.0,780.0,538.0,1035.0,537.0
6,POINT (-73.91635737290386 40.81688745834868),7,7,Bronx,Third Avenue,East 150th Street,East 151st Street,Y,703.0,8776.0,2865.0,858,6503,5501,636,6123,4461,1499.0,5803.0,4251.0,1696,7236,3540,1446,6730,7409,1624,6877,4565,1701,6922,4866,1773,7138,5866,1937,7050,4951,1367,6961,5551,1604,7500,5012,2097,8853,6599,1231,6701,4294,2161,9048,6717,1648,9057,6785,2165,9285,6721,1690,7894,6844,2059,9097,6688,1689,7885,6900,2027,9045,6683,1702,7883,6921,1817,9048,5956,1649,9087,4470,1136.0,6589.0,4967.0,778.0,4641.0,3020.0,567.0,2571.0,3433.0,1138.0,5781.0,3287.0,995.0,5361.0,3866.0,1260.0,5443.0,3324.0,1594.0,6292.0,4086.0,1352.0,5744.0,2439.0
7,POINT (-73.86767352599497 40.855588719719556),8,8,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,1025.0,4039.0,3991.0,1743,4667,3309,1638,4798,4858,1056.0,3194.0,2489.0,990,3490,3335,1461,5090,2526,1375,4834,3095,1568,4386,2217,1545,4402,2985,1689,3016,2360,1626,3415,3828,1591,5398,3851,1410,4232,3007,1479,4910,4056,1495,5166,2540,1769,4114,2893,1512,4333,3122,1537,4379,3092,1638,5900,2582,1377,4098,2730,1186,4673,3420,2023,5520,3166,1601,5059,3391,1493,4011,2566,1305.0,5007.0,3326.0,728.0,3556.0,2238.0,763.0,4344.0,2204.0,1108.0,3983.0,2891.0,1263.0,4291.0,2491.0,1003.0,3493.0,2441.0,1096.0,4096.0,2655.0,1092.0,3891.0,1589.0
8,POINT (-74.01119296689038 40.64426682358741),9,9,Brooklyn,5th Avenue,51st Street,52 Street,Y,856.0,5940.0,4354.0,900,5435,5081,886,7054,4806,1062.0,5072.0,5901.0,914,5730,4619,1364,5475,4740,982,5570,5371,946,5585,4577,1350,7743,6135,1445,8170,4999,1306,3662,4731,1419,4864,6325,1457,6509,6070,1658,6627,5690,1522,7718,6313,1721,7988,6391,1791,7802,6762,1655,7502,6082,1531,7296,6014,1642,8130,5763,1517,7384,5356,1563,4730,5563,1197,4909,4515,1210,4821,4401,652.0,1402.0,1125.0,,,,1677.0,9439.0,5579.0,1221.0,4455.0,4151.0,1167.0,4184.0,3781.0,948.0,3673.0,3978.0,3229.0,14631.0,10699.0,1096.0,4642.0,3791.0
9,POINT (-73.98067647018506 40.67609353714627),10,10,Brooklyn,5th Avenue,Union Street,President Street,Y,504.0,2207.0,2225.0,422,2167,1627,672,2707,966,487.0,1898.0,2321.0,469,2547,2259,774,2310,1690,582,2274,2808,661,3063,2141,631,2915,2852,591,2848,2307,666,1414,2620,723,3255,2468,688,2764,2554,794,2513,2591,800,3051,3080,955,2390,1962,900,2492,3081,922,2955,2681,941,2751,3131,951,2911,2248,812,2570,2298,905,2463,1679,743,2252,2286,736,2297,2196,849.0,6007.0,4865.0,539.0,1983.0,3144.0,536.0,2564.0,1429.0,713.0,2334.0,2118.0,646.0,2499.0,2503.0,592.0,2091.0,2416.0,657.0,2464.0,2456.0,604.0,2239.0,2389.0
