,OBJECTID,DSTRBTE_EXTRNL_CODE,PLAN_ROUTE_DSGNTN_AUTH,PLAN_ASSET_CLASS,PLAN_OHV_ROUTE_DSGNTN,PLAN_MODE_TRNSPRT,Original_GlobalID,ADMIN_ST,PLAN_ADD_MODE_TRNSPRT_RSTRT_CD,OBSRVE_MODE_TRNSPRT,OBSRVE_SRFCE_TYPE,OBSRVE_FUNC_CLASS,OBSRVE_ROUTE_USE_CLASS,ROUTE_PRMRY_NM,ROUTE_SCNDRY_SPCL_DSGNTN_NM,ROUTE_SPCL_DSGNTN_TYPE,FAMS ID,Route Existing Authorization Status,Planned Allowed Mode of Transport,OHV Route Designation Limitation Explanation,OHV Route Designation Limitation,Shape__Length
0,8889,YES,BLM,Transportation System - Trail,Open,Motorized,{AF5AC0D6-A75C-4D1B-9BC2-7C3B5826A6B2},AK,,Motorized,Natural,Resource,ATV,Greyling Creek Trail (74.2),,,,,,,,0.0351020534756607
1,8890,YES,BLM,Transportation System - Trail,Open,Motorized,{D2C2A83F-9069-4492-9B6C-E10232B9D90F},AK,,Motorized,Natural,Resource,ATV,109 Mile North,,,,,,,,0.0013579088777808
2,10114,YES,BLM,Transportation System - Trail,Open,Motorized,{A7577D98-565F-4FDC-99E7-EE61E4BF47C8},CO,,Motorized,Natural,Resource,ATV,BLM T5820C,,,,,MTC_ATV_SHARED,Vehicle width limited to 50 inches or less,Limited by Type of Vehicle,0.0108019561869799
3,10132,YES,BLM,Transportation System - Trail,Open,Motorized,{B7E9CB91-3142-4420-B5B0-35870A0643E7},CO,YES,Non-Mechanized,Natural,Resource,Non-Mechanized,8377E,,,,,ALL_MOTO_VEH,Closed 12/1- 4/15,Limited by Season,0.0025503124534193
4,10144,YES,BLM,Transportation System - Trail,Open,Motorized,{2A4BC110-A62C-47B4-A2B9-CB6C357750EF},CO,YES,Motorized,Natural,Resource,Motorized Single Track,Ledge,,,,,MTC_SHARED,Closed 12/1- 4/15,Limited by Season,0.0025921918800059
5,10146,YES,BLM,Transportation System - Trail,Open,Motorized,{583C23ED-0FCE-49CE-A0B9-7140A43AA2F7},CO,YES,Motorized,Natural,Resource,Motorized Single Track,8384CD,,,,,MTC_SHARED,Closed 12/1- 4/15,Limited by Season,0.0041881986499258
6,10147,YES,BLM,Transportation System - Trail,Open,Motorized,{A631CAD7-904C-4BA5-A9EE-7A4DBD72C39C},CO,YES,Motorized,Natural,Resource,UTV,8380MC,,,L2126805,,MTC_SHARED,Closed 12/1- 4/15,Limited by Season,0.0011072030864194
7,10149,YES,BLM,Transportation System - Trail,Open,Motorized,{01FB2DAF-B452-4AE7-BB36-F4F07B6B62AC},CO,YES,Motorized,Natural,Resource,UTV,8380Q,,,L2126813,,MTC_SHARED,Closed 12/1- 4/15,Limited by Season,0.0018131534449053
8,10150,YES,BLM,Transportation System - Trail,Open,Motorized,{8DE068C6-73FC-4A32-90C8-5A71CBA7BEEA},CO,YES,Motorized,Natural,Resource,UTV,8380G,,,L2126815,,MTC_SHARED,Closed 12/1- 4/15,Limited by Season,0.0023240173086061
9,10151,YES,BLM,Transportation System - Trail,Open,Motorized,{40D75175-FF73-4A8E-89A0-26D7BBB67539},CO,YES,Motorized,Natural,Resource,UTV,8380MD,,,L2126807,,MTC_SHARED,Closed 12/1- 4/15,Limited by Season,0.0008455937443827
10,10155,YES,BLM,Transportation System - Trail,Open,Motorized,{19F3B00E-E90F-4CE7-9298-62EADAC2518D},CO,YES,Motorized,Natural,Resource,UTV,8380N,,,L2126458,,ALL_MOTO_VEH,Closed 12/1- 4/15,Limited by Season,0.005401694298258
