,OBJECTID,Feature Type,Feature Subtype,Feature Name,Administrative Unit Code,Administrative State,QC Reviewer Name,QC Date,QC Delete Feature Flag,QC Comments,Data Source,Original Feature Type from State Data,DESCRIPTION,WEB_LINK,PHOTO_TEXT,created_user,created_date,last_edited_user,last_edited_date,UNIT_NAME,SOURCE,WEB_DISPLAY,PHOTO_LINK,PHOTO_THUMB,GlobalID,Original_GlobalID,Latitude,Longitude,x,y
0,52512,2,Boat Launch,AHRA - Ruby Mountain Rec Sits,COF02000,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,f5ea8c85-bb09-4bc5-a8d9-f6327db21da1,{08BBDD44-7377-49B3-A644-56E3DB1C4350},38.75383333,-106.0717,-106.071700005,38.7538333310001
1,52848,2,Boat Launch,AHRA - Hecla Junction Rec Site,COF02000,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,5246c005-3c6b-48e7-9823-cd9a3bc2bf18,{E0011994-4094-426D-9B1D-8125DAEAA143},38.65201666,-106.05438333,-106.05438333,38.652016664
2,56430,4,Interpretive Site,PAINTED HAND PUEBLO,COS01000,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,f09006c2-21f0-4b71-b446-41df8f8fb7a9,{1FFBB44B-C96B-41C2-9727-FBAA75B16464},37.4553662,-108.96642446,-108.966424465,37.455366203
3,56462,4,Interpretive Site,SAND CANYON PUEBLO,COS01000,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,c5fad7f7-afba-4c3b-99cc-511db80e01b2,{DD3968CD-9500-4CA5-9CBC-9B2F5959BACF},37.39992201,-108.77516534,-108.775165343,37.3999220090001
4,56571,4,Interpretive Site,LOWRY PUEBLO,COS01000,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,5c385e66-c414-4022-8243-ff3477525ad1,{DDEA130F-A390-4E71-9E85-DA15BE131568},37.58467422,-108.92015856,-108.920158562,37.584674217
5,56579,7,Access Point,SAND CANYON,COS01000,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,6e7c6b6a-8de0-463b-9b75-4eb964a36963,{2A6D2D4E-A530-4C85-B1B9-0EC74C7861D2},37.34161028,-108.81772479,-108.817724792,37.341610277
6,56662,1,Visitor Center,UPPER MISSOURI RIVER BREAKS NM INTERPRETIVE CENTER,MTL07000,MT,,,,,,,,,,ILMOCDBO,7/10/2020 11:32:01 PM,ILMOCDBO,7/10/2020 11:32:01 PM,,,YES,,,ff63794c-7dc5-4fd2-a29d-b516a154a64b,{547E1736-B806-4B6E-BA9F-95824D407E2E},47.81018341,-110.672967,-110.672967,47.81018341
7,56767,8,Parking Area,JAMES KIPP RECREATION AREA,MTL07000,MT,,,,,,,,,,ILMOCDBO,5/1/2020 4:09:37 PM,ILMOCDBO,5/1/2020 4:09:37 PM,,,YES,,,264a5dc1-58a0-489d-bc99-1750c3eda6d2,{E872D301-EE1C-43E3-A0FD-234025B6A729},47.62393013,-108.6778392,-108.677839199,47.6239301300001
8,56812,4,Point of Interest,SEINEURS REACH,MTL07000,MT,,,,,,,,,,ILMOCDBO,10/12/2018 7:57:29 PM,ILMOCDBO,10/12/2018 7:57:29 PM,,,YES,,,0d303d07-02ef-4fa9-bcfd-86fc3ea79b32,{D01CA9A9-D9D6-4EB5-87DF-567408F1B9C5},47.880191,-110.474,-110.474000001,47.8801910000001
9,56824,8,Parking Area,POMPEYS PILLAR NATIONAL MONUMENT,MTC01000,MT,,,,,,,,,,ILMOCDBO,6/5/2020 7:04:10 PM,ILMOCDBO,6/5/2020 7:04:10 PM,,,YES,,,62068d6e-1bdc-4d3e-9b40-c69a0fd48cf1,{9D8800F9-9262-4C9B-B7BC-DD7D3FDB0CCD},45.994323,-107.999811,-107.999810999,45.9943230000001
10,56898,4,Point of Interest,WOODHAWK (LOWER),MTL07000,MT,,,,,,,,,,ILMOCDBO,10/12/2018 7:57:29 PM,ILMOCDBO,10/12/2018 7:57:29 PM,,,YES,,,5d1bc707-57bb-46cb-a600-b256f4adbc46,{F2368854-2DA8-4D39-AEF8-74363F90622D},47.74123,-108.949,-108.949,47.74123
11,57062,8,Parking Area,WOOD BOTTOM RECREATION AREA,MTL07000,MT,,,,,,,,,,ILMOCDBO,7/10/2020 11:32:01 PM,ILMOCDBO,7/10/2020 11:32:01 PM,,,YES,,,394f93d6-aaad-4135-8060-e0594fcb43b7,{E77CE08A-015C-4EE8-97F4-0619A2DAB7CA},47.91139301,-110.4932978,-110.4932978,47.91139301
12,57078,5,Toilet,POMPEYS PILLAR NATIONAL MONUMENT,MT001200,MT,,,,,,,,,,ILMOCDBO,10/13/2017 2:59:45 PM,ILMOCDBO,10/13/2017 2:59:45 PM,,,YES,,,93e03579-29f8-4a89-8820-0fda997cdfde,{F5B13858-91AE-4EF5-AA70-769A30CF22DC},45.994764,-108.0023,-108.0023,45.994764
