,OBJECTID,ESMTROW_NM,ESMTROW_TP,ESMTROW_FTR,AUTH_USE,RGT_HOLDER,GRANTOR,ACCESS_ESMTROW,CASEFILE,BLM_ORG_CD,CASETP,LOCAL_ID,COORD_SRC,ACCURACY_FT,EXCL_TP,GIS_ACRES,GLOBALID,MLRS Casefile Number,Shape__Area,Shape__Length
0,1,Taber Cabin Water Gap,ROW,WATER_GAP,Water Transportation,PV,BL,PUBLIC,OROR   057480,ORB06,287011.0,,UNK,40,,30.15192147,fd1ef9bd-6872-4cf8-aaac-5a5e4877aad7,,1.33895250655769e-05,0.0170418849370037
1,2,Bakke Trespass Road,ROW,ROAD,Crossing Access,PV,BL,PUBLIC,OROR   065479,ORB06,281009.0,,UNK,40,,2.11165123,58bb0952-9b6e-451d-8d71-dfccca622006,,9.39964138524374e-07,0.0176851938456232
2,3,Bakke Trespass Road,ROW,ROAD,Crossing Access,PV,BL,PUBLIC,OROR   065479,ORB06,281009.0,,UNK,40,,0.13562323,f01c6a14-94d4-45ba-a75f-f4bfb9127bfd,,6.03677108301781e-08,0.0012667667814216
3,4,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,8.28072517,832a073b-3c0a-4c43-92de-4f5d50669dd6,,3.73127249986283e-06,0.135858118043184
4,5,Trespass Powerline,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   065454,ORB05,285003.0,,UNK,40,,3.36717144,900ff19d-0ade-49b9-9560-4d71e3770968,,1.51748918142403e-06,0.0410145629017078
5,6,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.09881877,99d446e4-79fa-4e13-88d2-014e5a52778f,,4.40518306277227e-08,0.001472300970305
6,7,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.18176881,dca81fdf-6fe2-483b-b259-40d04db6ef69,,8.10305209597573e-08,0.0026201966107167
7,8,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.96127392,e948ba09-f7db-4a36-94fe-a32637e89f04,,4.28553903475404e-07,0.0119913532527763
8,9,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.49410955,4cd30ad6-fdd9-4123-bf4d-a9f8b047628f,,2.20244601223385e-07,0.0066800129926289
9,10,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.33604591,66a37123-9ebc-4270-b8e3-1248113dea07,,1.49794232129352e-07,0.0041327983846916
10,11,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.10955973,eb85e6ec-fb0f-4392-ae6c-8bc1b6540bb9,,4.92218532599509e-08,0.0014537929389962
