,Region,County,Municipality,BIN,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Date of Last Inspection,Poor Status
0,1,Albany,Albany (City),1053380,0.1 MI N JCT RTE 5 & I90,5 X,PATROON CREEK,City,1968,08/07/2018,N
1,1,Albany,Albany (City),1092549,JCT US 9 & PATROON CREEK,9   9 11081025,CSX TRANS/ AMTRAK,NYSDOT,1971,12/06/2017,N
2,1,Albany,Albany (City),1092509,JCT RTE 9 & I90,9   9 11081028,RAMP TO 90I EB,NYSDOT,1971,07/29/2019,N
3,1,Albany,Albany (City),1093029,DOWNTOWN ALBANY,9 X,HUDSON RIVER,NYSDOT,1969,11/10/2019,N
4,1,Albany,Albany (City),1054460,0.1 MI S JCT RT 9W & I787,9W  9W11012007,787IX,NYSDOT,1966,04/30/2019,N
5,1,Albany,Albany (City),1007620,JCT OF US 9W & I787,9W  9W11012008,787I787I11011003,NYSDOT,1966,08/01/2018,N
6,1,Albany,Albany (City),1007610,.7 MI S JCT US 9W & I787,9W  9W11051120,NORMANS KILL,NYSDOT,1987,07/13/2018,N
7,1,Albany,Albany (City),1015980,JCT RTS 20 & 85,20  20 11202010,85  85 11012010,NYSDOT,1960,10/01/2019,Y
8,1,Albany,Albany (City),1034491,JCT I90 & RTE 85,85  85 11012021,90I 90I11011021,NYSDOT,1968,09/12/2018,N
9,1,Albany,Albany (City),1034492,JCT I90 & RTE 85,85  85 11012021,90I 90I11011021,NYSDOT,1968,09/12/2018,N
10,1,Albany,Albany (City),1033102,.4MI N JCT 87I+WASH.AV.EX,87I 87I11081000,90I 90I11011001,NYSDOT,1959,05/17/2019,N
11,1,Albany,Albany (City),1033101,.4MI N JCT 87I+WASH AV.EX,87I 87I11081000,90I 90I11011001,NYSDOT,1959,05/17/2019,N
12,1,Albany,Albany (City),1033111,JCT I87 & RENSSELAER LAKE,87I 87I11081002,RENSSELAER LAKE,NYSDOT,1959,04/09/2019,N
13,1,Albany,Albany (City),1033112,JCT I87 & RENSSELAER LAKE,87I 87I11081002,RENSSELAER LAKE,NYSDOT,1959,04/09/2019,N
14,1,Albany,Albany (City),1034479,JCT OF I90 & FULLER RD,90I 90I11011006,FULLER RD -CR 156,NYSDOT,1968,05/13/2019,N
15,1,Albany,Albany (City),1034519,JCT I90 & RTE 5,90I 90I11011023,S R 5-CENTRAL AVE,NYSDOT,1968,05/09/2019,N
16,1,Albany,Albany (City),1092589,1.3 MI SE JCT I90 & RT 5,90I 90I11011036,EXCHANGE ST EXT,NYSDOT,2004,07/18/2018,N
17,1,Albany,Albany (City),1092461,0.5 MI NW JCT I90 & I787,90I 90I11013014,BROADWAY,NYSDOT,1967,05/09/2018,N
18,1,Albany,Albany (City),1092462,0.5 MI NW JCT I90 & I787,90I 90I11013014,BROADWAY CTYST,NYSDOT,1967,05/09/2018,N
19,1,Albany,Albany (City),1092472,0.6 MI NW JCT I90 & I787,90I 90I11013014,NO.PEARL ST-RT 32,NYSDOT,1967,06/11/2018,N
20,1,Albany,Albany (City),1092471,0.6 MI NW JCT I90 & I787,90I 90I11013014,NO.PEARL ST. RT32,NYSDOT,1967,06/11/2018,N
21,1,Albany,Albany (City),1092451,0.3 MI NW JCT I90 & I787,90I 90I11013016,ERIE BLVD,NYSDOT,1967,12/18/2018,N
22,1,Albany,Albany (City),1092452,0.3 MI NW JCT I90 & I787,90I 90I11013016,ERIE BLVD.,NYSDOT,1968,12/18/2018,N
23,1,Albany,Albany (City),1092432,JCT I90 & I787,90I 90I11013018 EB,787IX,NYSDOT,1968,11/20/2018,N
24,1,Albany,Albany (City),1092431,JCT I90 & I787,90I 90I11013018 WB,787IX,NYSDOT,1967,11/20/2018,N
25,1,Albany,Albany (City),1092839,JCT I90 & HUDSON RIVER,90I 90I11013020,CSX TRANSPRTATION,NYSDOT,1968,12/17/2018,N
26,1,Albany,Albany (City),109283A,JCT I90 & HUDSON RIVER,90I 90I11013020,HUDSON RIVER BANK,NYSDOT,1968,08/11/2018,N
27,1,Albany,Albany (City),109283B,JCT I90 & HUDSON RIVER,90I 90I11013020,HUDSON RIVER BANK,NYSDOT,1968,08/12/2018,N
28,1,Albany,Albany (City),1025320,JCT RTE 443 & I87 TO I90,443,87IX,NYS Thruway Authority,1952,08/31/2018,N
29,1,Albany,Albany (City),1025310,RTE 443 OVER NORMANSKILL,443 443 11021237,MILL ROAD,NYSDOT,1996,10/30/2019,N
30,1,Albany,Albany (City),109299A,RAMP I787 NB - SO MALL WB,787 NB TO SXE WB,SOUTH MALL EXPWAY,NYSDOT,1973,10/05/2017,N
31,1,Albany,Albany (City),1092970,I787 SB RAMP & BROADWAY,787I SB to 9&20EB,787I787I11011018,NYSDOT,1972,12/10/2019,N
32,1,Albany,Albany (City),1049669,0.2 MI E JCT RT 9W & I787,787I787I11011004,TWY CONN WB RAMP,NYSDOT,1966,09/12/2018,N
33,1,Albany,Albany (City),1022479,JCT RT 32 & I787,787I787I11011008,SO.PEARL ST.RT.32,NYSDOT,1966,06/11/2018,N
34,1,Albany,Albany (City),1092992,I787 & B:WAY - D&H RWY,787I787I11011013,BROADWAY,NYSDOT,1973,12/05/2019,N
35,1,Albany,Albany (City),1092991,IN ALBANY,787I787I11011013,BROADWAY,NYSDOT,1973,11/09/2019,N
36,1,Albany,Albany (City),1092951,I787 & BWAY-QUAY ST CONN,787I787I11011021,BWAY-QUAY ST CONN,NYSDOT,1973,08/01/2019,N
