,Fiscal Year,Project ID,Project Name,Project Description,Project Address,Current Phase,Current Phase Type,Project URL,Latitude,Longitude,Council Districts,Location
0,2020,P508331,Roof Replacement: MCG,This project provides for major roof replacement of County buildings.,,Ongoing,1,,,,,
1,2020,P023805,Blue Plains WWTP:Plant Wide Projects,,,TBA,1,https://www.dcwater.com/blue-plains,,,,
2,2020,P023807,Cabin Branch WWPS,,,TBA,1,,,,,
3,2019,P056500,ESOL Centers - (RROCS),,,Ongoing,1,,,,,
4,2020,P093801,Shady Grove Standpipe Replacement,Check appropriation.,,TBA,1,,39.119847,-77.164635,3.0,"(39.119847, -77.164635)"
5,2020,P113805,Trunk Sewer Reconstruction Program,"The Trunk Sewer Reconstruction Program provides for the inspection, evaluation, planning, design and construction required for the rehabilitation of sewer mains 15-inches in diameter and larger and their associated manholes.",,Planning Stage,1,,,,,
6,2020,P143802,Potomac WFP Corrosion Mitigation,,,,1,,,,,
7,2020,P311701,Master Lease: Self-Contained Breathing Apparatus,This project provides for the purchase of Self-Contained Breathing Apparatus (SCBA) .  The SCBA provides breathable air to firefighters in dangerous environments.  All current SCBA will be replaced.,Countywide.,Bids Let,1,,,,,
8,2020,P501734,Franklin Avenue Sidewalk,"This project provides for continuous sidewalk along the north side of Franklin Ave from Colesville Rd (US 29) to University Blvd (MD 193). The project includes 4600 linear feet of sidewalk, new curb and gutter, and storm drains.",Silver Spring,Final Design Stage,1,,39.009286,-77.013329,5.0,"(39.009286, -77.013329)"
9,2020,P651540,Col. E Brooke Lee MS - Future Revitalization/Expansion,,,Planning Stage,1,http://www.montgomeryschoolsmd.org/schools/leems/,39.04838,-77.056345,4.0,"(39.04838, -77.056345)"
10,2020,P382002,Damascus Town Center WWPS Replacement,,,Planning Stage,1,,,,,
11,2020,P871546,PLAR: LP - Resurfacing Lots and Paths,"Routine renovations of parking lots, entrance roads and paved walkways not part of the hiker-biker trail system.",,Ongoing,1,,,,,
12,2020,P998709,PLAR: NL - Play Equipment,"Renovation of non-local park playground equipment, timbers, wood chips, drainage, and edging.",,Ongoing,1,,,,,
