,Company Name,Business Description,Street Address,City,State,County,Phone,Fax,Email,Commodity Code(s)
0,121 Group Holdings LLC,"In-Flight food Catering, restaurant",45 Rason Road,Inwood,NY,Nassau,914-669-8434,914-485-1499,info@121group.com,722310 - Airline food services contractors
1,212 Harakawa Inc.,GRAPHIC DESIGN;,"902 Broadway, Floor 20",New York,NY,New York,212-254-6670,212-254-6614,aharakawa@twotwelve.com,541430 - Graphic design services
2,21ST CENTURY DESIGN,Architectural Services;,1008 MADISON AVENUE,ALBANY,NY,Albany,518-446-0939,,centurydesign_21@yahoo.com,541310 - Architectural Services; 541330 - Engineering services; 541370 - Surveying and Mapping (except Geophysical) Services; 010R - MECHANICAL DESIGN; 020A - ARCHITECTURE; 040A - LAND SURVEYING/TOPO MAPPING & 3D MODELING; 040B - RIGHT OF WAY DETERMINATION AND MAPPING; 050A - CONSTRUCTION INSPECTION
3,"2KB ENERGY SERVICES, LLC",2KB Energy Services provides energy efficiency services including: retro-commissioning; energy efficiency inspections; energy efficiency program management; energy consulting; energy savings performance contracting owners representation; energy program administration.,7778 MCGINNIS FERRY RD,SUWANEE,GA,,404-398-4430,404-529-4534,georgeb@2kbenergyservices.com,541690 - Energy consulting services
4,"3C Solutions, Inc.",JANITORIAL SERVICES;,396 HEWLETT PARKWAY,HEWLETT,NY,Nassau,516-284-9925,516-821-1301,orcasanova@hotmail.com,561720 - Janitorial services
5,"3G Warehouse, Inc.",General Warehousing & Storage.;,565 BROADHOLLOW ROAD STE 1,FARMINGDALE,NY,Suffolk,631-617-5951,631-617-5954,lauren@3gwhse.com,423610 - Signal systems and devices merchant wholesalers; 493110 - General warehousing and storage; 493120 - Refrigerated Warehousing and Storage; 493130 - Farm Product Warehousing and Storage; 724 - TRAFFIC SIGNALS; 726 - DETECTABLE WARNING UNITS; 730 - SIGNS AND DELINEATORS
6,3Twice,"Document Sharing,Streamline document process through Cloud Computing;",1370 East Kent Road,Kent,NY,Orleans,585-410-0567,,charlene.washington@gmail.com,"518210 - Data Processing, Hosting, and Related Services"
7,4M Precision Industries Inc.,Full services metal stamping plant with precision tool and die manufacturing capabilities;,4000 Technology Park Blvd,Auburn,NY,Cayuga,315-252-8415,315-253-9611,ecmorin@4mprecision.com,"332510 - Hardware Manufacturing; 332710 - Machine shops; 332721 - Precision turned product manufacturing; 332722 - Bolt, Nut, Screw, Rivet, and Washer Manufacturing; 332812 - Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers; 332999 - All Other Miscellaneous Fabricated Metal Product Manufacturing; 333514 - Special Die and Tool, Die Set, Jig, and Fixture Manufacturing; 333618 - Other Engine Equipment Manufacturing"
8,"4Ward Planning, Inc.",,21 LaFayette Street,Hopewell,NJ,,609-306-5001,609-333-1998,tpoole@landuseimpacts.com,541690 - Economic consulting services; 541910 - Marketing research services
9,"5 Star Contractors, LLC",Electrical Contractor;,68 JEFFERSON ST,METUCHEN,NJ,,732-310-3461,,fivestarcontractorsllc@yahoo.com,236118 - Residential Remodelers; 238210 - Electrical Contractors and Other Wiring Installation Contractors; 238290 - Other Building Equipment Contractors; 060A - CONSTRUCTION MANAGEMENT
