,Full Street Name,Direction,Street ,Suffix,Suffix Direction,Min Address,Max Address
0,E 100TH PL,E,100TH,PL, ,1,1199
1,W 100TH PL,W,100TH,PL, ,300,2629
2,E 100TH ST,E,100TH,ST, ,1,4001
3,W 100TH ST,W,100TH,ST, ,1,2799
4,E 101ST PL,E,101ST,PL, ,1,699
5,W 101ST PL,W,101ST,PL, ,300,3999
6,E 101ST ST,E,101ST,ST, ,1,3699
7,W 101ST ST,W,101ST,ST, ,1,3999
8,E 102ND PL,E,102ND,PL, ,1,699
9,W 102ND PL,W,102ND,PL, ,300,3947
10,E 102ND ST,E,102ND,ST, ,1,3898
11,W 102ND ST,W,102ND,ST, ,1,3999
12,E 103RD PL,E,103RD,PL, ,1,799
13,W 103RD PL,W,103RD,PL, ,1,2651
14,E 103RD ST,E,103RD,ST, ,1,3899
15,W 103RD ST,W,103RD,ST, ,1,3999
16,E 104TH PL,E,104TH,PL, ,100,799
17,W 104TH PL,W,104TH,PL, ,1,3999
18,E 104TH ST,E,104TH,ST, ,1,3951
19,W 104TH ST,W,104TH,ST, ,1,3999
20,E 105TH PL,E,105TH,PL, ,532,799
21,W 105TH PL,W,105TH,PL, ,200,3599
22,E 105TH ST,E,105TH,ST, ,1,3999
23,W 105TH ST,W,105TH,ST, ,1,3999
24,W 106TH PL,W,106TH,PL, ,1,2651
25,E 106TH ST,E,106TH,ST, ,200,4099
26,W 106TH ST,W,106TH,ST, ,200,3999
27,W 107TH PL,W,107TH,PL, ,200,3910
28,E 107TH ST,E,107TH,ST, ,1,4099
29,W 107TH ST,W,107TH,ST, ,1,3999
30,W 108TH PL,W,108TH,PL, ,1,3909
31,E 108TH ST,E,108TH,ST, ,1,4099
32,W 108TH ST,W,108TH,ST, ,1,3899
33,W 109TH PL,W,109TH,PL, ,1,3899
34,E 109TH ST,E,109TH,ST, ,1,4099
35,W 109TH ST,W,109TH,ST, ,1,3999
36,E 110TH PL,E,110TH,PL, ,1,3899
37,W 110TH PL,W,110TH,PL, ,1,3899
38,E 110TH ST,E,110TH,ST, ,1,4099
39,W 110TH ST,W,110TH,ST, ,1,3999
40,E 111TH PL,E,111TH,PL, ,1,599
41,W 111TH PL,W,111TH,PL, ,1,2399
42,E 111TH ST,E,111TH,ST, ,1,4099
43,W 111TH ST,W,111TH,ST, ,1,4799
44,E 112TH PL,E,112TH,PL, ,1,99
45,W 112TH PL,W,112TH,PL, ,1,3799
46,E 112TH ST,E,112TH,ST, ,1,4099
47,W 112TH ST,W,112TH,ST, ,1,3199
48,E 113TH PL,E,113TH,PL, ,1,99
49,W 113TH PL,W,113TH,PL, ,1,3671
