,hh_id,num_trips,num_days_complete,person_id,person_num,is_participant,phone_type,relationship,age,r_age,race_1,race_2,race_3,race_4,race_5,race_6,race_997,race_999,r_race,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_997,ethnicity_999,r_ethnicity,gender,can_drive,disability,disability_follow_1,disability_follow_2,disability_follow_3,disability_follow_4,disability_follow_5,disability_follow_6,disability_follow_996,disability_follow_999,education,employment,worker,num_jobs,job_type,industry,work_in_region,work_county,work_cms_zone,wfh_policy,commute_freq,telework_freq,r_telework_freq,work_mode,r_work_mode,work_mode_own,work_mode_auto,work_park_loc,work_park_pay,work_park_cost,work_park_amount,work_mode_taxi,work_mode_bus,work_mode_rail,work_mode_ferry,work_mode_bike,work_bike_park,work_mode_scooter,work_scooter_park,student,r_student,school_type,r_school_type,school_in_region,school_county,school_freq,remote_class_freq,school_mode,school_mode_own,school_mode_auto,school_park_loc,school_park_cost,school_park_amount,school_mode_taxi,school_mode_bus,school_mode_rail,school_mode_ferry,school_mode_bike,school_bike_park,school_mode_scooter,school_scooter_park,home_park_1,home_park_2,home_park_3,home_park_pay,home_park_cost,home_park_amount,second_home,second_home_freq,second_home_in_region,second_home_county,share_1,share_2,share_3,share_4,share_5,share_6,share_996,tnc_freq,tnc_purp,carshare_freq,vehicle,bike_freq,bike_purp_1,bike_purp_2,bike_purp_3,bike_purp_4,bike_purp_5,bike_purp_6,bike_purp_997,no_bike_nyc_1,no_bike_nyc_2,no_bike_nyc_3,no_bike_nyc_4,no_bike_nyc_5,no_bike_nyc_6,no_bike_nyc_7,no_bike_nyc_9,no_bike_nyc_997,no_freq_bike_nyc_1,no_freq_bike_nyc_2,no_freq_bike_nyc_3,no_freq_bike_nyc_4,no_freq_bike_nyc_5,no_freq_bike_nyc_6,no_freq_bike_nyc_997,no_freq_bike_nyc_other,bike_stolen,citi_bike_freq,citi_bike_type,citi_bike_pay,citi_bike_alt_mode,no_bike_share_1,no_bike_share_2,no_bike_share_3,no_bike_share_4,no_bike_share_5,no_bike_share_6,no_bike_share_7,no_bike_share_8,no_bike_share_997,micromobility_devices_204,micromobility_devices_83,micromobility_devices_205,micromobility_devices_73,micromobility_devices_206,micromobility_devices_207,micromobility_devices_996,kid_accompany,kid_mode,r_kid_mode,kid_mode_own,kid_mode_auto,kid_mode_taxi,kid_mode_bus,kid_mode_rail,kid_mode_ferry,kid_access,kid_egress,kid_mode_bike,kid_mode_scooter,harassment,harassment_change_1,harassment_change_2,harassment_change_3,harassment_change_4,harassment_change_5,harassment_change_6,harassment_change_7,harassment_change_8,harassment_change_9,harassment_change_10,harassment_change_996,harassment_change_997,person_weight
0,22000050,4,5,2200005001,1,1,995,0,6,3,0,0,0,0,0,0,1,0,6,0,0,1,0,1,0,0,7,2,3,0,995,995,995,995,995,995,995,995,5,6,0,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,3,2,997,7,1,36061.0,995,6,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,0,995,0,,1,0,0,0,0,0,0,6,995,995,995,3,1,0,1,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,1,995,995,995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,1,0,0,0,1,0,0,0,0,0,0,1078.620338
1,22000105,61,7,2200010501,1,1,995,0,8,3,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,3,2,1,0,995,995,995,995,995,995,995,995,3,1,1,1,1,8,1,36061.0,3,1,1,995,996,102,102,995,995,995,995,995,,995,23,995,995,995,995,995,995,2,3,995,995,995,,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,0,995,0,,0,0,0,0,0,0,1,995,995,995,995,996,995,995,995,995,995,995,995,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,4,995,995,995,995,995,995,995,995,995,995,995,995,3446.521161
2,22000128,53,6,2200012801,1,1,995,0,6,3,0,0,0,0,0,0,0,1,999,0,0,0,0,1,0,0,5,1,1,0,995,995,995,995,995,995,995,995,4,3,1,1,4,12,995,,995,995,996,1,996,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,2,3,995,995,995,,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,0,0,1,0,995,,0,995,0,,1,0,0,0,0,0,0,6,995,995,6,996,995,995,995,995,995,995,995,0,0,1,1,0,0,1,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,4,995,995,995,995,995,995,995,995,995,995,995,995,3491.195438
3,22000430,30,7,2200043001,1,1,995,0,5,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1,0,995,995,995,995,995,995,995,995,7,8,1,1,995,1,995,,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,2,3,995,995,995,,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,0,0,1,0,995,,0,995,0,,1,0,0,0,0,0,0,6,995,995,6,996,995,995,995,995,995,995,995,1,0,1,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,1,0,0,1,0,1,0,0,0,203.8705725
4,22000460,9,5,2200046001,1,1,995,0,6,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,3,999,995,995,995,995,995,995,995,995,7,1,1,1,1,14,1,36081.0,5,1,2,3,3,105,105,995,995,995,995,995,,995,995,30,995,995,995,995,995,2,3,995,995,995,,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,0,995,0,,1,0,0,0,0,0,0,5,1,995,995,996,995,995,995,995,995,995,995,0,1,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,4,995,995,995,995,995,995,995,995,995,995,995,995,177.3704643
5,22000533,41,7,2200053301,1,1,995,0,7,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,1,0,995,995,995,995,995,995,995,995,3,1,1,1,1,8,1,36005.0,1,1,1,995,996,102,102,995,995,995,995,995,,995,23,995,995,995,995,995,995,2,3,995,995,995,,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,0,995,0,,1,0,0,0,0,0,0,6,995,995,995,6,0,0,1,0,0,0,0,995,995,995,995,995,995,995,995,995,0,0,0,0,0,1,0,995,0,6,995,995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,1,0,0,0,1919.431434
6,22000607,58,7,2200060701,1,1,2,0,8,3,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,5,2,1,0,995,995,995,995,995,995,995,995,3,3,1,1,1,10,1,36061.0,4,1,1,995,996,105,105,995,995,995,995,995,,995,995,30,995,995,995,995,995,2,3,995,995,995,,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,1,0,0,1,3,202.0,0,995,0,,1,0,0,0,0,0,0,6,995,995,6,6,0,0,1,0,0,0,0,995,995,995,995,995,995,995,995,995,1,0,0,0,0,1,0,995,995,5,1,1,1,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,0,0,1,0,6348.512627
7,22000655,34,7,2200065501,1,1,995,0,5,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,6,1,1,0,995,995,995,995,995,995,995,995,6,1,1,1,1,7,1,36005.0,2,1,1,995,996,100,100,6,995,4,1,995,,995,995,995,995,995,995,995,995,3,2,13,6,1,36061.0,995,996,995,995,995,995,995,,995,995,995,995,995,995,995,995,0,0,1,0,995,,0,995,0,,1,0,0,0,0,0,0,6,995,995,6,996,995,995,995,995,995,995,995,0,0,0,0,0,0,1,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,4,995,995,995,995,995,995,995,995,995,995,995,995,333.376799
8,22000768,73,5,2200076801,1,1,995,0,6,3,0,0,0,0,1,0,0,0,5,0,0,0,1,0,1,0,7,1,3,1,0,0,1,0,0,0,0,0,6,1,1,1,1,14,1,36047.0,8,1,1,995,996,105,105,995,995,995,995,995,,995,995,30,995,995,995,995,995,2,3,995,995,995,,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,0,995,0,,1,0,0,0,0,0,0,3,2,995,995,6,0,1,0,0,0,0,0,995,995,995,995,995,995,995,995,995,1,1,0,0,0,1,1,995,995,5,1,5,1,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,1,1,1,1,1,1,0,1,1,0,0,203.7610143
9,22000889,0,1,2200088901,1,1,2,0,5,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,3,0,995,995,995,995,995,995,995,995,6,1,1,2,5,4,1,36061.0,4,3,3,3,3,105,105,995,995,995,995,995,,995,995,30,995,995,995,995,995,2,3,995,995,995,,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,0,995,0,,1,0,0,0,0,0,0,6,995,995,995,996,995,995,995,995,995,995,995,1,0,1,1,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,1,1,1,1,0,0,0,1,1,0,0,275.2270668
