,hh_id,weight,cms_zone,survey_mode,vehicle_num,vehicle_id,year,home_park,home_park_amount_day,home_park_amount_month,home_park_amount_week,home_park_amount_year
0,191547753,211.12838,Inner Brooklyn,1,1,191547753101,2012,1,,,,
1,191546322,212.12729,Inner Brooklyn,1,1,191546322101,2003,1,,,,
2,197305718,209.57936,Inner Brooklyn,1,1,197305718101,2017,995,,,,
3,194145859,216.12161,Inner Brooklyn,1,1,194145859101,2000,1,,,,
4,198384279,224.94794,Inner Brooklyn,1,1,198384279101,2016,995,,,,
5,197159897,474.11182,Inner Brooklyn,1,1,197159897101,2002,1,,,,
6,199459719,258.64659,Inner Brooklyn,1,1,199459719101,2016,995,,,,
7,195297789,1185.53299,Inner Brooklyn,1,1,195297789101,2017,1,,,,
8,191912929,2626.49544,Inner Brooklyn,1,1,191912929101,2018,1,,,,
9,199478901,226.70191,Inner Brooklyn,1,1,199478901101,2012,1,,,,
10,196165032,226.80084,Inner Brooklyn,1,1,196165032101,2015,1,,,,
11,193988968,224.67705,Inner Brooklyn,1,1,193988968101,2008,1,,,,
12,192434956,251.23279,Inner Brooklyn,1,1,192434956101,2017,1,,,,
13,198283437,223.16545,Inner Brooklyn,1,1,198283437101,2008,995,,,,
14,194220775,431.18642,Manhattan Core,1,1,194220775101,2018,4,,250.0,,
15,191746316,753.58847,Manhattan Core,1,1,191746316101,2009,2,,,,
16,199235364,2756.87695,Manhattan Core,1,1,199235364101,2017,4,,400.0,,
17,196141063,535.68223,Manhattan Core,1,1,196141063101,2013,1,,,,
18,190822124,673.01581,Manhattan Core,1,1,190822124101,2010,1,,,,
19,196332274,597.95151,Manhattan Core,1,1,196332274101,2016,4,,550.0,,
20,190598466,410.12156,Manhattan Core,1,1,190598466101,2013,4,,,,
21,190629161,730.47005,Manhattan Core,1,1,190629161101,2006,1,,,,
22,195706059,2018.58251,Northern Manhattan,1,1,195706059101,2004,3,,,,
23,195469310,225.5073,Northern Manhattan,1,1,195469310101,1998,1,,,,
24,195553334,181.4437,Northern Manhattan,1,1,195553334101,2013,1,,,,
25,196358303,348.45078,Northern Manhattan,1,1,196358303101,2017,5,,,,
26,198161000,292.96078,Northern Manhattan,1,1,198161000101,2005,1,,,,
27,19745584,309.76387,Inner Brooklyn,1,2,19745584102,2013,995,,,,
28,19745584,309.76387,Inner Brooklyn,1,1,19745584101,2015,995,,,,
29,19619289,214.07322,Inner Brooklyn,1,1,19619289101,2016,995,,,,
30,19083001,710.88216,Inner Brooklyn,1,1,19083001101,2013,1,,,,
31,19184618,210.74409,Inner Brooklyn,1,1,19184618101,2016,995,,,,
32,19891275,210.77351,Inner Brooklyn,1,2,19891275102,2003,995,,,,
33,19891275,210.77351,Inner Brooklyn,1,1,19891275101,2017,995,,,,
34,19457250,221.8383,Inner Brooklyn,1,1,19457250101,2016,4,,60.0,,
35,19991272,217.61714,Inner Brooklyn,1,1,19991272101,2010,1,,,,
36,19372690,210.64338,Inner Brooklyn,1,1,19372690101,2009,1,,,,
37,19950244,211.77996,Inner Brooklyn,1,1,19950244101,2014,995,,,,
38,19506927,222.62789,Inner Brooklyn,1,1,19506927101,2009,1,,,,
39,19041670,3351.62145,Inner Brooklyn,1,1,19041670101,2008,1,,,,
40,19823601,223.30332,Inner Brooklyn,1,1,19823601101,2012,1,,,,
41,19375127,3937.24354,Inner Brooklyn,1,2,19375127102,2000,995,,,,
42,19375127,3937.24354,Inner Brooklyn,1,1,19375127101,2012,995,,,,
43,19595774,3903.64457,Inner Brooklyn,1,1,19595774101,2007,1,,,,
44,19849037,212.51177,Inner Brooklyn,1,1,19849037101,2001,995,,,,
45,19817790,31454.33028,Inner Brooklyn,1,2,19817790102,2007,995,,,,
46,19817790,31454.33028,Inner Brooklyn,1,1,19817790101,2008,1,,,,
47,19891929,213.59184,Inner Brooklyn,1,1,19891929101,2016,995,,,,
48,19802205,436.6355,Inner Brooklyn,1,2,19802205102,2006,1,,,,
49,19802205,436.6355,Inner Brooklyn,1,1,19802205101,2004,995,,,,
50,19472712,223.06915,Inner Brooklyn,1,1,19472712101,2012,1,,,,
51,19870533,222.841,Inner Brooklyn,1,1,19870533101,2017,4,,,,
52,19475442,223.15427,Inner Brooklyn,1,2,19475442102,2008,995,,,,
53,19475442,223.15427,Inner Brooklyn,1,1,19475442101,2018,995,,,,
54,19545969,892.09955,Inner Brooklyn,1,1,19545969101,2009,1,,,,
55,19116641,231.32391,Inner Brooklyn,1,1,19116641101,2006,4,,,,
56,19696827,222.77,Inner Brooklyn,1,1,19696827101,2005,995,,,,
57,19170034,223.06915,Inner Brooklyn,1,1,19170034101,2005,5,,275.0,,
58,19788214,222.52491,Inner Brooklyn,1,1,19788214101,2017,1,,,,
59,19352431,245.97095,Inner Brooklyn,1,4,19352431104,2017,995,,,,
60,19352431,245.97095,Inner Brooklyn,1,3,19352431103,2015,995,,,,
61,19352431,245.97095,Inner Brooklyn,1,2,19352431102,2008,995,,,,
62,19352431,245.97095,Inner Brooklyn,1,1,19352431101,2004,1,,,,
63,19384607,226.35417,Inner Brooklyn,1,1,19384607101,2014,4,,280.0,,
64,19046088,216.52176,Inner Brooklyn,1,2,19046088102,2006,995,,,,
65,19046088,216.52176,Inner Brooklyn,1,1,19046088101,2015,1,,,,
66,19347391,40405.70074,Inner Brooklyn,1,1,19347391101,2018,1,,,,
67,19963148,258.64357,Inner Brooklyn,1,1,19963148101,2015,4,,,,
68,19703400,553.0483,Inner Brooklyn,1,1,19703400101,2017,4,,,,
69,19967680,525.00077,Inner Brooklyn,1,1,19967680101,2017,4,,400.0,,
70,19391837,222.62172,Inner Brooklyn,1,1,19391837101,2015,1,,,,
71,19005267,222.77,Inner Brooklyn,1,1,19005267101,2002,995,,,,
72,19066056,195.17521,Inner Brooklyn,1,1,19066056101,2015,2,,,,
73,19812806,236.22859,Inner Brooklyn,1,1,19812806101,2005,1,,,,
74,19893289,231.93128,Inner Brooklyn,1,1,19893289101,2007,1,,,,
75,19328953,238.81603,Inner Brooklyn,1,1,19328953101,2012,1,,,,
76,19915209,222.82065,Inner Brooklyn,1,1,19915209101,2009,5,,450.0,,
77,19282504,196.62083,Inner Brooklyn,1,1,19282504101,2019,3,,,,
78,19244739,237.98473,Inner Brooklyn,1,2,19244739102,2004,995,,,,
79,19244739,237.98473,Inner Brooklyn,1,1,19244739101,2016,1,,,,
80,19420803,222.82065,Inner Brooklyn,1,1,19420803101,2018,1,,,,
81,19439525,226.80084,Inner Brooklyn,1,1,19439525101,2007,995,,,,
82,19064848,231.48261,Inner Brooklyn,1,1,19064848101,2014,5,,210.0,,
83,19503425,227.06547,Inner Brooklyn,1,2,19503425102,1989,995,,,,
84,19503425,227.06547,Inner Brooklyn,1,1,19503425101,2005,4,,225.0,,
85,19284281,4084.58886,Inner Brooklyn,1,1,19284281101,2015,1,,,,
86,19643084,2636.94054,Inner Brooklyn,1,1,19643084101,2012,1,,,,
87,19227730,236.88714,Inner Brooklyn,1,1,19227730101,2015,1,,,,
88,19271525,401.79586,Inner Brooklyn,1,1,19271525101,2014,995,,,,
89,19417003,238.4906,Inner Brooklyn,1,1,19417003101,2010,1,,,,
90,19766397,222.77,Inner Brooklyn,1,1,19766397101,2010,995,,,,
91,19468812,223.38256,Inner Brooklyn,1,1,19468812101,2018,1,,,,
92,19849829,238.47258,Inner Brooklyn,1,1,19849829101,2016,1,,,,
93,19558112,2018.02139,Inner Brooklyn,1,1,19558112101,2011,1,,,,
94,19414427,224.5602,Inner Brooklyn,1,1,19414427101,2010,1,,,,
95,19109577,4122.49095,Inner Brooklyn,1,4,19109577104,2014,995,,,,
96,19109577,4122.49095,Inner Brooklyn,1,3,19109577103,2017,995,,,,
97,19109577,4122.49095,Inner Brooklyn,1,2,19109577102,2004,1,,,,
98,19109577,4122.49095,Inner Brooklyn,1,1,19109577101,2013,995,,,,
99,19644128,4117.94977,Inner Brooklyn,1,1,19644128101,2015,1,,,,
