,X,Y,OBJECTID,Num,ARFVTP_ID,Agreement_Number,Project_Number,Recipient_Contractor,Project_Title,Project_Amount,Project_Type,Fuel_Type,Supply_Chain_Phase,RDD_D_Phase,Status,Project_Address,Project_City,Project_State,Project_Zip,Full_Address,Latitude,Longitude,Confidence,County,Senate_District,Senate_Sort,Assembly_District,Air_District,Electric_Service_Area,Disadvantaged_Community_OEHHA,Disadvantaged_Community_SB535,Low_Income_SB535,CES_Score,CES_Percentile,CES_Percentile_Range,Assembly_Sort,Project_Location,LowIncome_SB1000,Fiscal_Year,DAC_OEHHA__and_LIC_SB1000_,DAC_CARB__LIC_CARB_,Disadvantaged_Community_CES3,Disadvantaged_Community_CES4
0,-13628414.2288,4545297.2,7676,,,ARV-10-032,57,ABAG,Bay Area EV Corridor Project: Phase I EVSE Development,14532.6483902,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,3809 20th St,San Francisco,CA,94114,"3809 20th St, San Francisco CA 94114",37.758012,-122.426128,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,4.99244640525854,3.03832576903681,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
1,-13579000.6868,4516520.2057,7677,,,ARV-13-032,24,CA EV Alliance,Bay Area Charge Ahead Project Two (BayCap2),12474.4881578947,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,3810 Capitol Ave,Fremont,CA,94538,"3810 Capitol Ave, Fremont CA 94538",37.5533523,-121.9822386,Medium,Alameda,State Senate District 10,10,State Assembly District 24,Bay Area,Pacific Gas & Electric Company,NO,No,No,19.9487021613776,37.4180534543621,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
2,-13029176.1778,3861707.1276,7678,,,ARV-12-015,16,"RTC Fuels, LLC dba Pearson Fuels",Pearson Fuels E85 Stations,71053.0,E85 Fueling Infrastructure,Ethanol,Local Infra,Deployment,Complete,3810 Massachusetts Ave,La Mesa,CA,91941,"3810 Massachusetts Ave, La Mesa CA 91941",32.746522,-117.043081,High,San Diego,State Senate District 39,39,State Assembly District 79,San Diego,San Diego Gas & Electric,NO,No,Yes,34.4314972036537,66.5784165405951,,,Low Income,Yes,,,,NO,NO
3,-13020636.8597,3868230.9565,7679,,,ARV-09-005,78,Blink Acquisition,Nissan Electric Vehicle Demonstration and Vehicle Infrastructure Evaluation,6848.52221535,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,131 Chambers St,El Cajon,CA,92020,"131 Chambers St, El Cajon CA 92020",32.795799,-116.966371,High,San Diego,State Senate District 39,39,State Assembly District 79,San Diego,San Diego Gas & Electric,NO,No,Yes,35.2398366430638,67.9399899142713,,,Low Income,Yes,,,,NO,NO
4,-13752227.106,5056974.4959,7680,,,ARV-22-008,,Redwood Coast Energy Authority,North Coast Plug-In Electric Vehicle Charging Network Phase 2,70000.0,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,38162 Hwy 96,Orleans,CA,95556,"38162 Hwy 96, Orleans CA 95556",41.301901,-123.538358,High,Humboldt,State Senate District 2,2,State Assembly District 2,North Coast Unified,Pacific Gas & Electric Company,NO,No,Yes,14.6894019093147,24.7730711043873,,,Low Income,Yes,,,,NO,NO
5,-13520478.8393,4416655.8598,7681,,,ARV-10-032,12,ABAG,Bay Area EV Corridor Project: Phase I EVSE Development,7266.32419512,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,3825 Union Rd,Hollister,CA,95023,"3825 Union Rd, Hollister CA 95023",36.83876059,-121.4565279,High,San Benito,State Senate District 17,17,State Assembly District 29,Monterey Bay Unified,Pacific Gas & Electric Company,NO,No,No,26.4981029310093,51.9793242561775,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
6,-13068576.5984,4045162.2192,7682,,,ZVI-22-004,,Evgo Services LLC,Reliable Fast Charging Access for Multi-Family Housing -Southern California,592270.71,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,1310 W Baseline Rd.,Rialto ,CA,92376,"1310 W Baseline Rd., Rialto  CA 92376",34.121753,-117.397021,High,San Bernardino,State Senate District 29,29,State Assembly District 45,South Coast,Southern California Edison,YES,Yes,No,46.5087246194885,83.8754412506304,,,Disadvantaged Community,No,,,,YES,YES
7,-13520478.8393,4416655.8598,7683,,,,E-00227,CALeVIP Recipient,CALeVIP,7799.21,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,3825 Union Rd,Hollister,CA,95023,"3825 Union Rd, Hollister CA 95023",36.83876059,-121.4565279,High,San Benito,State Senate District 17,17,State Assembly District 29,Monterey Bay Unified,Pacific Gas & Electric Company,NO,No,No,26.4981029310093,51.9793242561775,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
8,-13164844.9148,4036217.6572,7684,,,,M-22595,CALeVIP Recipient,CALeVIP,120000.0,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,1311 W 5th St,Los Angeles,,90017,"1311 W 5th St, Los Angeles  90017",34.055209,-118.261814,High,Los Angeles,State Senate District 26,26,State Assembly District 54,South Coast,Los Angeles Department of Water & Power,YES,Yes,Yes,50.4972576895741,88.3888048411498,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
9,-13037362.6131,3850121.3581,7685,,,ARV-15-068,8,San Diego Port Tenants Association,San Diego Port Sustainable Freight Demonstration Project,503106.316363,Medium- & Heavy- Duty Advanced Vehicle Technology Demonstration,Electric,Vehicles,Demonstration,Complete,1313 Bay Marina Drive,National City,CA,91950,"1313 Bay Marina Drive, National City CA 91950",32.658943,-117.116621,High,San Diego,State Senate District 18,18,State Assembly District 80,San Diego,San Diego Gas & Electric,YES,Yes,Yes,42.8563232695637,79.261220373172,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
