,tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk
0,Table1a,2021,3,30135,33195,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",10135,14112,ABE,PIE,970,180,81.43,G4,1.0,81.43,G4,1.0,81.43,,,202131013514112ABEPIE
1,Table1a,2021,3,30135,33195,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",10135,15304,ABE,TPA,970,19,208.93,DL,0.4659,219.98,UA,0.1193,154.11,,,202131013515304ABETPA
2,Table1a,2021,3,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11259,ABQ,DAL,580,204,184.56,WN,0.9968,184.44,WN,0.9968,184.44,,,202131014011259ABQDAL
3,Table1a,2021,3,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11298,ABQ,DFW,580,264,182.64,AA,0.9774,183.09,AA,0.9774,183.09,,,202131014011298ABQDFW
4,Table1a,2021,3,30140,30466,"Albuquerque, NM","Phoenix, AZ",10140,14107,ABQ,PHX,328,398,177.11,WN,0.6061,184.49,AA,0.3939,165.77,,,202131014014107ABQPHX
5,Table1a,2021,3,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",10140,10721,ABQ,BOS,1974,153,324.97,AA,0.4263,323.73,WN,0.1609,298.2,,,202131014010721ABQBOS
6,Table1a,2021,3,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",10140,13296,ABQ,MHT,1974,16,315.9,WN,0.7285,270.42,WN,0.7285,270.42,,,202131014013296ABQMHT
7,Table1a,2021,3,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",10140,14307,ABQ,PVD,1974,22,329.22,WN,0.5415,271.6,WN,0.5415,271.6,,,202131014014307ABQPVD
8,Table1a,2021,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,10821,ABQ,BWI,1670,159,255.89,WN,0.7212,244.89,WN,0.7212,244.89,,,202131014010821ABQBWI
9,Table1a,2021,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,11278,ABQ,DCA,1670,151,291.16,AA,0.4404,296.88,WN,0.3197,247.2,,,202131014011278ABQDCA
10,Table1a,2021,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,12264,ABQ,IAD,1670,59,343.58,UA,0.5646,382.06,WN,0.1402,266.61,,,202131014012264ABQIAD
11,Table1a,2021,3,30140,30977,"Albuquerque, NM","Chicago, IL",10140,13232,ABQ,MDW,1121,99,231.66,WN,0.9934,230.85,WN,0.9934,230.85,,,202131014013232ABQMDW
12,Table1a,2021,3,30140,30977,"Albuquerque, NM","Chicago, IL",10140,13930,ABQ,ORD,1121,206,241.25,AA,0.6869,229.41,AA,0.6869,229.41,,,202131014013930ABQORD
13,Table1a,2021,3,30140,31453,"Albuquerque, NM","Houston, TX",10140,12191,ABQ,HOU,759,166,203.93,WN,0.9712,203.44,WN,0.9712,203.44,,,202131014012191ABQHOU
14,Table1a,2021,3,30140,31453,"Albuquerque, NM","Houston, TX",10140,12266,ABQ,IAH,759,148,232.85,UA,0.8512,235.69,WN,0.0447,213.54,,,202131014012266ABQIAH
15,Table1a,2021,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,11618,ABQ,EWR,1861,77,342.13,UA,0.3845,382.33,AA,0.3324,296.4,,,202131014011618ABQEWR
16,Table1a,2021,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12197,ABQ,HPN,1861,3,356.92,DL,0.6154,358.24,AA,0.3462,350.22,,,202131014012197ABQHPN
17,Table1a,2021,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12391,ABQ,ISP,1861,4,240.1,WN,0.8049,220.94,WN,0.8049,220.94,,,202131014012391ABQISP
18,Table1a,2021,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12478,ABQ,JFK,1861,177,251.78,B6,0.8338,234.07,B6,0.8338,234.07,,,202131014012478ABQJFK
19,Table1a,2021,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12953,ABQ,LGA,1861,125,295.22,AA,0.5013,302.37,WN,0.2145,229.04,,,202131014012953ABQLGA
