,tbl,Year,quarter,citymarketid,city,markets,cur_passengers,cur_fare,cur_yield,distance,ly_passengers,ly_fare,ly_yield,ly_distance,Geocoded_City,tbl2pk
0,Table 2,2021,4,34576,"Rochester, NY",7,170560,162.92,25.13,648.2,42450,150.54,19.47,773.4,,2021434576
1,Table 2,2021,4,33495,"New Orleans, LA",30,1571520,186.78,18.88,989.5,656740,150.32,14.74,1019.7,,2021433495
2,Table 2,2021,4,32337,"Indianapolis, IN",25,1246520,206.51,19.79,1043.7,570540,164.68,15.26,1079.1,,2021432337
3,Table 2,2021,4,33214,"San Antonio, TX",30,1219290,207.84,18.36,1131.7,530200,185.53,16.06,1155.0,,2021433214
4,Table 2,2021,4,32600,"Little Rock, AR",7,126870,191.8,23.06,831.6,68150,166.98,18.49,902.9,,2021432600
5,Table 2,2021,4,30140,"Albuquerque, NM",15,521750,203.89,22.58,903.2,167100,157.04,18.11,867.4,,2021430140
6,Table 2,2021,4,30325,"Denver, CO",67,6208670,179.97,17.02,1057.6,2802410,140.07,13.06,1072.7,,2021430325
7,Table 2,2021,4,30529,"Hartford, CT",19,759900,211.92,16.62,1275.1,227490,169.81,12.99,1307.4,,2021430529
8,Table 2,2021,4,31066,"Columbus, OH",23,1025500,196.93,19.89,990.1,411130,161.6,15.04,1074.3,,2021431066
9,Table 2,2021,4,31871,"Greenville/Spartanburg, SC",6,151150,196.13,29.28,669.7,53590,169.09,23.76,711.8,,2021431871
10,Table 2,2021,4,31123,"St. Louis, MO",30,1502770,191.14,19.74,968.0,654120,163.76,16.29,1005.2,,2021431123
11,Table 2,2021,4,30647,"Cleveland, OH (Metropolitan Area)",24,1150140,184.8,17.8,1038.1,446090,150.88,13.04,1157.0,,2021430647
12,Table 2,2021,4,30852,"Washington, DC (Metropolitan Area)",69,7153970,200.46,18.46,1086.0,2534050,166.24,14.15,1174.7,,2021430852
13,Table 2,2021,4,33570,"San Diego, CA",41,3086690,219.79,16.6,1324.0,1258620,173.59,12.83,1352.5,,2021433570
14,Table 2,2021,4,31453,"Houston, TX",63,4710990,191.42,18.39,1040.7,2238580,160.58,15.39,1043.3,,2021431453
15,Table 2,2021,4,34027,"West Palm Beach/Palm Beach, FL",10,952420,207.73,20.06,1035.6,321210,173.88,16.62,1046.0,,2021434027
16,Table 2,2021,4,30189,"Colorado Springs, CO",6,168820,160.02,20.25,790.4,37460,162.52,19.75,823.0,,2021430189
17,Table 2,2021,4,35096,"Syracuse, NY",9,193010,193.23,20.69,933.9,47640,169.42,15.09,1122.9,,2021435096
18,Table 2,2021,4,30397,"Atlanta, GA (Metropolitan Area)",61,6021670,191.78,21.57,889.3,2851450,158.61,17.26,918.9,,2021430397
19,Table 2,2021,4,33851,"Oklahoma City, OK",13,389050,202.73,20.65,981.9,186440,170.68,17.1,998.2,,2021433851
