,tbl,Year,quarter,mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
0,Table 5,2006,3,87.41,34057,31884,"Portland, OR","Spokane, WA",19393,WN,34330,0.59,80.44,75,0.44,125,0.25,0.0,"Portland, OR
(45.516018, -122.681425)","Spokane, WA
(47.658999, -117.425022)",20063340573188419393WN
1,Table 5,1997,4,224.47,30721,30198,"Boston, MA (Metropolitan Area)","Pittsburgh, PA",20355,US,68280,0.92,226.21,75,0.07,400,0.25,0.42,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Pittsburgh, PA
(40.442169, -79.994945)",19974307213019820355US
2,Table 5,2003,1,234.32,31995,30852,"Greensboro/High Point, NC","Washington, DC (Metropolitan Area)",20355,US,11770,0.98,234.92,100,0.15,375,0.11,0.32,"Greensboro/High Point, NC
(36.072701, -79.793899)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20031319953085220355US
3,Table 5,1998,3,71.25,32467,33195,"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",19393,WN,75060,0.64,65.54,75,0.99,75,0.99,0.0,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",19983324673319519393WN
4,Table 5,1999,3,235.25,30713,30325,"Boise, ID","Denver, CO",19977,UA,13710,0.78,239.9,125,0.09,550,0.06,0.18,"Boise, ID
(43.597772, -83.884521)","Denver, CO
(39.738453, -104.984853)",19993307133032519977UA
5,Table 5,2006,3,235.98,30977,31995,"Chicago, IL","Greensboro/High Point, NC",19977,UA,12170,0.77,239.12,100,0.05,350,0.08,0.27,"Chicago, IL
(41.775002, -87.696388)","Greensboro/High Point, NC
(36.072701, -79.793899)",20063309773199519977UA
6,Table 5,2003,1,279.13,30529,34100,"Hartford, CT","Philadelphia, PA",20355,US,11690,0.96,277.36,150,0.05,425,0.08,0.01,"Hartford, CT
(41.765775, -72.673356)","Philadelphia, PA
(39.951061, -75.16562)",20031305293410020355US
7,Table 5,2002,3,243.17,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19704,CO,12390,0.14,256.33,75,0.09,300,0.06,0.47,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20023331053170319704CO
8,Table 5,1997,1,236.5,32337,31703,"Indianapolis, IN","New York City, NY (Metropolitan Area)",20355,US,24070,0.41,242.76,125,0.19,425,0.21,0.31,"Indianapolis, IN
(39.76845, -86.156212)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",19971323373170320355US
9,Table 5,1996,3,73.28,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",19805,AA,6090,0.15,82.96,75,0.5,150,0.07,0.0016,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Midland/Odessa, TX
(31.997433, -102.078043)",19963301943315819805AA
10,Table 5,1998,3,253.94,30397,33105,"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",19790,DL,34720,0.97,255.0,100,0.26,425,0.2,0.46,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Cincinnati, OH
(39.104427, -84.513808)",19983303973310519790DL
