,Agency,Mode,Date,Week Number,Current Ridership,Year
0,WMATA Bus and Rail,Transit,06/05/2022,24,266000,2022
1,WMATA Bus and Rail,Transit,06/06/2022,24,506000,2022
2,WMATA Bus and Rail,Transit,06/07/2022,24,536000,2022
3,WMATA Bus and Rail,Transit,06/08/2022,24,551000,2022
4,WMATA Bus and Rail,Transit,06/09/2022,24,539000,2022
5,WMATA Bus and Rail,Transit,06/10/2022,24,537000,2022
6,WMATA Bus and Rail,Transit,06/11/2022,24,389000,2022
7,New York City MTA Rail,Transit,06/25/2022,27,2287013,2022
8,New York City MTA Rail,Transit,06/26/2022,27,2012595,2022
9,New York City MTA Rail,Transit,06/27/2022,27,2938858,2022
10,New York City MTA Rail,Transit,06/28/2022,27,3255241,2022
11,New York City MTA Rail,Transit,06/29/2022,27,3256053,2022
12,New York City MTA Rail,Transit,06/30/2022,27,3157979,2022
13,New York City MTA Rail,Transit,07/01/2022,27,2832840,2022
14,New York City MTA Rail,Transit,07/02/2022,28,1849135,2022
15,New York City MTA Rail,Transit,07/03/2022,28,1656683,2022
16,New York City MTA Rail,Transit,07/04/2022,28,1610232,2022
17,New York City MTA Rail,Transit,07/05/2022,28,2808749,2022
18,New York City MTA Rail,Transit,07/06/2022,28,3072910,2022
19,New York City MTA Rail,Transit,07/07/2022,28,3122067,2022
20,New York City MTA Rail,Transit,07/08/2022,28,2907947,2022
21,New York City MTA Rail,Transit,07/09/2022,29,2063982,2022
22,New York City MTA Rail,Transit,07/10/2022,29,1683057,2022
23,New York City MTA Rail,Transit,07/11/2022,29,2882750,2022
24,New York City MTA Rail,Transit,07/12/2022,29,3155100,2022
25,New York City MTA Rail,Transit,07/13/2022,29,3235923,2022
26,New York City MTA Rail,Transit,07/14/2022,29,3209517,2022
27,New York City MTA Rail,Transit,07/15/2022,29,3027178,2022
28,New York City MTA Rail,Transit,07/16/2022,30,2093270,2022
29,New York City MTA Rail,Transit,07/17/2022,30,1674929,2022
30,New York City MTA Rail,Transit,07/18/2022,30,2725555,2022
31,New York City MTA Rail,Transit,07/19/2022,30,3175609,2022
32,New York City MTA Rail,Transit,07/20/2022,30,3197109,2022
33,New York City MTA Rail,Transit,07/21/2022,30,3115263,2022
34,New York City MTA Rail,Transit,07/22/2022,30,2948074,2022
35,New York City MTA Rail,Transit,07/23/2022,31,2028728,2022
36,New York City MTA Rail,Transit,07/24/2022,31,1596201,2022
37,New York City MTA Rail,Transit,07/25/2022,31,2733414,2022
38,New York City MTA Rail,Transit,07/26/2022,31,3181480,2022
