,ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
0,OLDER ADULT CENTER CONTRACTS,C8201,HUDSON GUILD (C82),HUDSON GUILD,119 9th Ave,NEW YORK,NY,10011,MANHATTAN,212-924-6710,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.743172,-74.00376,104.0,3.0,83.0,1078418.0,1007150010.0,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-74.00376 40.743172)
1,CAREGIVER SERVICES CONTRACTS,6K101,HMH – CITYWIDE (6K1),HAMILTON MADISON HOUSE INC,100 Gold Street Lower Level,NEW YORK,NY,10038,MANHATTAN,212-788-5580,Y,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,00:00,00:00,00:00,00:00,40.710353,-74.004007,101.0,1.0,1501.0,1001289.0,1000940025.0,Battery Park City-Lower Manhattan,POINT (-74.004007 40.710353)
2,CAREGIVER SERVICES CONTRACTS,2K201,BROOKLYN CAREGIVER RESPITE PROGRAM (2K2),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,161 CORBIN PLACE,BROOKLYN,NY,11235,BROOKLYN,718-934-4180,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.578026,-73.954127,315.0,48.0,61004.0,3245719.0,3087190073.0,Brighton Beach,POINT (-73.954127 40.578026)
3,OLDER ADULT CENTER CONTRACTS,C9002,WAYSIDE OUT BROWNSVILLE SOCIAL CLUB (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,528 Mother Gaston Blvd,BROOKLYN,NY,11212,BROOKLYN,347-938-8453,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.665956,-73.905923,316.0,41.0,912.0,3325326.0,3035610001.0,Brownsville,POINT (-73.905923 40.665956)
4,CAREGIVER SERVICES CONTRACTS,3K401,HMH – LOWER MANHATTAN (3K4),HAMILTON MADISON HOUSE INC,50 Madison Street,NEW YORK,NY,10038,MANHATTAN,212-788-5580,Y,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,40.711958,-73.997825,103.0,1.0,25.0,1077420.0,1001110100.0,Chinatown,POINT (-73.997825 40.711958)
5,HOME DELIVERED MEAL SERVICE CONTRACTS,42N02,CCNS HDM - QUEENS 2 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101 Avenue,JAMAICA,NY,11416,QUEENS,718-806-1080,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.686027,-73.839777,409.0,28.0,112.0,4198392.0,4094210001.0,Richmond Hill,POINT (-73.839777 40.686027)
6,OLDER ADULT CENTER CONTRACTS,C2701,COUNCIL OF PEOPLES ORGANIZATION: HALAL SENIOR CENTER (C27),COUNCIL OF PEOPLES ORGANIZATION INC.,1075-1077 Coney Island Avenue,BROOKLYN,NY,11230,BROOKLYN,718-434-3266,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.631169,-73.966466,314.0,45.0,528.0,3178919.0,3066860080.0,Flatbush,POINT (-73.966466 40.631169)
7,OLDER ADULT CENTER CONTRACTS,C4401,INDIA HOME DESI SENIOR CENTER (C44),INDIA HOME INC,178-36 Wexford Terrace Queens NY 11432,JAMAICA,NY,11432,QUEENS,917-825-1559,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713508,-73.784561,408.0,24.0,466.0,4534092.0,4099377501.0,Jamaica Estates-Holliswood,POINT (-73.784561 40.713508)
8,HOME DELIVERED MEAL SERVICE CONTRACTS,42N03,CCNS HDM - QUEENS 3 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,91-34 182 Place,JAMAICA,NY,11423,QUEENS,718-806-1080,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.709634,-73.778431,412.0,27.0,470.0,4211802.0,4099000001.0,Jamaica,POINT (-73.778431 40.709634)
9,HOME DELIVERED MEAL SERVICE CONTRACTS,46S01,FLORENCE E. SMITH SENIOR SERVICES (46S),CORONA CONGREGATIONAL CHURCH,102-19 34TH AVENUE,FLUSHING,NY,11368,QUEENS,718-899-0553,Y,,,,,,,,,,,,,,,40.755742,-73.865988,403.0,21.0,379.0,4042602.0,4017170033.0,North Corona,POINT (-73.865988 40.755742)
