,VIN,Plate Number,Vehicle Year,Vehicle Make,Vehicle Model,Group Policy Insurer Name,Group Policy Number,Group Policy Expiration Date,Peer To Peer Company Name,Peer To Peer Vehicle Added Date
0,WBA8D9C55JEB35241,KYT 4681,2018,BMW,3 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,09/03/2022 12:00:00 AM
1,WBA8E1G54GNT35123,LKW3668,2016,BMW,3 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,06/17/2024 12:00:00 AM
2,WBA8E3G59GNU05940,KZF5584,2016,BMW,3 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,03/15/2023 12:00:00 AM
3,WBA8E5G37HNU43873,KYZ8318,2017,BMW,3 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,10/08/2022 12:00:00 AM
4,WBA8E5G50JNV03077,KXH1694,2018,BMW,3 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,08/01/2022 12:00:00 AM
5,WBA8E5G53JNU47457,KYB9259,2018,BMW,3 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,01/06/2023 12:00:00 AM
6,WBA8E9G54GNU30408,KSM3342,2016,BMW,3 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,06/14/2024 12:00:00 AM
7,WBADZ4C08LBP67966,LBL1308,2020,BMW,8 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,08/01/2023 12:00:00 AM
8,WBADZ4C0XNCH25301,LET7572,2022,BMW,8 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,04/12/2024 12:00:00 AM
9,WBAFR1C51BC739499,LCA5998,2011,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,04/28/2023 12:00:00 AM
10,WBAFR7C55DC827560,KWW6084,2013,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,08/25/2022 12:00:00 AM
11,WBAGV4C09NCH73283,LAH8237,2022,BMW,8 Series Gran Coupe,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,10/17/2022 12:00:00 AM
12,WBAGV4C0XNCJ40806,LAS6472,2022,BMW,8 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/22/2023 12:00:00 AM
13,WBAGV8C00LCE56223,LFM5418,2020,BMW,8 Series Gran Coupe,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,12/04/2023 12:00:00 AM
