,the_geom,sysid,sum_min,num_trip,lat,lng,sysname,year,assigned_month,pct_ttl_num_trips,bin_num_trip,mar_ind,sysorder,may_ind,dateStr,dateTxt,display,sysname_alt,yroverchange,yroverchange_bin,trip_type
0,POINT (-72.673371 40.909849),3,0.0,0.0,40.909849,-72.673371,"CitiBike (New York, NY)",2019,4,,,1,1,1,03/31/19 through 05/04/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
1,POINT (-72.673371 40.909849),3,0.0,0.0,40.909849,-72.673371,"CitiBike (New York, NY)",2019,52,,,1,1,1,05/05/19 through 06/01/19,2019 period corresponding to 2020 and 2019 beginning to end of month,1,"New York, NY (CitiBike)",,,9999
2,POINT (-87.6297982 41.8781136),60,0.0,0.0,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2019,6,,,1,4,1,06/02/19 through 06/29/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",,,2
3,POINT (-72.673371 40.909849),3,0.0,0.0,40.909849,-72.673371,"CitiBike (New York, NY)",2020,1,,,1,1,1,01/01/20 through 02/01/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
4,POINT (-122.410143 37.773833),42,,,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2020,42,,,1,2,1,03/29/20 through 05/02/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",,,1
5,POINT (-74.039894 40.724851),9999,0.0,0.0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2021,11,,,1,6,1,12/30/20 through 01/30/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,2
6,POINT (-71.0588801 42.3600825),1,0.0,0.0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2021,4,,,1,5,1,03/28/21 through 05/01/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",,,9999
7,POINT (-75.1652215 39.9525839),43,0.0,0.0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2021,6,,,0,7,1,05/30/21 through 06/26/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,9999
8,POINT (-72.673371 40.909849),3,0.0,0.0,40.909849,-72.673371,"CitiBike (New York, NY)",2022,7,,,1,1,1,06/26/22 through 07/30/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
9,POINT (-72.673371 40.909849),3,0.0,0.0,40.909849,-72.673371,"CitiBike (New York, NY)",2022,8,,,1,1,1,07/31/22 through 08/27/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
10,POINT (-97.7492916839957 30.2703327863944),53,440401.0,23074.0,30.2703327863944,-97.7492916839957,"MetroBike Austin (Austin, TX)",2022,3,0.008707498396166,1.0,0,12,1,02/27/22 through 03/26/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",0.588352722516693,3.0,1
11,POINT (-75.1652215 39.9525839),43,1664310.0,98250.0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2019,7,0.021463094945523,1.0,0,7,1,06/30/19 through 08/03/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,1
12,POINT (-118.2436849 34.0522342),73,794.0,34.0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2020,10,0.000300717299205,1.0,1,9,1,01/01/20 through 02/01/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",-0.951079136690647,-4.0,2
13,POINT (-75.1652215 39.9525839),43,490339.0,34420.0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2019,12,0.020204237724399,1.0,0,7,1,01/02/19 through 02/02/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,1
14,POINT (-75.1652215 39.9525839),43,1225265.0,83510.0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2022,4,0.020802532872162,1.0,0,7,1,03/27/22 through 04/30/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",0.116951555519889,1.0,1
15,POINT (-72.673371 40.909849),3,0.0,0.0,40.909849,-72.673371,"CitiBike (New York, NY)",2020,6,,,1,1,1,05/31/20 through 06/27/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
16,POINT (-82.9987942 39.9611755),58,7149.416666666666,342.0,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2021,2,0.000348419986674,1.0,1,8,1,01/31/21 through 02/27/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",-0.558139534883721,-3.0,1
17,POINT (-77.0368707 38.9071923),56,,,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2020,32,,,0,3,1,03/01/20 through 03/28/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",,,2
18,POINT (-79.9849659685496 40.4454577489795),29,0.0,0.0,40.4454577489795,-79.9849659685496,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,9,,,0,11,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",,,9999
19,POINT (-118.2436849 34.0522342),73,0.0,0.0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,3,,,1,9,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,9999
20,POINT (-77.0368707 38.9071923),56,76364.08333333336,5372.0,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2021,11,0.063634209902867,3.0,0,3,1,12/30/20 through 01/30/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",-0.358567164179105,-2.0,9999
21,POINT (-72.673371 40.909849),3,0.0,0.0,40.909849,-72.673371,"CitiBike (New York, NY)",2021,11,,,1,1,1,12/30/20 through 01/30/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,2
22,POINT (-79.9849659685496 40.4454577489795),29,0.0,0.0,40.4454577489795,-79.9849659685496,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,12,,,0,11,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",,,2
