,Ticket Number,Date/Time,Parking Division,Ticket Location,Meter,Violation Code,Violation Description,Plate Year,Vehicle Make,Plate Month,Vehicle Type,Vehicle Color,Remarks,Issuing Agency
0,413601226,06/30/2023 12:51:00 PM,4,G13-11219 GRANDVIEW AVE,3132064.0,50,EXPIRED PRKG METER,2023.0,MINI,8.0,2D,RE,15 HR PARKING NO PERMIT DISPLAY. ( TEMPORARY TAG),DOT
1,413574405,06/23/2023 01:37:00 AM,3,900 SLIGO AVE,,7,OVERTM PRKG - STREET,,NISS,,SU,MA,MARK 1 OF 2 AT 09:48 AM ELAPSED: 03:48|2 HR PARKING/METER#1207611. SIGNS POSTED/NO LIECENCE#DISPLAY ON THE VEHICLE.,DOT
2,411650621,09/19/2022 07:19:00 AM,3,8600 SECOND AVE,1207102.0,50,EXPIRED PRKG METER,2024.0,VOLK,6.0,SU,SI,2 HR PARKING/ZONE#1207102,DOT
3,413274842,04/15/2023 07:28:00 AM,2,4800 RUGBY AVE,1104727.0,50,EXPIRED PRKG METER,2023.0,BMW,5.0,4D,BK,2 HR PARKING,DOT
4,412507616,04/04/2023 08:33:00 AM,3,G2-8700 CAMERON ST,3021007.0,50,EXPIRED PRKG METER,2024.0,FORD,3.0,4D,BK,2 HR PARKING,DOT
5,411960802,11/29/2022 08:13:00 AM,3,1100 RIPLEY ST,1208919.0,50,EXPIRED PRKG METER,2023.0,HYUN,7.0,SU,WH,2 HR PARKING,DOT
6,413296310,04/21/2023 06:04:00 AM,2,L43-8009 WOODMONT AVE,2430013.0,50,EXPIRED PRKG METER,2024.0,MAZD,12.0,4D,BK,2 HR PARKING,DOT
7,412289231,02/11/2023 02:02:00 AM,2,4700 HIGHLAND AVE,1103202.0,50,EXPIRED PRKG METER,2023.0,BMW,1.0,4D,BK,2 HR PARKING. TEMPORARY TAG DISPLAYED. VIN NO. WBA33EJ05PCM26952,DOT
8,412255303,02/03/2023 07:37:00 AM,9,4730 BRADLEY BLVD,,2,UNREGISTERED VEH  ON STR,2022.0,TOYT,12.0,SU,WH,EXPIRED TAGS,DOT
9,411637516,09/15/2022 06:00:00 AM,8,11300 WOODGLEN DR,1504168.0,50,EXPIRED PRKG METER,2023.0,TOYT,1.0,PU,GY,2 HR PARKING,DOT
10,413352015,05/02/2023 11:05:00 AM,3,G58-1315 EAST WEST HWY,3583136.0,50,EXPIRED PRKG METER,2023.0,TOYT,8.0,SU,BL,15 HR PARKING/NO PCS PARKING ON THIS LEVEL. SIGNS POSTED,DOT
