,Week Ending Date,State,State Abbreviation,Median Number,Lower Bound,Upper Bound,Outcome,MMWR Year,MMWR Week,Rolling 4-Week Mean,Rolling 4-Week Lower,Rolling 4-Week Upper,AnalysisDate
0,01/02/2016,Alabama,AL,,,,Drug Overdose,2015,52,,,,2022-02-04
1,01/09/2016,Alabama,AL,10.24,,14.56,Drug Overdose,2016,1,,,,2022-02-04
2,01/16/2016,Alabama,AL,10.45,,14.84,Drug Overdose,2016,2,,,,2022-02-04
3,01/23/2016,Alabama,AL,12.07,,16.99,Drug Overdose,2016,3,,,13.21,2022-02-04
4,01/30/2016,Alabama,AL,12.58,,17.66,Drug Overdose,2016,4,11.34,,16.02,2022-02-04
5,02/06/2016,Alabama,AL,13.76,,19.2,Drug Overdose,2016,5,12.21,,17.18,2022-02-04
6,02/13/2016,Alabama,AL,17.11,12.45,23.52,Drug Overdose,2016,6,13.88,,19.34,2022-02-04
7,02/20/2016,Alabama,AL,14.44,10.38,20.09,Drug Overdose,2016,7,14.47,10.41,20.12,2022-02-04
8,02/27/2016,Alabama,AL,13.39,,18.73,Drug Overdose,2016,8,14.67,10.57,20.38,2022-02-04
9,03/05/2016,Alabama,AL,14.41,10.36,20.04,Drug Overdose,2016,9,14.84,10.69,20.59,2022-02-04
10,03/12/2016,Alabama,AL,13.69,,19.11,Drug Overdose,2016,10,13.98,10.03,19.49,2022-02-04
11,03/19/2016,Alabama,AL,12.36,,17.37,Drug Overdose,2016,11,13.46,,18.81,2022-02-04
12,03/26/2016,Alabama,AL,15.63,11.3,21.63,Drug Overdose,2016,12,14.02,10.06,19.54,2022-02-04
13,04/02/2016,Alabama,AL,11.23,,15.88,Drug Overdose,2016,13,13.23,,18.49,2022-02-04
14,04/09/2016,Alabama,AL,16.8,12.2,23.12,Drug Overdose,2016,14,14.0,10.06,19.5,2022-02-04
15,04/16/2016,Alabama,AL,10.69,,15.16,Drug Overdose,2016,15,13.59,,18.95,2022-02-04
16,04/23/2016,Alabama,AL,12.96,,18.16,Drug Overdose,2016,16,12.92,,18.08,2022-02-04
17,04/30/2016,Alabama,AL,14.77,10.64,20.52,Drug Overdose,2016,17,13.81,,19.24,2022-02-04
18,05/07/2016,Alabama,AL,13.77,,19.22,Drug Overdose,2016,18,13.05,,18.27,2022-02-04
19,05/14/2016,Alabama,AL,13.99,10.04,19.5,Drug Overdose,2016,19,13.87,,19.35,2022-02-04
20,05/21/2016,Alabama,AL,12.42,,17.45,Drug Overdose,2016,20,13.74,,19.17,2022-02-04
21,05/28/2016,Alabama,AL,13.29,,18.59,Drug Overdose,2016,21,13.37,,18.69,2022-02-04
22,06/04/2016,Alabama,AL,13.7,,19.13,Drug Overdose,2016,22,13.35,,18.67,2022-02-04
23,06/11/2016,Alabama,AL,15.74,11.38,21.76,Drug Overdose,2016,23,13.79,,19.23,2022-02-04
24,06/18/2016,Alabama,AL,14.81,10.67,20.57,Drug Overdose,2016,24,14.39,10.34,20.01,2022-02-04
25,06/25/2016,Alabama,AL,18.17,13.28,24.88,Drug Overdose,2016,25,15.61,11.29,21.58,2022-02-04
26,07/02/2016,Alabama,AL,17.17,12.49,23.6,Drug Overdose,2016,26,16.47,11.95,22.7,2022-02-04
27,07/09/2016,Alabama,AL,15.78,11.42,21.82,Drug Overdose,2016,27,16.48,11.96,22.72,2022-02-04
28,07/16/2016,Alabama,AL,16.03,11.6,22.14,Drug Overdose,2016,28,16.79,12.2,23.11,2022-02-04
29,07/23/2016,Alabama,AL,13.2,,18.47,Drug Overdose,2016,29,15.54,11.24,21.51,2022-02-04
30,07/30/2016,Alabama,AL,13.8,,19.26,Drug Overdose,2016,30,14.7,10.59,20.42,2022-02-04
31,08/06/2016,Alabama,AL,13.63,,19.04,Drug Overdose,2016,31,14.16,10.17,19.73,2022-02-04
32,08/13/2016,Alabama,AL,12.5,,17.56,Drug Overdose,2016,32,13.28,,18.58,2022-02-04
33,08/20/2016,Alabama,AL,13.53,,18.91,Drug Overdose,2016,33,13.37,,18.69,2022-02-04
34,08/27/2016,Alabama,AL,16.98,12.35,23.36,Drug Overdose,2016,34,14.16,10.17,19.71,2022-02-04
35,09/03/2016,Alabama,AL,15.57,11.25,21.55,Drug Overdose,2016,35,14.65,10.55,20.34,2022-02-04
36,09/10/2016,Alabama,AL,15.81,11.44,21.86,Drug Overdose,2016,36,15.47,11.18,21.42,2022-02-04
37,09/17/2016,Alabama,AL,11.68,,16.48,Drug Overdose,2016,37,15.01,10.83,20.81,2022-02-04
38,09/24/2016,Alabama,AL,13.28,,18.58,Drug Overdose,2016,38,14.09,10.12,19.62,2022-02-04
39,10/01/2016,Alabama,AL,15.44,11.15,21.38,Drug Overdose,2016,39,14.05,10.09,19.57,2022-02-04
40,10/08/2016,Alabama,AL,13.04,,18.26,Drug Overdose,2016,40,13.36,,18.67,2022-02-04
41,10/15/2016,Alabama,AL,14.22,10.21,19.8,Drug Overdose,2016,41,13.99,10.04,19.51,2022-02-04
42,10/22/2016,Alabama,AL,11.19,,15.83,Drug Overdose,2016,42,13.47,,18.82,2022-02-04
43,10/29/2016,Alabama,AL,10.96,,15.51,Drug Overdose,2016,43,12.35,,17.35,2022-02-04
44,11/05/2016,Alabama,AL,12.19,,17.15,Drug Overdose,2016,44,12.14,,17.07,2022-02-04
45,11/12/2016,Alabama,AL,15.98,11.57,22.08,Drug Overdose,2016,45,12.58,,17.64,2022-02-04
