,Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Vehicle Primary Use,Electric Range,Odometer Reading,Odometer Code,New or Used Vehicle,Sale Price,Sale Date,Base MSRP,Transaction Type,DOL Transaction Date,Transaction Year,County,City,State of Residence,Postal Code,2015 HB 2778 Exemption Eligibility,2019 HB 2042 Clean Alternative Fuel Vehicle (CAFV) Eligibility,Meets 2019 HB 2042 Electric Range Requirement,Meets 2019 HB 2042 Sale Date Requirement,Meets 2019 HB 2042 Sale Price/Value Requirement,2019 HB 2042: Battery Range Requirement,2019 HB 2042: Purchase Date Requirement,2019 HB 2042: Sale Price/Value Requirement,Electric Vehicle Fee Paid,Transportation Electrification Fee Paid,Hybrid Vehicle Electrification Fee Paid,2020 Census Tract,Legislative District,Electric Utility
0,Battery Electric Vehicle (BEV),5YJSA1H2XF,170273267,2015,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,May 27 2020,2020,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1,Battery Electric Vehicle (BEV),5YJSA1H2XF,170273267,2015,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration at time of Transfer,June 21 2019,2019,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2,Battery Electric Vehicle (BEV),5YJSA1H2XF,170273267,2015,TESLA,Model S,Passenger,208,49340,Actual Mileage,Used,45000,June 12 2019,0,Transfer Title,June 21 2019,2019,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",The vehicle value is too high,Not Applicable,Not Applicable,Not Applicable,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3,Battery Electric Vehicle (BEV),7SAYGDEE0P,245533788,2023,TESLA,Model Y,Passenger,0,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,June 28 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
4,Battery Electric Vehicle (BEV),7SAYGDEE0P,245533788,2023,TESLA,Model Y,Passenger,0,15,Actual Mileage,New,51630,June 06 2023,0,Original Title,June 28 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range for this vehicle is unknown,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5,Battery Electric Vehicle (BEV),7SAYGAEE7P,257048053,2023,TESLA,Model Y,Passenger,0,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,November 07 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
6,Battery Electric Vehicle (BEV),7SAYGAEE7P,257048053,2023,TESLA,Model Y,Passenger,0,15,Actual Mileage,New,53770,September 29 2023,0,Original Title,November 07 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range for this vehicle is unknown,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7,Battery Electric Vehicle (BEV),5YJ3E1EA4M,169692904,2021,TESLA,Model 3,Passenger,0,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,July 19 2023,2023,King,SEATTLE,WA,98115,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033004401,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
8,Battery Electric Vehicle (BEV),WVWPR7AU3K,322283076,2019,VOLKSWAGEN,e-Golf,Passenger,125,42190,Actual Mileage,Used,20984,November 27 2023,0,Transfer Title,December 06 2023,2023,King,SEATTLE,WA,98119,HB 2778 Eligiblity Requirements not met,Clean Alternative Fuel Vehicle,True,True,True,Battery range requirement is met,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53033005902,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
9,Battery Electric Vehicle (BEV),WVWKP7AU5G,313031288,2016,VOLKSWAGEN,e-Golf,Passenger,83,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,March 20 2018,2018,King,SEATTLE,WA,98119,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033005902,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
