,Year,GDP Deflator,Sector,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel
0,2016,1.0,Commercial,,11.45,6.1,13.27,12.61,5.99,42.35,,,
1,2016,1.0,Industrial,3.6,11.26,6.1,11.28,11.73,5.74,17.67,,,
2,2016,1.0,Residential,,16.54,,13.27,27.08,10.51,51.51,5.72,,
3,2016,1.0,Transportation,,17.51,5.6,,,,35.33,,18.11,9.49
4,2015,0.9875,Commercial,,14.49,7.83,16.65,13.41,6.64,44.86,,,
5,2015,0.9875,Industrial,4.02,15.04,7.83,14.41,12.67,6.41,18.49,,,
6,2015,0.9875,Residential,,19.26,,16.65,27.57,10.84,54.33,6.7,,
7,2015,0.9875,Transportation,,21.02,7.46,,,,37.97,,20.46,11.99
8,2014,0.9864,Commercial,,21.79,14.75,29.84,22.25,8.04,47.25,,,
9,2014,0.9864,Industrial,4.24,22.77,14.75,24.64,23.02,7.87,19.28,,,
10,2014,0.9864,Residential,,27.57,,29.84,34.53,12.13,58.83,9.72,,
11,2014,0.9864,Transportation,,28.64,13.19,,,,40.49,,28.36,20.61
12,2013,0.9706,Commercial,,25.03,16.84,29.68,21.04,7.73,45.0,,,
13,2013,0.9706,Industrial,4.37,24.18,16.84,26.03,21.6,7.19,19.3,,,
14,2013,0.9706,Residential,,28.25,,29.68,31.29,12.07,55.08,9.97,,
15,2013,0.9706,Transportation,,28.8,15.52,,,,40.01,,29.42,22.15
16,2012,0.9566,Commercial,,25.79,18.36,29.62,21.36,7.6,44.13,,,
17,2012,0.9566,Industrial,4.73,24.88,18.36,25.67,21.98,6.7,19.62,,,
18,2012,0.9566,Residential,,28.69,,29.62,31.58,12.56,51.63,10.18,,
19,2012,0.9566,Transportation,,29.43,15.4,,,,41.63,,30.19,23.16
20,2011,0.9372,Commercial,5.78,24.73,17.41,28.13,26.93,9.08,46.33,,,
21,2011,0.9372,Industrial,4.74,23.6,17.41,24.56,28.51,7.97,22.96,,,
22,2011,0.9372,Residential,,25.82,,28.13,33.82,13.35,53.52,9.15,,
23,2011,0.9372,Transportation,,28.5,14.81,,,,39.41,,29.13,22.77
24,2010,0.9085,Commercial,5.91,18.5,12.9,23.77,23.62,10.63,47.79,,,
25,2010,0.9085,Industrial,4.44,19.16,12.9,18.61,24.69,8.35,25.76,,,
26,2010,0.9085,Residential,,21.88,,23.77,30.12,13.72,54.93,7.61,,
27,2010,0.9085,Transportation,,22.32,10.86,,,,40.28,,22.93,16.43
28,2009,0.8939,Commercial,5.8,15.02,9.94,20.83,20.62,10.49,45.36,,,
29,2009,0.8939,Industrial,4.01,14.36,9.94,15.14,23.81,9.32,24.54,,,
30,2009,0.8939,Residential,,18.92,,20.83,28.4,14.73,51.29,6.4,,
31,2009,0.8939,Transportation,,18.26,8.24,,,,38.49,,19.37,12.64
32,2008,0.8971,Commercial,4.49,23.58,13.27,27.06,25.55,12.59,49.22,,,
33,2008,0.8971,Industrial,3.44,23.77,13.27,22.73,28.95,12.04,27.53,,,
34,2008,0.8971,Residential,,24.89,,27.06,31.33,16.42,53.66,8.59,,
35,2008,0.8971,Transportation,,28.28,12.08,,,,37.05,,26.68,23.13
36,2007,0.8639,Commercial,2.76,17.16,9.82,21.47,21.18,11.54,46.65,,,
37,2007,0.8639,Industrial,2.91,17.32,9.82,18.02,24.16,11.16,25.53,,,
38,2007,0.8639,Residential,4.76,20.19,,21.47,26.75,15.36,50.11,6.97,,
39,2007,0.8639,Transportation,,20.65,7.85,,,,32.14,,22.49,16.46
40,2006,0.84,Commercial,2.88,15.59,8.79,19.27,19.43,11.65,45.46,,,
41,2006,0.84,Industrial,2.97,15.84,8.79,15.79,20.71,10.33,27.53,,,
42,2006,0.84,Residential,4.76,18.5,,19.27,24.64,15.02,49.51,6.31,,
43,2006,0.84,Transportation,,19.78,7.81,,,,34.98,,20.77,14.89
44,2005,0.8137,Commercial,2.08,13.61,7.57,15.92,17.53,11.5,42.08,,,
45,2005,0.8137,Industrial,2.27,13.73,7.57,13.47,18.67,10.48,24.11,,,
46,2005,0.8137,Residential,5.18,15.82,,15.92,21.82,14.51,46.08,5.48,,
47,2005,0.8137,Transportation,,17.48,6.78,,,,33.4,,18.13,13.1
48,2004,0.7871,Commercial,1.87,9.73,5.36,12.01,15.61,9.84,38.04,,,
49,2004,0.7871,Industrial,1.96,9.2,5.36,10.22,17.11,7.84,20.63,,,
50,2004,0.7871,Residential,3.6,12.24,,12.01,19.51,12.17,42.62,4.14,,
51,2004,0.7871,Transportation,,13.48,4.71,,,,23.21,,15.13,9.06
52,2003,0.7666,Commercial,1.76,7.93,5.44,9.97,13.95,8.37,37.89,,,
53,2003,0.7666,Industrial,1.81,7.79,5.44,8.13,15.11,7.15,20.92,,,
54,2003,0.7666,Residential,3.42,10.79,,9.97,17.56,11.28,41.94,3.64,,
55,2003,0.7666,Transportation,,11.49,4.53,,,,27.49,,12.67,6.76
