,global_instance_id,run_id,run_instance_id,parent_instance_id,leader_radar,leader_veh_type,follower_radar,follower_veh_type,start_time,end_time,road_type,congestion,speed_limit,rural_urban,num_lanes,current_lane,signage,wz_markers,wz_status,wz_enforcement
0,401001,401,1,1,10,pc,1,pc,00:07:45.060,00:07:55.100,tzhw,u,40,r,2,1,fa,,,
1,401002,401,2,1,10,pc,1,pc,00:07:55.110,00:08:16.380,wz1hw,u,40,r,2,1,,d,a,True
2,401003,401,3,2,10,pc,1,pc,00:09:18.920,00:10:10.100,wz1hw,u,40,r,2,1,,d,a,True
3,401004,401,4,3,0,pc,10,pc,00:11:57.860,00:12:18.900,hw,u,40,r,2,1,,,,
4,401005,401,5,4,10,pc,1,hv,00:11:57.860,00:12:18.900,hw,u,40,r,2,1,,,,
5,401006,401,6,5,0,pc,10,pc,00:13:57.810,00:14:12.350,hw,u,40,r,2,1,,,,
6,401007,401,7,6,10,pc,1,hv,00:13:57.810,00:14:12.350,hw,u,40,r,2,1,,,,
7,401008,401,8,7,10,pc,1,pc,00:14:45.520,00:15:52.820,wz2is,u,45,r,2,2,,"d,jb",p,False
8,401009,401,9,8,0,pc,10,pc,00:15:38.990,00:16:17.130,wz2is,u,45,r,2,1,,"d,jb",p,False
9,401010,401,10,9,0,pc,10,pc,00:17:28.690,00:18:03.270,is,u,65,r,2,1,,,,
10,401011,401,11,10,0,hv,10,pc,00:18:03.300,00:19:23.080,is,u,65,r,2,1,,,,
11,401012,401,12,11,0,pc,10,pc,00:20:46.910,00:22:33.880,is,u,65,r,2,2,,,,
12,401013,401,13,12,0,pc,10,pc,00:23:02.400,00:24:07.760,is,u,65,r,2,2,,,,
13,401014,401,14,13,10,pc,1,pc,00:23:28.910,00:23:53.750,is,u,65,r,2,2,,,,
14,401015,401,15,14,0,pc,10,pc,00:24:44.670,00:25:30.860,is,u,65,r,3,2,,,,
15,401016,401,16,15,10,pc,1,pc,00:25:08.200,00:25:43.210,is,u,65,r,3,2,,,,
16,401017,401,17,16,0,pc,10,pc,00:27:10.480,00:28:43.660,is,u,65,r,3,2,,,,
17,401018,401,18,17,0,pc,10,pc,00:30:00.270,00:30:28.280,is,u,65,r,4,2,,,,
18,401019,401,19,17,0,pc,10,pc,00:30:28.290,00:30:49.410,awis,u,65,r,4,2,"w20-1,w20-4",,,
19,401020,401,20,17,0,pc,10,pc,00:30:49.420,00:31:09.810,awis,c,65,r,4,2,"w20-1,w20-4",,,
20,401021,401,21,18,10,pc,1,pc,00:30:08.020,00:30:28.280,is,u,65,r,4,2,,,,
21,401022,401,22,18,10,pc,1,pc,00:30:28.290,00:30:49.410,awis,u,65,r,4,2,"w20-1,w20-4",,,
22,401023,401,23,18,10,pc,1,pc,00:30:49.420,00:31:09.810,awis,c,65,r,4,2,"w20-1,w20-4",,,
23,401024,401,24,19,10,pc,1,pc,00:31:25.640,00:31:54.760,tzis,c,40,u,1,1,fa,,,
