,From Date,To Date,Remote Station ID,Station,Full Fare,Senior Citizen/Disabled,7 Day ADA Farecard Access System Unlimited,30 Day ADA Farecard Access/Reduced Fare Media Unlimited,Joint Rail Road Ticket,7 Day Unlimited,30 Day Unlimited,14 Day Reduced Fare Media Unlimited,1 Day Unlimited,14 Day Unlimited,7 Day Express Bus Pass,TransitCheck,Long Island Bus Special Senior,Reduced Fare 2-Trip,Rail Road Unlimited No Trade,TransitCheck Annual,Mail and Ride EasyPay Express,Mail and Ride EasyPay Unlimited,PATH 2-Trip,AirTrain Full Fare,AirTrain 30 Day Unlimited,AirTrain 10-Trip,AirTrain Monthly,Student,NICE 2-Trip,CUNY 120 Day,CUNY 60 Day,Fair Fares Pay-Per-Ride,Fair Fares 7 Day Unlimited,Fair Fares 30 Day Unlimited
0,07/31/2021,08/06/2021,R001,WHITEHALL STREET,27946,1824,242,376,8,11958,6355,0,0,0,92,159,0,3,19,552,539,162,0,717,0,0,0,327,0,0,0,695,253,242
1,07/31/2021,08/06/2021,R003,CYPRESS HILLS,1323,134,3,13,0,817,424,0,0,0,0,8,0,0,0,14,12,19,0,11,0,0,0,70,0,0,0,105,39,37
2,07/31/2021,08/06/2021,R004,75TH STREET & ELDERTS LANE,4241,321,15,43,0,2029,992,0,0,0,0,13,0,0,1,81,14,31,0,28,0,0,0,301,0,0,0,205,87,53
3,07/31/2021,08/06/2021,R005,85TH STREET & FOREST PKWAY,4418,389,29,30,1,1999,1108,0,0,0,3,12,0,0,0,44,13,25,0,40,0,0,0,111,0,0,0,265,60,131
4,07/31/2021,08/06/2021,R006,WOODHAVEN BOULEVARD,4193,315,27,55,0,2946,1518,0,0,0,3,27,0,0,1,64,36,14,0,25,0,0,0,148,0,0,0,255,95,99
5,07/31/2021,08/06/2021,R007,104TH STREET,3147,235,14,20,0,1595,803,0,0,0,0,19,0,0,0,23,31,7,0,35,0,0,0,80,0,0,0,168,55,43
6,07/31/2021,08/06/2021,R008,111TH STREET,2498,174,21,10,0,1199,607,0,0,0,0,5,0,0,1,38,25,17,0,11,0,0,0,124,0,0,0,119,44,32
7,07/31/2021,08/06/2021,R009,121ST STREET,2216,181,24,40,0,1222,605,0,0,0,0,18,0,0,0,47,19,19,0,21,0,0,0,50,0,0,0,96,30,48
8,07/31/2021,08/06/2021,R010,42ND STREET & 8TH AVENUE,31914,2379,161,363,4,15893,9115,0,0,0,149,148,0,1,17,588,539,291,0,1105,0,0,0,480,0,0,0,1359,430,405
9,07/31/2021,08/06/2021,R011,42ND STREET & 8TH AVENUE,86783,5670,318,468,8,18185,16264,0,0,0,49,567,0,16,9,963,1472,537,0,1360,0,0,0,467,0,0,0,1832,470,594
10,07/31/2021,08/06/2021,R012,34TH STREET & 8TH AVENUE,72718,4696,239,444,144,15293,12985,0,0,0,98,424,0,15,368,950,1722,444,0,1510,0,0,0,283,0,0,0,1673,494,461
11,07/31/2021,08/06/2021,R013,34TH STREET & 8TH AVENUE,19553,1336,54,196,40,7733,5455,0,0,0,32,154,0,1,93,384,453,135,0,626,0,0,0,52,0,0,0,570,184,329
12,07/31/2021,08/06/2021,R014,FULTON STREET,64235,2727,192,284,27,15182,12597,0,0,0,141,478,0,4,48,1145,1128,425,0,892,0,0,0,448,0,0,0,1668,513,458
13,07/31/2021,08/06/2021,R015,FIFTH AVENUE,20919,1377,58,117,37,5292,5096,0,0,0,46,325,0,0,72,408,683,280,0,364,0,0,0,45,0,0,0,359,89,150
14,07/31/2021,08/06/2021,R016,LEXINGTON AVENUE,5029,383,18,58,0,1550,1628,0,0,0,22,80,0,0,3,125,139,80,0,51,0,0,0,19,0,0,0,128,47,39
15,07/31/2021,08/06/2021,R017,LEXINGTON AVENUE,30078,2484,133,292,27,8699,9426,0,0,0,36,365,0,4,61,623,846,314,0,463,0,0,0,96,0,0,0,717,180,229
16,07/31/2021,08/06/2021,R018,ROOSEVELT AVE/JACKSON HTS,53607,6302,732,1482,2,36743,31686,0,0,0,23,256,0,6,15,1703,509,563,0,585,0,0,0,595,0,0,0,2122,847,1473
17,07/31/2021,08/06/2021,R019,179TH STREET & HILLSIDE AVE,15097,1235,236,408,0,9532,7870,0,0,0,6,119,0,1,1,753,252,91,0,80,0,0,0,207,0,0,0,478,233,284
18,07/31/2021,08/06/2021,R020,47-50 STREETS/ROCKEFELLER,47417,4911,207,583,43,15682,15285,0,0,0,150,759,0,3,42,1221,1272,507,0,742,0,0,0,205,0,0,0,1719,509,625
19,07/31/2021,08/06/2021,R021,42ND STREET & 6TH AVENUE,32244,2512,225,373,6,12011,11709,0,0,0,123,599,0,2,12,787,740,347,0,525,0,0,0,207,0,0,0,1281,395,487
20,07/31/2021,08/06/2021,R022,34TH STREET & 6TH AVENUE,73007,5845,483,784,48,25448,21813,0,0,0,194,672,0,13,109,1532,1259,623,0,1281,0,0,0,666,0,0,0,2844,896,1078
21,07/31/2021,08/06/2021,R023,34TH STREET & 6TH AVENUE,49074,3606,203,445,32,13222,15454,0,0,0,45,627,0,2,33,819,1357,495,0,525,0,0,0,276,0,0,0,1527,415,582
