,Year,Age Group,Category,Type,Five or more servings of fruits and vegetables (%)
0,2012,Adolescent (12-17),All ,Total,40.2
1,2012,Adolescent (12-17),Gender,Male,37.3
2,2012,Adolescent (12-17),Gender,Female,43.3
3,2012,Adolescent (12-17),Gender by Age- Male,12-13,35.2
4,2012,Adolescent (12-17),Gender by Age- Male,14-15,42.1
5,2012,Adolescent (12-17),Gender by Age- Male,16-17,34.6
6,2012,Adolescent (12-17),Gender by Age- Female,12-13,50.1
7,2012,Adolescent (12-17),Gender by Age- Female,14-15,39.8
8,2012,Adolescent (12-17),Gender by Age- Female,16-17,40.5
9,2012,Adolescent (12-17),Race/Ethnicity,White,40.3
10,2012,Adolescent (12-17),Race/Ethnicity,African American,35.2
11,2012,Adolescent (12-17),Race/Ethnicity,Latino,44.2
12,2012,Adolescent (12-17),Race/Ethnicity,Asian/Other,29.6
13,2012,Adolescent (12-17),Income,"Less than $15,000",43.2
14,2012,Adolescent (12-17),Income,"$15,000 - 24,999",38.2
15,2012,Adolescent (12-17),Income,"$25,000 - 34,999",54.1
16,2012,Adolescent (12-17),Income,"$35,000 - 49,999",41.0
17,2012,Adolescent (12-17),Income,"$50,000 - 74,999",29.7
18,2012,Adolescent (12-17),Income,"$75,000 or greater",42.3
19,2012,Adolescent (12-17),Physical Activity,Regular,41.9
20,2012,Adolescent (12-17),Physical Activity,Irregular,34.4
21,2012,Adolescent (12-17),Overweight Status,Not Overweight,41.2
22,2012,Adolescent (12-17),Overweight Status,Overweight/Obese,39.1
23,2012,Adolescent (12-17),"CalFresh Status, % FPL",Participant,47.5
24,2012,Adolescent (12-17),"CalFresh Status, % FPL","Likely Eligible, ≤ 130%",41.9
25,2012,Adolescent (12-17),"CalFresh Status, % FPL","Not Eligible, > 185% ",36.2
26,2013,Adult (18+),All ,Total,39.8
27,2013,Adult (18+),Gender,Male,34.3
28,2013,Adult (18+),Gender,Female,45.1
29,2013,Adult (18+),Age,18 - 24,36.2
30,2013,Adult (18+),Age,25 - 34,43.3
31,2013,Adult (18+),Age,35 - 50,38.7
32,2013,Adult (18+),Age,51 - 64,40.6
33,2013,Adult (18+),Age,65+,39.5
34,2013,Adult (18+),Race/Ethnicity,White,40.1
35,2013,Adult (18+),Race/Ethnicity,African American,38.5
36,2013,Adult (18+),Race/Ethnicity,Latino,40.1
37,2013,Adult (18+),Race/Ethnicity,Asian/Other,38.8
38,2013,Adult (18+),Education,Less than High School,34.9
39,2013,Adult (18+),Education,High School Graduate,36.9
40,2013,Adult (18+),Education,Some College,37.1
41,2013,Adult (18+),Education,College Graduate,48.5
42,2013,Adult (18+),Income,"Less than $15,000",40.1
43,2013,Adult (18+),Income,"$15,000 - 24,999",40.7
44,2013,Adult (18+),Income,"$25,000 - 34,999",37.0
45,2013,Adult (18+),Income,"$35,000 - 49,999",33.0
46,2013,Adult (18+),Income,"$50,000+",41.2
47,2013,Adult (18+),Physical Activity,Met Aerobic Recommendation,45.1
48,2013,Adult (18+),Physical Activity,Did Not Meet Aerobic Recommendation,30.8
49,2013,Adult (18+),Overweight Status,Not Overweight,42.6
