,Year,County,Municipality,NYSDOT Geocode,Touring Route Mileage,Total Centerline Highway Mileage,Local Mileage,County Mileage,NYSDOT Mileage,Other Mileage
0,2008,JEFFERSON,Town of Adams,1,20.4,86.0,41.0,23.8,21.2,0.0
1,2009,JEFFERSON,Town of Adams,1,20.38,84.23,41.01,22.06,21.16,0.0
2,2010,JEFFERSON,Town of Adams,1,20.4,84.6,41.4,22.1,21.2,0.0
3,2011,JEFFERSON,Town of Adams,1,20.38,84.57,41.35,22.06,21.16,0.0
4,2012,JEFFERSON,Town of Adams,1,20.38,84.93,41.71,22.06,21.16,0.0
5,2013,JEFFERSON,Town of Adams,1,20.38,84.93,41.71,22.06,21.16,0.0
6,2014,JEFFERSON,Town of Adams,1,20.38,84.93,41.71,22.06,21.16,0.0
7,2015,JEFFERSON,Town of Adams,1,20.38,84.54,41.34,22.04,21.16,0.0
8,2016,JEFFERSON,Town of Adams,1,21.16,84.38,41.18,22.04,21.16,0.0
9,2017,JEFFERSON,Town of Adams,1,20.38,84.38,41.18,22.04,21.16,0.0
10,2018,JEFFERSON,Town of Adams,1,21.16,84.38,41.17,22.05,21.16,0.0
11,2019,JEFFERSON,Town of Adams,1,20.37,84.37,41.17,22.05,21.15,0.0
12,2020,JEFFERSON,Town of Adams,1,20.37,84.36,41.2,22.01,21.15,0.0
13,2008,STEUBEN,Town of Addison,2,1.7,46.4,29.9,14.8,1.7,0.0
14,2009,STEUBEN,Town of Addison,2,1.7,46.41,29.9,14.81,1.7,0.0
15,2010,STEUBEN,Town of Addison,2,1.7,46.4,29.9,14.8,1.7,0.0
16,2011,STEUBEN,Town of Addison,2,1.7,46.41,29.9,14.81,1.7,0.0
17,2012,STEUBEN,Town of Addison,2,1.7,46.41,29.9,14.81,1.7,0.0
18,2013,STEUBEN,Town of Addison,2,1.7,46.41,29.9,14.81,1.7,0.0
19,2014,STEUBEN,Town of Addison,2,1.7,46.41,29.9,14.81,1.7,0.0
20,2015,STEUBEN,Town of Addison,2,1.7,45.91,29.29,14.92,1.7,0.0
21,2016,STEUBEN,Town of Addison,2,1.7,45.9,29.28,14.92,1.7,0.0
22,2017,STEUBEN,Town of Addison,2,1.7,45.88,29.26,14.92,1.7,0.0
23,2018,STEUBEN,Town of Addison,2,1.7,45.88,29.26,14.92,1.7,0.0
24,2019,STEUBEN,Town of Addison,2,1.7,45.88,29.26,14.92,1.7,0.0
