,State,API URL,Map URL
0,Arkansas,https://geo.dot.gov/server/rest/services/Hosted/ArkansasInventory/FeatureServer,https://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FArkansasInventory%2FFeatureServer&source=sd
1,California,https://geo.dot.gov/server/rest/services/Hosted/CaliforniaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FCaliforniaInventory%2FFeatureServer&source=sd
2,Colorado,https://geo.dot.gov/server/rest/services/Hosted/ColoradoInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FColoradoInventory%2FFeatureServer&source=sd
3,Connecticut,https://geo.dot.gov/server/rest/services/Hosted/ConnecticutInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FConnecticutInventory%2FFeatureServer&source=sd
4,Delaware,https://geo.dot.gov/server/rest/services/Hosted/DelawareInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FDelawareInventory%2FFeatureServer&source=sd
5,New Mexico,https://geo.dot.gov/server/rest/services/Hosted/NewMexicoInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FNewMexicoInventory%2FFeatureServer&source=sd
6,District of Columbia,https://geo.dot.gov/server/rest/services/Hosted/DistrictInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FDistrictInventory%2FFeatureServer&source=sd
7,Alabama,https://geo.dot.gov/server/rest/services/Hosted/AlabamaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FAlabamaInventory%2FFeatureServer&source=sd
8,Alaska,https://geo.dot.gov/server/rest/services/Hosted/AlaskaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FAlaskaInventory%2FFeatureServer&source=sd
9,Arizona,https://geo.dot.gov/server/rest/services/Hosted/ArizonaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FArizonaInventory%2FFeatureServer&source=sd
10,Florida,https://geo.dot.gov/server/rest/services/Hosted/FloridaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FFloridaInventory%2FFeatureServer&source=sd
11,Georgia,https://geo.dot.gov/server/rest/services/Hosted/GeorgiaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FGeorgiaInventory%2FFeatureServer&source=sd
12,Hawaii,https://geo.dot.gov/server/rest/services/Hosted/HawaiiInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FHawaiiInventory%2FFeatureServer&source=sd
13,Idaho,https://geo.dot.gov/server/rest/services/Hosted/IdahoInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FIdahoInventory%2FFeatureServer&source=sd
14,Illinois,https://geo.dot.gov/server/rest/services/Hosted/IllinoisInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FIllinoisInventory%2FFeatureServer&source=sd
15,Indiana,https://geo.dot.gov/server/rest/services/Hosted/IndianaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FIndianaInventory%2FFeatureServer&source=sd
