,Railroad Code,Railroad Name,Report Year,Incident Number,Incident Year,Incident Month,Other Railroad Code,Other Railroad Name,Other Incident Number,Other Incident Year,Other Incident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintainance Incident Number,Maintenance Incident Year,Maintenance Incident Month,Grade Crossing ID,Date,Month,Day,Hour,Minute,AM/PM,Time,Nearest Station,Division,Subdivision,County Code,County Name,State Code,State Name,City Name,Highway Name,Public/Private Code,Public/Private,Highway User Code,Highway User,Estimated Vehicle Speed,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Equipment Involved Code,Equipment Involved,Railroad Car Unit Position,Equipment Struck Code,Equipment Struck,Hazmat Involvement Code,Hazmat Involvement,Hazmat Released by Code,Hazmat Released by,Hazmat Released Name,Hazmat Released Quantity,Hazmat Released Measure,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Equipment Type Code,Equipment Type,Track Type Code,Track Type,Track Name,Track Class,Number of Locomotive Units,Number of Cars,Train Speed,Estimated/Recorded Speed,Train Direction Code,Train Direction,Crossing Warning Expanded Code 1,Crossing Warning Expanded Code 2,Crossing Warning Expanded Code 3,Crossing Warning Expanded Code 4,Crossing Warning Expanded Code 5,Crossing Warning Expanded Code 6,Crossing Warning Expanded Code 7,Crossing Warning Expanded Code 8,Crossing Warning Expanded Code 9,Crossing Warning Expanded Code 10,Crossing Warning Expanded Code 11,Crossing Warning Expanded Code 12,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Crossing Warning Expanded 8,Crossing Warning Expanded 9,Crossing Warning Expanded 10,Crossing Warning Expanded 11,Crossing Warning Expanded 12,Signaled Crossing Warning Code,Signaled Crossing Warning,Crossing Warning Explanation Code,Crossing Warning Explanation,Roadway Condition Code,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,Warning Connected To Signal,Crossing Illuminated,User Age,User Gender,User Struck By Second Train,Highway User Action Code,Highway User Action,Driver Passed Vehicle,View Obstruction Code,View Obstruction,Driver Condition Code,Driver Condition,Driver In Vehicle,Crossing Users Killed,Crossing Users Injured,Vehicle Damage Cost,Number Vehicle Occupants,Employees Killed,Employees Injured,Number People On Train,Form 54 Filed,Passengers Killed,Passengers Injured,Video Taken,Video Used,Special Study 1,Special Study 2,Narrative,Total Killed Form 57,Total Injured Form 57,Railroad Type,Joint Code,Total Killed Form 55A,Total Injured Form 55A,District,Whistle Ban Code,Whistle Ban,Report Key,Reporting Railroad/Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Url
0,SP,Southern Pacific Transportation Company,1986,F3166,86,5,,,,,,SP,Southern Pacific Transportation Company,F3166,86.0,5.0,762634A,05/01/1986,5,1,3,7,PM,03:07 PM,WARREN,,,149,WARREN,28,MISSISSIPPI,WARDEN,HWY 1948,Y,Public,G,School bus,0.0,4.0,West,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,,,,,,65,2,Day,3,Rain,1,Freight Train,1,Main,MAIN,3.0,4,85,28.0,E,1.0,North,5,7.0,,,,,,,,,,,Hwy. traffic signals,Crossbucks,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,Yes,,,No,4,Stopped on crossing,No,8,Not obstructed,3.0,Uninjured,No,0,0,10000,0,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,3.0,,,SPF3166198605,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,,,,,,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=F3166&RptType=A&TxtCrossingNum=762634A
1,CAGY,Columbus & Greenville Railway Company,1986,86038,86,6,,,,,,CAGY,Columbus & Greenville Railway Company,86038,86.0,6.0,302285Y,06/02/1986,6,2,12,45,PM,12:45 PM,GREENWOOD,,,87,LOWNDES,28,MISSISSIPPI,GREENWOOD,HWY 82,Y,Public,C,Truck-trailer,45.0,1.0,North,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,4,Neither,,,,,,80,2,Day,1,Clear,7,Yard/switching,1,Main,MAINLINE,1.0,1,4,8.0,E,4.0,West,5,,,,,,,,,,,,Hwy. traffic signals,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Unknown,No,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,200,1,0,1,,No,0,0,,,,,,0,0,3L,1,0,1,3.0,,,CAGY86038198606,Shortline,Class 3,SMT-2 - Short Line East,CAGY,Columbus & Greenville Railway Company,Genesee & Wyoming,,,,,,,Shortline,Class 3,SMT-2 - Short Line East,CAGY,Columbus & Greenville Railway Company,Genesee & Wyoming,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=86038&RptType=A&TxtCrossingNum=302285Y
2,CAGY,Columbus & Greenville Railway Company,1986,86049,86,6,,,,,,CAGY,Columbus & Greenville Railway Company,86049,86.0,6.0,302285Y,06/19/1986,6,19,1,35,PM,01:35 PM,GREENWOOD,,,83,LEFLORE,28,MISSISSIPPI,GREENWOOD,HWY 82,Y,Public,A,Auto,,3.0,East,3,Moving over crossing,2,Train (units pushing),1,1,Rail equipment struck highway user,4,Neither,,,,,,95,2,Day,1,Clear,7,Yard/switching,2,Yard,SCALE TRACK,,1,6,1.0,E,3.0,East,5,10.0,,,,,,,,,,,Hwy. traffic signals,Flagged by crew,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,3.0,Opposite side of vehicle approach,Unknown,Unknown,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,200,2,0,0,,No,0,0,,,,,,0,0,3L,1,0,0,3.0,,,CAGY86049198606,Shortline,Class 3,SMT-2 - Short Line East,CAGY,Columbus & Greenville Railway Company,Genesee & Wyoming,,,,,,,Shortline,Class 3,SMT-2 - Short Line East,CAGY,Columbus & Greenville Railway Company,Genesee & Wyoming,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=86049&RptType=A&TxtCrossingNum=302285Y
3,SOO,SOO Line Railroad Company,1976,EB397,76,7,,,,,,,,,,,697810T,07/14/1976,7,14,4,45,PM,04:45 PM,APPLETON,,,15,CALUMET,55,WISCONSIN,APPLETON,COUNTY JJ,Y,Public,B,Truck,25.0,4.0,West,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,80,2,Day,1,Clear,1,Freight Train,1,Main,SINGLE MAIN TRACK,3.0,1,10,35.0,E,3.0,East,7,11.0,,,,,,,,,,,Crossbucks,Other,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,1,Permanent structure,2.0,Injured,Yes,0,1,2400,1,0,0,,No,0,0,,,,,,0,1,1L,1,0,1,,,,SOOEB397197607,,Class 1,SMT-8 - Short Line West,CPKC,CANADIAN PACIFIC KANSAS CITY,Not Assigned,,,,,,,,,,,,,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1976&incd=EB397&RptType=A&TxtCrossingNum=697810T
4,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,1986,GM92799,86,7,,,,,,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,GM92799,86.0,7.0,303964R,07/14/1986,7,14,11,40,PM,11:40 PM,WEST POINT,,,25,CLAY,28,MISSISSIPPI,WEST POINT,TIBBEE ROAD,Y,Public,A,Auto,25.0,3.0,East,3,Moving over crossing,1,Train (units pulling),41,2,Rail equipment struck by highway user,4,Neither,,,,,,85,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN,2.0,2,96,25.0,E,2.0,South,6,7.0,,,,,,,,,,,Audible,Crossbucks,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,1000,1,0,0,,No,0,0,,,,,,0,1,3L,1,0,1,3.0,,,GSMRGM92799198607,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,,,,,,,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=GM92799&RptType=A&TxtCrossingNum=303964R
5,ICG,Illinois Central Gulf Railroad Company,1986,95359,86,7,,,,,,ICG,Illinois Central Gulf Railroad Company,95359,86.0,7.0,,07/22/1986,7,22,2,10,PM,02:10 PM,BYRAM,,,49,HINDS,28,MISSISSIPPI,BYRAM,PRIVATE-IND PARK,N,Private,A,Auto,0.0,3.0,East,2,Stopped on crossing,2,Train (units pushing),1,1,Rail equipment struck highway user,4,Neither,,,,,,95,2,Day,1,Clear,1,Freight Train,4,Industry,CANTON DIST,3.0,3,3,3.0,E,1.0,North,10,11.0,,,,,,,,,,,Flagged by crew,Other,,,,,,,,,,,,,,,,,1.0,Both sides,No,Unknown,,,No,4,Stopped on crossing,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,1000,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,3.0,,,ICG95359198607,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=95359&RptType=A&TxtCrossingNum=None
6,MSRC,MIDSOUTH RAILROAD CORPORATION,1986,C0709,86,7,,,,,,MSRC,MIDSOUTH RAILROAD CORPORATION,C0709,86.0,7.0,305167G,07/17/1986,7,17,4,35,PM,04:35 PM,GULFPORT,,,47,HARRISON,28,MISSISSIPPI,GULFPORT,28TH ST,Y,Public,A,Auto,27.0,4.0,West,3,Moving over crossing,6,Light loco(s) (moving),1,2,Rail equipment struck by highway user,4,Neither,,,,,,95,2,Day,1,Clear,8,Light loco(s),1,Main,SINGLE MAIN TRACK,1.0,3,0,12.0,E,2.0,South,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,500,1,0,0,,No,0,0,,,,,,0,0,3L,1,0,0,3.0,,,MSRCC0709198607,,Class 1,SMT-6 - UP/KCS,KCS,Kansas City Southern Railway Company,Kansas City Southern Railway Company,,,,,,,,Class 1,SMT-6 - UP/KCS,KCS,Kansas City Southern Railway Company,Kansas City Southern Railway Company,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=C0709&RptType=A&TxtCrossingNum=305167G
7,ICG,Illinois Central Gulf Railroad Company,1986,95354,86,7,,,,,,ICG,Illinois Central Gulf Railroad Company,95354,86.0,7.0,299649P,07/15/1986,7,15,12,2,PM,12:02 PM,WINONA,,,97,MONTGOMERY,28,MISSISSIPPI,WINONA,FRONT ST,Y,Public,A,Auto,2.0,3.0,East,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,95,2,Day,1,Clear,1,Freight Train,1,Main,GRENADA DIST,3.0,3,25,30.0,E,2.0,South,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,Unknown,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,175,3,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,3.0,,,ICG95354198607,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=95354&RptType=A&TxtCrossingNum=299649P
8,ICG,Illinois Central Gulf Railroad Company,1986,95363,86,7,,,,,,ICG,Illinois Central Gulf Railroad Company,95363,86.0,7.0,299649P,07/30/1986,7,30,8,21,AM,08:21 AM,WINONA,,,97,MONTGOMERY,28,MISSISSIPPI,WINONA,FRONT ST,Y,Public,A,Auto,,3.0,East,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,90,2,Day,1,Clear,2,Passenger Train - Pulling,1,Main,GRENADA DIST MAIN,3.0,2,12,30.0,E,2.0,South,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Yes,Unknown,,,No,4,Stopped on crossing,No,2,Standing railroad equipment,2.0,Injured,Yes,0,1,4000,1,0,0,,No,0,0,,,,,,0,1,1L,1,0,1,3.0,,,ICG95363198607,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=95363&RptType=A&TxtCrossingNum=299649P
9,ICG,Illinois Central Gulf Railroad Company,1986,95362,86,7,,,,,,ICG,Illinois Central Gulf Railroad Company,95362,86.0,7.0,300802D,07/29/1986,7,29,7,45,PM,07:45 PM,GWIN,,,51,HOLMES,28,MISSISSIPPI,,PRIVATE CROSSING,N,Private,A,Auto,0.0,3.0,East,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,85,2,Day,1,Clear,1,Freight Train,1,Main,YAZOO DIST MAIN,3.0,3,93,25.0,E,2.0,South,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,No,,,No,4,Stopped on crossing,No,8,Not obstructed,3.0,Uninjured,No,0,0,2500,0,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,3.0,,,ICG95362198607,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=95362&RptType=A&TxtCrossingNum=300802D
