,the_geom,OBJECTID,Cost Center,Calendar Year,Fiscal Year,Fiscal Year Quarter,Deer Kill Date (UTC),County Number,Comments,Latitude (WGS84),Longitude (WGS84),Burial Description,Maintenance District Number,GLOBALID,RAMS Route ID,County Name,Record Created By,Date Record Created (UTC),Edited BY,Date Last Edited (UTC),REST Service Last Updated (UTC),UTC Offset for REST Service Date,UTC Offset for Deer Kill Date,Reference Post,Reference Post Offset,Common Route Name,Burial Method,Sex of Deer,Response to Complaint (Y/N)
0,POINT (-91.670955914188 41.893210966722),787158,556608,,2010,2,,,,41.89321859,-91.67096283,Landfill Free,,dfbe7310-2d5b-4217-aeee-791b7458724b,S001910380N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
1,POINT (-92.003344000374 41.781489710612),757002,556606,,2007,2,,,,41.78149729,-92.003351,Relocation,,8d894dce-3f25-4ad4-b5f9-9c442f5b942e,S001920006E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,female,0
2,POINT (-92.909732046896 40.73975957448),838818,555668,,2018,3,,,,40.73976693,-92.90973919,Tall Grass Burial,,eee30ec3-d277-4182-9206-5a5bfd45a527,S001930002E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
3,POINT (-94.738747779443 41.876885781323),812366,553613,,2013,2,,,,41.87689321,-94.73875555,Tall Grass Burial,,f953d725-f0c2-42fd-9c3a-5da6ebfcc5e3,S001930141E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
4,POINT (-94.236271233769 43.085562644803),836985,552655,,2018,2,,,,43.08557029,-94.23627901,Tall Grass Burial,,17581637-2a27-437c-9720-e98a662d9049,S001920169N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
5,POINT (-91.550810801192 41.377846686539),866357,555892,,2018,2,,,,41.37785423,-91.55081763,Tall Grass Burial,,eb81c401-4196-41f6-9c7a-240e3f04e09e,S001920218N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
6,POINT (-91.045225714529 41.638208887419),779680,556802,,2009,4,,,,41.6382165,-91.04523243,Tall Grass Burial,,3ba4ad7a-c495-47a9-a1d0-ca58933dd809,S001910080E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
7,POINT (-91.610921934043 41.666620606487),746431,556607,,2006,2,,,,41.66662819,-91.61092881,Landfill Charged,,66fd2c74-2cf2-46bb-972c-08b88bcf357f,S001920218N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,female,0
8,POINT (-93.755167984748 41.651546942643),773321,551808,,2008,3,,,,41.65155439,-93.75517546,Tall Grass Burial,,7afb6d90-59b0-4c74-a20b-14cdfde59382,S001910080E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,1
9,POINT (-93.799239835644 40.949525240369),776526,555620,,2009,2,,,,40.94953258,-93.79924725,Tall Grass Burial,,ea51b3b4-d939-4128-ad01-214c014918ca,S001910035N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
