,Year,State_Code,Is_Metric,County_Code,Section_ID,Is_Sample,Is_Donut,Is_Grouped,LRS_ID,Begin_LRS,End_LRS,Rural/Urban,Sampling_Tech,Urban_Code,NonATT_Code,F_System,GF_System,NHS,Unbuilt_Facility,Inter_Route_Number,Route_Signing,Route_Qualifier,Route_Number,Ownership,Special_Systems,Type_Facility,Truck_Route,Toll,Section__Length,Donut_Volume_Group,STD_Volume_Group,AADT,Through_Lanes,IRI,PSR,HOV,Surv_A,Surv_B,Surv_C,Surv_D,Surv_E,Surv_F,Surv_G,Surv_H,Surv-I
0,2008,1,0,1,C04000003450,0,0,1,0,0.0,0.0,1,0,0,0,7,4,0,0,0,7,0,C0400,2,0,2,0,0,3.45,0,1,1067,2,0,0,0,0,0,0,0,0,0,0,0,0
1,2008,1,0,1,C04000016280,0,0,1,0,0.0,0.0,1,0,0,0,7,4,0,0,0,7,0,C0400,2,0,2,0,0,16.28,0,1,1067,2,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,1,0,1,C05000012660,0,0,1,0,0.0,0.0,1,0,0,0,7,4,0,0,0,7,0,C0500,2,0,2,0,0,9.66,0,1,1067,2,0,0,0,0,0,0,0,0,0,0,0,0
3,2008,1,0,1,C05000182000,0,0,1,0,0.0,0.0,1,0,0,0,7,4,0,0,0,7,0,C0500,2,0,2,0,0,182.0,0,1,1067,2,0,0,0,0,0,0,0,0,0,0,0,0
4,2008,1,0,1,C05115012400,0,0,1,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,C0500,4,0,2,0,0,12.4,0,3,3121,2,0,0,0,0,0,0,0,0,0,0,0,0
5,2008,1,0,1,C05220001970,0,0,1,0,0.0,0.0,1,0,0,0,7,4,0,0,0,7,0,C0500,4,0,2,0,0,1.97,0,1,1067,2,0,0,0,0,0,0,0,0,0,0,0,0
6,2008,1,0,1,C05460002110,0,0,1,0,0.0,0.0,1,0,0,0,7,4,0,0,0,7,0,C0500,4,0,2,0,0,2.11,0,1,1067,2,0,0,0,0,0,0,0,0,0,0,0,0
7,2008,1,0,1,FHWAGRUP0001,0,0,1,,0.0,0.0,1,0,0,0,8,5,0,0,0,0,0,0,2,0,2,0,0,117.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2008,1,0,1,FHWAGRUP0002,0,0,1,,0.0,0.0,1,0,0,0,8,5,0,0,0,0,0,0,4,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,1,0,1,FHWAGRUP0003,0,0,1,,0.0,0.0,1,0,0,0,9,6,0,0,0,0,0,0,2,0,2,0,0,71.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008,1,0,1,FHWAGRUP0004,0,0,1,,0.0,0.0,1,0,0,0,9,6,0,0,0,0,0,0,3,0,2,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2008,1,0,1,FHWAGRUP0005,0,0,1,,0.0,0.0,1,0,0,0,9,6,0,0,0,0,0,0,4,0,2,0,0,15.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2008,1,0,1,FHWAGRUP0006,0,0,1,,0.0,0.0,4,0,115,0,19,6,0,0,0,0,0,0,4,0,2,0,0,264.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2008,1,0,1,FU7797000000,1,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7797,4,0,2,0,0,1.21,0,1,1202,2,99,0,0,0,0,0,0,0,0,0,0,0
14,2008,1,0,1,FU7797001210,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7797,4,0,2,0,0,0.59,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
15,2008,1,0,1,FU7797001800,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7797,4,0,2,0,0,2.0,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
16,2008,1,0,1,FU7797004220,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7797,4,0,2,0,0,0.08,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
17,2008,1,0,1,FU7798000000,1,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7798,4,0,2,0,0,0.72,0,2,1645,2,176,0,0,0,0,0,0,0,0,0,0,0
