,Plaza ID,Date,Hour,Direction,# Vehicles - E-ZPass,# Vehicles - VToll
0,21,04/10/2021,0,I,1838,517
1,21,04/10/2021,1,I,1212,340
2,21,04/10/2021,2,I,852,268
3,21,04/10/2021,3,I,763,212
4,21,04/10/2021,4,I,873,178
5,21,04/10/2021,5,I,1420,238
6,21,04/10/2021,6,I,2732,443
7,21,04/10/2021,7,I,3845,678
8,21,04/10/2021,8,I,4781,883
9,21,04/10/2021,9,I,4979,939
10,21,04/10/2021,10,I,5798,1200
11,21,04/10/2021,11,I,6470,1321
12,21,04/10/2021,12,I,6344,1329
13,21,04/10/2021,13,I,6529,1409
14,21,04/10/2021,14,I,7339,1657
15,21,04/10/2021,15,I,7480,1743
16,21,04/10/2021,16,I,5830,1299
17,21,04/10/2021,17,I,6223,1447
18,21,04/10/2021,18,I,6154,1457
19,21,04/10/2021,19,I,5179,1258
20,21,04/10/2021,20,I,4783,1308
21,21,04/10/2021,21,I,4216,1054
22,21,04/10/2021,22,I,3865,968
23,21,04/10/2021,23,I,3310,948
24,22,04/10/2021,0,O,552,154
25,22,04/10/2021,1,O,365,95
26,22,04/10/2021,2,O,265,72
27,22,04/10/2021,3,O,190,46
28,22,04/10/2021,4,O,230,43
29,22,04/10/2021,5,O,365,44
30,22,04/10/2021,6,O,568,80
31,22,04/10/2021,7,O,880,133
32,22,04/10/2021,8,O,1375,191
33,22,04/10/2021,9,O,1778,309
34,22,04/10/2021,10,O,2026,338
35,22,04/10/2021,11,O,1795,312
36,22,04/10/2021,12,O,1694,325
37,22,04/10/2021,13,O,1686,328
38,22,04/10/2021,14,O,1734,357
39,22,04/10/2021,15,O,1878,378
40,22,04/10/2021,16,O,1564,348
41,22,04/10/2021,17,O,1757,378
42,22,04/10/2021,18,O,1555,348
43,22,04/10/2021,19,O,1410,355
44,22,04/10/2021,20,O,1592,388
45,22,04/10/2021,21,O,1458,347
46,22,04/10/2021,22,O,1287,272
47,22,04/10/2021,23,O,1086,266
48,23,04/10/2021,0,I,1059,338
49,23,04/10/2021,0,O,893,276
