,ID,INTERSTATE,ENTRANCE / EXIT,INTERSTATE NAME,INTERSTATE EXIT NO.,CAD EXIT NO.,INTERSTATE EXIT NAME,GEOMETRY
0,85,110,ENTER,North I-110 Hwy,,1450.0,"LA 408-SouthernUniversity,MetroAirport/Veteran's Memorial",POINT (-91.163092151157 30.524388481213)
1,22,12,EXIT,West I-12 Hwy,2A,450.0,US 61 South - Airline Hwy,POINT (-91.07592499249 30.423587378023)
2,12,12,EXIT,West I-12 Hwy,1A,100.0,I-10 - New Orleans,POINT (-91.107055834869 30.418244977901)
3,4,10,ENTER,East I-10 Hwy,,,Bayou Manchac/PARISH LINE,POINT (-91.014019951981 30.329960399215)
4,47,10,ENTER,West I-10 Hwy,,,St Ferdinand St,POINT (-91.187876639783 30.439100831367)
5,3,12,EXIT,West I-12 Hwy,2B,400.0,US 61 - Airline Hwy,POINT (-91.071682965275 30.425420772443)
6,145,10,ENTER,East I-10 Hwy,,1501.0,LA 42/LA 427 - Highland Rd,POINT (-91.027658781579 30.343744952092)
7,72,110,ENTER,North I-110 Hwy,,1101.0,Evangeline St,POINT (-91.161534781036 30.494996958309)
8,53,110,ENTER,South I-110 Hwy,,200.0,Florida St,POINT (-91.1804079197 30.447619966317)
9,127,110,EXIT,North I-110 Hwy,3B,1000.0,Wyandotte St - Mohican St; Weller Ave - Mohican St,POINT (-91.166658248672 30.47881666721)
10,26,12,ENTER,East I-12 Hwy,,411.0,US 61 North - Airline Hwy,POINT (-91.07111174438 30.425397725579)
11,50,110,ENTER,North I-110 Hwy,1A,,"LA 73, Government St./ River Center Downtown",POINT (-91.178049301044 30.441048379019)
12,142,10,EXIT,West I-10 Hwy,156B,500.0,Dalrymple Drive - LSU,POINT (-91.169457804198 30.427571630748)
13,5,12,EXIT,East I-12 Hwy,4,700.0,Sherwood Forest Blvd,POINT (-91.060616298843 30.42904520532)
14,115,10,ENTER,East I-10 Hwy,,1401.0,LA 3246 - Siegen Ln,POINT (-91.062050994842 30.379563962568)
15,123,110,EXIT,North I-110 Hwy,6,1400.0,"LA 408 - Southern University, Metro Airport",POINT (-91.158650395979 30.514415028352)
16,8,110,EXIT,North I-110 Hwy,"8A, 8B",1600.0,U.S. 61; 8A South (Scenic Highway) & 8B North - Natchez,POINT (-91.186568746486 30.536340921758)
17,101,10,ENTER,East I-10 Hwy,,901.0,College Dr,POINT (-91.136703111217 30.42259609499)
18,97,10,ENTER,West I-10 Hwy,,701.0,LA 427 (Acadian Thruway) - LSU,POINT (-91.15492080368 30.42469761374)
19,105,10,EXIT,West I-10 Hwy,159,900.0,1-12 East - Hammond,POINT (-91.110948855185 30.415331656397)
20,48,10,ENTER,West I-10 Hwy,,,110 - 10 MERGE TOWARDS LAFAYETTE,POINT (-91.182483440586 30.439190410855)
21,151,12,EXIT,West I-12 Hwy,1B,300.0,"LA 1068/To LA 73 - Drusilla Lane, Jefferson Highway",POINT (-91.085085192024 30.419642027685)
22,122,110,EXIT,North I-110 Hwy,8,1500.0,"LA 19 - Scotlandville, Baker",POINT (-91.173585992135 30.535364908622)
23,17,12,ENTER,East I-12 Hwy,,301.0,LA 3064- Essen Lane,POINT (-91.095484103764 30.416853437689)
24,84,110,EXIT,South I-110 Hwy,6,1300.0,Metro Airport/Southern University,POINT (-91.163466963149 30.524446608806)
25,106,12,ENTER,East I-12 Hwy,,100.0,I-10 New Orleans to I-12 East,POINT (-91.108016103025 30.41808255337)
26,36,12,ENTER,West I-12 Hwy,,1100.0,AMITE RIVER/PARISH LINE,POINT (-90.986445671358 30.447728931678)
27,148,10,EXIT,East I-10 Hwy,163,1400.0,LA 3246 - Siegen Ln,POINT (-91.073878625515 30.387226359989)
28,57,110,ENTER,North I-110 Hwy,,550.0,MAIN ST,POINT (-91.180612978785 30.454302355784)
29,19,110,EXIT,North I-110 Hwy,1D,,North Street - Capitol Park - Downtown,POINT (-91.180151726124 30.449353984119)
30,30,12,ENTER,West I-12 Hwy,,701.0,Millerville Road NB,POINT (-91.02409846539 30.438340067679)
31,129,110,EXIT,South I-110 Hwy,2B,700.0,"LA 67- N. 22nd Street, Memorial Stadium",POINT (-91.166646458482 30.465656075027)
32,150,12,EXIT,East I-12 Hwy,1B,300.0,LA 3046 - Essen Lane,POINT (-91.101176356637 30.417397688886)
33,125,110,EXIT,North I-110 Hwy,4B,1200.0,Hollywood Street,POINT (-91.160277485915 30.497072016522)
34,95,10,EXIT,East I-10 Hwy,156B,600.0,Dalrymple Drive - LSU,POINT (-91.171094945456 30.42827694877)
35,136,110,EXIT,North I-110 Hwy,1C,400.0,US 61/US 190 Bus - Florida Street - Downtown,POINT (-91.179869940177 30.447378021661)
36,37,12,ENTER,West I-12 Hwy,,901.0,LA 3245 - O' Neal Lane,POINT (-91.011659822937 30.441477750813)
37,110,10,ENTER,West I-10 Hwy,,1201.0,LA 1248 - Bluebonnet Rd,POINT (-91.089385897996 30.398171426034)
38,23,12,ENTER,East I-12 Hwy,,501.0,US 61 South - Airline Hwy,POINT (-91.075446281969 30.423552441956)
39,86,110,ENTER,South I-110 Hwy,,1401.0,"LA 19-Scotlandville, Baker",POINT (-91.173754658672 30.535114709638)
40,147,10,EXIT,East I-10 Hwy,162B,,Mall of Louisiana Blvd,POINT (-91.083136030687 30.393143200899)
41,82,110,EXIT,South I-110 Hwy,5B,1200.0,Airline Hwy/Opelousas,POINT (-91.160051887688 30.518467332626)
42,146,10,EXIT,West I-10 Hwy,166,1400.0,LA 42/LA 427 - Highland Rd (Perkins),POINT (-91.027164781842 30.343709204264)
43,143,10,EXIT,East I-10 Hwy,157A,700.0,Perkins Rd,POINT (-91.157433718785 30.424787588887)
44,109,10,EXIT,West I-10 Hwy,160,1000.0,LA 3064 - Essen Ln,POINT (-91.097482354105 30.404564611769)
45,32,12,EXIT,West I-12 Hwy,6,700.0,Millerville Road,POINT (-91.019831994828 30.439438613911)
46,102,10,EXIT,West I-10 Hwy,158,800.0,College Dr,POINT (-91.135795029514 30.422680577632)
47,51,110,ENTER,North I-110 Hwy,,,"LA 73, Government St.",POINT (-91.179415574837 30.445944067008)
48,24,12,ENTER,West I-12 Hwy,,410.0,US 61 North - Airline Hwy,POINT (-91.074736859251 30.424088148002)
49,58,110,EXIT,North I-110 Hwy,1E,600.0,Capitol Access Road - Capitol Park 3045,POINT (-91.180649035074 30.45488302215)
