,the_geom,OBJECTID,Alternate Route,End Time,CARS ID,Event Expire Date,Event Expire Time,Event Issue Date,Event Issue Time,Priority,Route,Start Time,Update Date,Update Time,State ORGID,Instructions,GIS Updated,Symbol Style,CARS Headline,Phrase,Cause,Restrictions,Message,Message1,Description,Description1,Link Text,Date Record Edited
0,POINT (-91.222151 43.361801),455,,03:00 PM,IADOT-14666578714BOTH,20240811,150000,20240617,115710,2,IA 9,01:00 PM,06/17/2024,11:57 AM,Iowa,,20240720 100304,future_event,Starts Sunday August 11. IA 9: Closed,Closed,due to major event.,,Closeddue to major event. Working hours are 01:00 PM to 03:00 PM.,,"Web Text: Allamakee County
**Lansing Fish Days Parade** Allamakee County
**Lansing Fish Days Parade**",,https://511ia.org/event/IADOT-14666578714BOTH,07/20/2024 03:03:10 PM +0000
1,POINT (-94.421927 42.267047),297,,06:00 PM,IADOT-14344864710BOTH,20240823,180000,20240521,162037,5,IA 175,06:00 AM,05/21/2024,04:20 PM,Iowa,,20240720 100304,roadwork,Starts Thursday May 30. IA 175: Road Construction,Road Construction,,There is a height limit in effect. Height limit of 14.99 ft.,Road ConstructionThere is a height limit in effect. Height limit of 14.99 ft. Working hours are 06:00 AM to 06:00 PM.,,Web Text: Jefferson RCE (800-251-2705) - Calhoun County Jefferson RCE (800-251-2705) - Calhoun County,,https://511ia.org/event/IADOT-14344864710BOTH,07/20/2024 03:03:08 PM +0000
2,POINT (-93.616712 42.862037),93,,07:00 PM,IADOT-14924190018BOTH,20240911,190000,20240708,123455,5,US 69,07:00 AM,07/08/2024,12:34 PM,Iowa,,20240720 100304,future_event,Starts Monday July 29. US 69: Road Construction,Road Construction,,,"Road ConstructionPilot car in operation, look out for flagger.Working hours are 07:00 AM to 07:00 PM.",,Web Text: Mason City RCE (800-373-7344) - Wright & Hancock Counties Mason City RCE (800-373-7344) - Wright & Hancock Counties,,https://511ia.org/event/IADOT-14924190018BOTH,07/20/2024 03:03:07 PM +0000
3,POINT (-91.180794 40.819408),151,,07:00 PM,IADOT-13366497065BOTH,20240720,190000,20240617,111010,5,US 34,07:00 AM,06/17/2024,11:10 AM,Iowa,,20240720 100304,roadwork,Starts Monday March 11. US 34: Road Construction,Road Construction,,There is a weight limit in effect. Width limit 335 ft.,Road ConstructionThere is a weight limit in effect. Width limit 335 ft. Working hours are 07:00 AM to 07:00 PM.,,Web Text: Des Moines County Des Moines County,,https://511ia.org/event/IADOT-13366497065BOTH,07/20/2024 03:03:07 PM +0000
4,POINT (-93.500497 41.284478),421,,06:00 PM,IADOT-14961072972BOTH,20240724,180000,20240711,130158,5,US 65,06:00 AM,07/11/2024,01:01 PM,Iowa,,20240720 100304,future_event,US 65: Starts Wednesday July 24. US 65: Major Event,Major Event,,,Major Event  Working hours are 06:00 AM to 06:00 PM.,,"Web Text: RAGBRAI Bike Route.  /a> =https://ragbrai.com/maps/"">More detailed route maps.</a>  RAGBRAI Bike Route.  /a> =https://ragbrai.com/maps/"">More detailed route maps.</a>",,https://511ia.org/event/IADOT-14961072972BOTH,07/20/2024 03:03:09 PM +0000
5,POINT (-91.097486 40.812204),352,,01:00 PM,IADOT-13461101744WB,20240723,130000,20240709,112628,5,US 34 WB,02:00 PM,07/09/2024,11:26 AM,Iowa,,20240720 100304,roadwork,US 34 WB: Starts Thursday March 07. US 34 WB: Road Construction,Road Construction,,,Road Construction  Working hours are 02:00 PM to 01:00 PM.,,Web Text: Fairfield RCE (641-469-4090) - Des Moines County Fairfield RCE (641-469-4090) - Des Moines County,,https://511ia.org/event/IADOT-13461101744WB,07/20/2024 03:03:09 PM +0000
6,POINT (-91.380142 41.666191),69,,06:00 PM,IACARS4-81268,20261130,180000,20240223,95133,4,Lower West Branch Rd SE,08:00 AM,02/23/2024,09:51 AM,Iowa,,20240720 100304,closure,Lower West Branch Rd SE: Starts Wednesday February 28. Lower West Branch Rd SE: Closed,Closed,due to road construction.,,Closed due to road construction.  Working hours are 08:00 AM to 06:00 PM.,,Davenport RCE (800-262-5145) - Johnson County,,https://511ia.org/event/IACARS4-81268,07/20/2024 03:03:07 PM +0000
7,POINT (-93.271831 43.14826),104,,04:00 PM,IADOT-13528389497EB,20241120,160000,20240712,160408,2,IA 122 EB,08:00 AM,07/12/2024,04:04 PM,Iowa,,20240720 100304,closure,IA 122 EB: Starts Monday April 08. IA 122 EB: Closed,Closed,due to road construction.,,Closed due to road construction.  Working hours are 08:00 AM to 04:00 PM.,,Web Text: Mason City RCE (800-373-7344) - Cerro Gordo County Mason City RCE (800-373-7344) - Cerro Gordo County,,https://511ia.org/event/IADOT-13528389497EB,07/20/2024 03:03:07 PM +0000
8,POINT (-92.388528 41.010328),637,,06:00 PM,IADOT-14974422158BOTH,20240726,180000,20240712,152446,5,US 34,06:00 AM,07/12/2024,03:24 PM,Iowa,,20240720 100304,future_event,US 34: Starts Friday July 26. US 34: Major Event,Major Event,,,Major Event  Working hours are 06:00 AM to 06:00 PM.,,"Web Text: RAGBRAI Bike Route.  /a> =https://ragbrai.com/maps/"">More detailed route maps.</a>  RAGBRAI Bike Route.  /a> =https://ragbrai.com/maps/"">More detailed route maps.</a>",,https://511ia.org/event/IADOT-14974422158BOTH,07/20/2024 03:03:11 PM +0000
9,POINT (-96.489345 43.051429),36,,03:00 PM,IADOT-13461702475BOTH,20240914,150000,20240717,121813,5,IA 10,08:00 AM,07/17/2024,12:18 PM,Iowa,,20240720 100304,roadwork,Starts Friday March 29. IA 10: Road Construction,Road Construction,,There is a weight limit in effect. Width limit 457 ft.,Road ConstructionThere is a weight limit in effect. Width limit 457 ft. Working hours are 08:00 AM to 03:00 PM.,,Web Text: Sioux City RCE (712-239-1367) - Sioux County Sioux City RCE (712-239-1367) - Sioux County,,https://511ia.org/event/IADOT-13461702475BOTH,07/20/2024 03:03:06 PM +0000
