,OBJECTID,RWCOMPKEY,RWCOMPKEYPARENT,LOW_ADDRESS,FROM_ADDRESS,TO_ADDRESS,LFROM,LTO,RFROM,RTO,SIFID,SIFCODE,ROADNAME,AVDIR,AVPRETYPE,AVSTNAME,AVSTTYPE,AVSUFDIR,DIR,STRNAME,TYPE,SIFIDLOW,LOCROSSSIF,LOCROSSPR,LOCROSSNA,LOCROSSSU,SIFIDHI,HICROSSSIF,HICROSSPR,HICROSSNA,HICROSSSU,ONE_WAY,FTIMP,TFIMP,SPEED,MUNI_NAME,COUNDIST,MAIN_DIST,MAPNO,OWNER_NAME,OWNER_ABRV,MAIN_RESP,MAIN_ABRV,CORE_CLASS,CLASS_ABRV,STCL_CLASS,ZIP_LEFT,ZIP_RIGHT,COMPKEY,COMPTYPE,UNITID,UNITID2,ENTERED_BY,ENTERED_ON,UPDATED_BY,UPDATED_ON,ROUTE_LBL,LENGTH,ALIAS1_DIR,ALIAS1_STRNAME,ALIAS1_TYPE,ALIAS1_SIFID,ALIAS2_DIR,ALIAS2_STRNAME,ALIAS2_TYPE,ALIAS2_SIFID,ALIAS3_DIR,ALIAS3_STRNAME,ALIAS3_TYPE,ALIAS3_SIFID,ALIAS4_DIR,ALIAS4_STRNAME,ALIAS4_TYPE,ALIAS4_SIFID,GLOBALID,SHAPELEN
0,1,24074,0,6300,6300,6399,6301,6399,6300,6398,8665,9887,SERENITY CT, , ,SERENITY,CT, , ,SERENITY,CT,1550,1557, ,DELLAFAY,DR,8594,9811, ,DEAD END, , ,0.24600001,0.24600001,25,LOUISVILLE,2,EAST,MAN20D,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40219,40219,270349312,68,9887,2,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,325.14, , , ,0, , , ,0, , , ,0, , , ,0,{496EE316-2749-408F-AD2D-16DD49C99017},325.140305619271
1,2,20311,0,1600,1600,1619,1601,1619,1600,1618,5926,6570,S 28TH ST,S, ,28TH,ST, ,S,28TH,ST,2854,2934,W,HILL,ST,2470,2499,W,GAULBERT,AVE, ,0.33899999,0.33899999,25,LOUISVILLE,1,WEST,MAL17F,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40211,40211,270344558,68,6570,21,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,447.05, , , ,0, , , ,0, , , ,0, , , ,0,{AA2CAA18-473D-416D-8973-C74538F2BB31},447.052294375334
2,3,21109,0,1700,1700,1705,1701,1705,1700,1704,473,0458,BEECH ST, , ,BEECH,ST, , ,BEECH,ST,6487,7212, ,WILSON,AVE,10596,D596, ,DR WILLIAM G WEATHERS,DR, ,0.41499999,0.41499999,25,LOUISVILLE,1,WEST,MAL17F,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40211,40211,270345921,68,0458,11,ADMIN,2006/05/23 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,547.83, , , ,0, , , ,0, , , ,0, , , ,0,{A9B57033-3F9C-4CA7-8ED3-0F17D5DF6C14},552.489593373372
3,4,20926,0,505,505,519,505,519,506,518,2442,2470,GARDEN DR, , ,GARDEN,DR, , ,GARDEN,DR,13394,5391, ,RAINBOW,DR,4702,5128, ,POPPY,WAY, ,0.07345799,0.07345799,25,LOUISVILLE,9,EAST,MAL20D,METRO,METR,METRO,METR,PRIMARY COLLECTOR,PRICOL,5,40206,40206,270342861,68,2470,6,ADMIN,1801/01/01 00:00:00+00,RREYNOLDS,2017/05/18 00:00:00+00, ,193.9290886, , , ,0, , , ,0, , , ,0, , , ,0,{F40EEA69-C8E4-4A2B-983D-670A93C87BFE},193.929088602638
4,5,19036,0,730,730,799,731,799,730,798,4573,4974,PARKWAY DR, , ,PARKWAY,DR, , ,PARKWAY,DR,4162,4476, ,MOUNT CLAIRE,AVE,8594,9811, ,DEAD END, , ,0.095,0.095,25,LOUISVILLE,15,WEST,MAM19A,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40217,40217,270343420,68,4974,12,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,125.9, , , ,0, , , ,0, , , ,0, , , ,0,{D0515DFE-8CF3-450F-9470-A1C35303ACA7},125.862060314308
5,6,3788,0,603,603,635,603,635,604,634,13360,4118,MACON AVE, , ,MACON,AVE, , ,MACON,AVE,6494,7222, ,WINCHESTER,RD,3107,3230, ,HANOVER,RD, ,0.257,0.257,25,ST MATTHEWS,9,EAST,MAL21C,ST MATTHEWS,STMA,4TH CLASS CITY,4CLC,LOCAL,LOCAL,7,40207,40207,270327704,68,4118,12,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,338.82, , , ,0, , , ,0, , , ,0, , , ,0,{7AA93390-F010-4BB5-B9D5-FACDCA900157},338.804711451247
6,7,32812,0,10600,10600,10699,10600,10698,10601,10699,2082,E389,NORTON COMMONS WALK, , ,NORTON COMMONS,WALK, , ,NORTON COMMONS,WALK,8594,9811, ,DEAD END, ,11923,D887, ,NORTON COMMONS,BLVD, ,0.5589272,0.5589272,3,LOUISVILLE,16,EAST,MAJ23F,PRIVATE,PRIV,NON-METRO,NMET,PEDESTRIAN WALKWAY,WLKWAY,8,40059,40059,270394154,68,E389,1,ADMIN,2007/01/12 00:00:00+00,RREYNOLDS,2017/06/07 00:00:00+00, ,245.92796753, , , ,0, , , ,0, , , ,0, , , ,0,{05F74BE3-298A-4433-99BC-56FF1C5400B3},253.23959922781
7,8,29731,0,10312,10312,10399,10313,10399,10312,10398,6942,7752,GREENFIELD PARK RD, , ,GREENFIELD PARK,RD, , ,GREENFIELD PARK,RD,10150,D104, ,BROADMANOR,LN,4312,4658, ,MATTHEWS,RD, ,0.19000728,0.19000728,25,LOUISVILLE,14,WEST,MAN15H,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40258,40258,270354921,68,7752,7,ADMIN,2006/12/12 00:00:00+00,EBULLITT,2011/10/06 00:00:00+00, ,250.80960561, , , ,0, , , ,0, , , ,0, , , ,0,{537CA197-3AAD-4EF7-9666-B24F0437BEA9},246.022354272051
8,9,31978,0,11100,11100,11124,11101,11123,11100,11124,12052,E021,LITTLE SPRING BLVD, , ,LITTLE SPRING,BLVD, , ,LITTLE SPRING,BLVD,12086,E061, ,EXPEDITION,TRL,12082,E058, ,RADLEIGH,LN, ,0.866,0.866,35,LOUISVILLE,22,WEST,MAO23G,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40291,40291,270360572,68,E021,4,ADMIN,2005/09/22 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,1142.93, , , ,0, , , ,0, , , ,0, , , ,0,{95CDD850-DFD2-4615-8D62-D3EB0A9CA262},1138.74030202586
9,10,4002,0,2500,2500,2515,2501,2515,2500,2514,2363,2383,FOXY POISE RD, , ,FOXY POISE,RD, , ,FOXY POISE,RD,5721,6338, ,SIR JOHNS,CT,12955,3997, ,LYNNBROOK,DR, ,0.43099999,0.43099999,25,ST REGIS PARK,18,EAST,MAL22E,ST REGIS PARK,STRP,4TH CLASS CITY,4CLC,LOCAL,LOCAL,7,40220,40220,270327800,68,2383,1,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,569.02, , , ,0, , , ,0, , , ,0, , , ,0,{E5420224-C8FF-4CE9-9F44-72BBDB7C714D},569.021660489176
