,X,Y,OBJECTID,id,name,status,state,district,county,highway,milemarker,description,direction,snapshot,latitude,longitude,updateTS,EXTRACT_DT,UpdateIndicator
0,-9546037.27761622,4628309.87658277,1,,,,,,,,,I-65 just South of I-265 Exit 6 Indiana,,http://pws.trafficwise.org/pullover/172_65_56_11.jpg,38.345217,-85.753507,2021/05/15 03:00:17+00,,
1,-9544666.37698375,4616126.52283109,2,,,,,5.0,Jefferson,,,I-65 at Spaghetti Junction,,http://www.trimarc.org/images/milestone/CCTV_05_65_1365.jpg,38.25932994,-85.741192,2021/05/15 03:00:17+00,,
2,-9546172.75365004,4631831.65857871,3,,,,,,,,,I-65 at SR 60 Exit 7 Indiana,,http://www.trimarc.org/images/snapshots/IND_CCTV005.jpg,38.370025,-85.754724,2021/05/15 03:00:17+00,,
3,-9543456.50844471,4616369.30138258,4,,,,,5.0,Jefferson,,,I-64 adj. Adams St.,,http://www.trimarc.org/images/milestone/CCTV_05_64_0058.jpg,38.26104241,-85.73032357,2021/05/15 03:00:17+00,,
4,-9545157.07348524,4617554.24689899,5,,,,,,,,,I-65 over Market St. Exit 0 Indiana,,http://pws.trafficwise.org/pullover/172_65_1_10.jpg,38.2694,-85.7456,2021/05/15 03:00:17+00,,
5,-9546301.77230271,4621163.40768611,6,,,,,,,,,I-65 at Eastern Ave. Ind. Exit 2 Indiana,,http://www.trimarc.org/images/snapshots/IND_CCTV008.jpg,38.29485,-85.755883,2021/05/15 03:00:17+00,,
6,-9559795.59102974,4622276.9005398,7,,,,,,,,,I-64 at Ind. 150,,http://pws.trafficwise.org/pullover/172_64_204_10.jpg,38.3027,-85.8771,2021/05/15 03:00:17+00,,
7,-9554112.72926798,4619355.12327299,8,,,,,,,,,Sherman Minton Br (Indiana side),,http://pws.trafficwise.org/pullover/172_64_237_11.jpg,38.2821,-85.82605,2021/05/15 03:00:17+00,,
8,-9554452.25386859,4619865.66543155,9,,,,,,,,,"I-64 at New Albany, Ind.",,http://pws.trafficwise.org/pullover/172_64_234_10.jpg,38.2857,-85.8291,2021/05/15 03:00:17+00,,
9,-9556682.31793663,4622104.2659229,10,,,,,,,,,I-64 at I-265 in Ind.,,http://www.trimarc.org/images/snapshots/CCTV027.jpg,38.301483,-85.849133,2021/05/15 03:00:17+00,,
10,-9546971.58279544,4635165.3176141,11,,,,,,,,,"I-65 at Sellersburg, Ind.(Exit 9 - SR 311)",,http://pws.trafficwise.org/pullover/172_65_90_10.jpg,38.3935,-85.7619,2021/05/15 03:00:17+00,,
11,-9547321.12494653,4615657.28545913,12,,,,,5.0,Jefferson,,,Downtown Louisville at 9th & Market,,http://www.trimarc.org/images/snapshots/CCTV064.jpg,38.25602,-85.76504,2021/05/15 03:00:17+00,,
12,-9545709.21812375,4615266.02765384,13,,,,,5.0,Jefferson,,,Downtown Louisville at Brook & Jefferson,,http://www.trimarc.org/images/snapshots/CCTV067.jpg,38.25326,-85.75056,2021/05/15 03:00:17+00,,
