,the_geom,Group_Id,WorksiteNa,Address,Latitude,Longitude,City,Origin_Des,EmployerID,WorksiteID
0,POINT (-122.59108499999996 47.51001900000006),8,Boeing Developmental Center,"4243 Lakeview Dr SE, Port Orchard, WA 98366, USA",47.510019,-122.591085,Port Orchard,Origin,2013.0,57.0
1,POINT (-122.19762799999995 47.472568100000046),31,Boeing Everett Plant,"810 High Ave S, Renton, WA 98057, USA",47.4725681,-122.197628,Renton,Origin,2013.0,62.0
2,POINT (-122.33230859999998 47.66426180000008),46,Microsoft - Bldg 36,"Meridian Playground, 4649 Sunnyside Ave N, Seattle, WA 98103, USA",47.6642618,-122.3323086,Seattle,Origin,1024.0,4256.0
3,POINT (-122.38872349999997 47.57205150000004),50,Seattle Children's Hospital- Main Campus,"4400-4498 SW Spokane St, Seattle, WA 98116, USA",47.5720515,-122.3887235,Seattle,Origin,6133.0,315.0
4,POINT (-122.36846189999994 47.27615890000004),147,Boeing Delivery Ctr.,"1702 Pointe Woodworth Dr NE, Tacoma, WA 98422, USA",47.2761589,-122.3684619,Tacoma,Origin,2013.0,4057.0
5,POINT (-122.29777509999997 47.817409000000055),156,Harborview Medical Center,"200th St SW & 48th Ave W, Lynnwood, WA 98036, USA",47.817409,-122.2977751,Lynnwood,Origin,6010.0,495.0
6,POINT (-122.30515529999997 47.48386910000005),166,Esterline/Korry Electronics - Beverly Park Rd Everett,"13241 22nd Ave S, SeaTac, WA 98168, USA",47.4838691,-122.3051553,SeaTac,Origin,3021.0,4273.0
7,POINT (-122.33717109999998 47.46974860000006),194,Virginia Mason Hospital & Clinic,"Burien TC, 14900 4th Ave SW, Burien, WA 98166, USA",47.4697486,-122.3371711,Burien,Origin,6040.0,1042.0
8,POINT (-121.99149109999996 47.204178400000046),258,Boeing Renton Plant,"1352 Griffin Ave, Enumclaw, WA 98022, USA",47.2041784,-121.9914911,Enumclaw,Origin,2013.0,83.0
9,POINT (-122.26155039999998 47.85000700000006),290,Harborview Medical Center,"164th St SW & Ash Wy, Picnic Point-North Lynnwood, WA 98087, USA",47.850007,-122.2615504,Picnic Point-North Lynnwood,Origin,6010.0,495.0
10,POINT (-122.20238689999996 47.49252978000004),335,Boeing Everett Plant,"611 Park Ave N, Renton, WA 98057, USA",47.49252978,-122.2023869,Renton,Origin,2013.0,62.0
11,POINT (-122.37958979999996 47.528531300000054),405,Harborview Medical Center,"3702 SW Thistle St, Seattle, WA 98126, USA",47.5285313,-122.3795898,Seattle,Origin,6010.0,495.0
12,POINT (-122.56783939999997 47.43199640000006),414,University of Washington - Main Campus,"12798 Olalla Valley Rd SE, Olalla, WA 98359, USA",47.4319964,-122.5678394,Olalla,Origin,7001.0,992.0
13,POINT (-122.35528789999995 47.97417710000008),493,,"6523 Humphrey Rd, Clinton, WA 98236, USA",47.9741771,-122.3552879,Clinton,Origin,,
14,POINT (-122.3352645 47.77419100000003),510,Boeing Renton Plant,"North 200th Street & Bagley Drive North, Shoreline, WA 98133, USA",47.774191,-122.3352645,Shoreline,Origin,2013.0,83.0
15,POINT (-122.23102619999997 47.30719520000008),534,Kenworth - Kirkland,"23 A St SW, Auburn, WA 98001, USA",47.3071952,-122.2310262,Auburn,Origin,3012.0,99.0
16,POINT (-122.23207899999994 47.30621720000005),713,Nintendo - North Bend,"Auburn TC, Auburn, WA 98001, USA",47.3062172,-122.232079,Auburn,Origin,4244.0,684.0
17,POINT (-122.04865499999994 47.65250190000006),729,Seattle Children's Hospital- Main Campus,"21822 Redmond-Fall City Rd NE, Redmond, WA 98053, USA",47.6525019,-122.048655,Redmond,Origin,6133.0,315.0
18,POINT (-122.38508569999999 47.516620300000056),735,Microsoft - Studio A,"9633 41st Ave SW, Seattle, WA 98136, USA",47.5166203,-122.3850857,Seattle,Origin,1024.0,5179.0
19,POINT (-122.53605759999999 47.63535950000005),743,University of Washington - Main Campus,"7968 Finch Rd NE, Bainbridge Island, WA 98110, USA",47.6353595,-122.5360576,Bainbridge Island,Origin,7001.0,992.0
20,POINT (-122.30482789999996 47.317539500000066),805,Fred Hutch - Fairview Ave N Seattle,"Federal Way Transit Center, Federal Way, WA 98003, USA",47.3175395,-122.3048279,Federal Way,Origin,6130.0,2898.0
