,SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,LatLng
0,R578,18500 HART ST,Single-Space,FLAT,$1.00,2HR,"(-34.197632, -118.536355)"
1,VW1958,1701 HOOVER ST,Single-Space,FLAT,$1.00,1HR,"(34.042304, -118.284271)"
2,CB2210,801 S SAN JULIAN ST,Single-Space,TOD,$0.50 - $6.00,2HR,"(34.038399, -118.250914)"
3,AE412,500 VIGNES ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,"(34.052172, -118.233119)"
4,W190,5300 W CENTURY BLVD,Single-Space,FLAT,$1.00,2HR,"(33.945157, -118.371691)"
5,CB4139,1400 S MYRTLE ST,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,"(34.031916, -118.257042)"
6,SL569,2700 ROWENA AVE,Single-Space,FLAT,$1.00,2HR,"(34.107272, -118.263876)"
7,PB93,5201 W PICO BLVD,Single-Space,FLAT,$1.00,2HR,"(34.048381, -118.353275)"
8,PM59,9401 W NORTH VENICE BLVD,Single-Space,FLAT,$1.00,1HR,"(34.025396, -118.395527)"
9,VS346,4800 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,"(34.09803, -118.295385)"
10,LM272,7301 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,"(34.083621, -118.348946)"
11,WF194,8300 W 3RD ST,Single-Space,FLAT,$1.00,2HR,"(34.072666, -118.370769)"
12,SVV96,1000 VERMONT AVE,Single-Space,FLAT,$1.00,1HR,"(34.090211, -118.291614)"
13,CB2327,600 E PICO BLVD,Single-Space,TOD,$0.50 - $1.00,4HR,"(34.032931, -118.254419)"
14,CB152,1400 S HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,"(34.037728, -118.266685)"
15,ER98A,5000 EAGLE ROCK BLVD,Single-Space,FLAT,$1.00,1HR,"(34.138676, -118.214021)"
16,WW1343,500 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,"(34.081279, -118.309003)"
17,SS49,11401 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,1HR,"(34.045808, -118.45128)"
18,WS156,1301 S WESTWOOD BLVD,Single-Space,FLAT,$1.00,2HR,"(34.056728, -118.442781)"
19,VH68,4601 MELBOURNE AVE,Single-Space,FLAT,$1.00,1HR,"(34.103657, -118.2915)"
20,CB79,301 E OLYMPIC BLVD,Single-Space,TOD,$0.50 - $6.00,2HR,"(34.038782, -118.254565)"
21,56475,10800 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,"(34.050126, -118.434773)"
22,HO172,1600 N CAHUENGA BLVD,Single-Space,TOD,$1.50 - $3.00,2HR,"(34.100053, -118.329429)"
23,56152,10469 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,"(34.056223, -118.426266)"
24,L92,100 N LARCHMONT BLVD,Single-Space,FLAT,$1.00,2HR,"(34.073706, -118.323514)"
25,BF767,500 N FAIRFAX AVE,Single-Space,FLAT,$1.00,2HR,"(34.08128, -118.361356)"
26,WW554,650 KINGSLEY DR,Single-Space,FLAT,$1.00,2HR,"(34.060391, -118.303014)"
27,C1154,3100 HOOVER ST,Single-Space,FLAT,$1.00,2HR,"(34.026485, -118.283833)"
