,SpaceID,EventTime_UTC,OccupancyState
0,CB384,07/20/2024 10:34:52 PM,OCCUPIED
1,SP674,07/20/2024 11:48:24 PM,VACANT
2,CB2073,07/21/2024 12:40:01 AM,VACANT
3,LT176,07/22/2024 07:00:33 AM,VACANT
4,CB3229,07/21/2024 12:47:58 AM,OCCUPIED
5,CB579,07/22/2024 07:00:13 AM,VACANT
6,CB3142,07/22/2024 09:00:46 AM,OCCUPIED
7,CB1757,07/22/2024 09:19:32 AM,VACANT
8,CB455,07/21/2024 12:49:47 AM,VACANT
9,SV134,07/22/2024 08:45:08 AM,VACANT
10,CB1332,07/21/2024 12:05:57 AM,OCCUPIED
11,CT549,07/22/2024 07:00:30 AM,VACANT
12,CB884,07/22/2024 08:54:04 AM,OCCUPIED
13,CB2308,07/21/2024 12:59:06 AM,VACANT
14,66151,07/22/2024 09:09:35 AM,VACANT
15,CB3260,07/21/2024 12:53:09 AM,OCCUPIED
16,CT166,07/22/2024 07:00:30 AM,VACANT
17,CC1442A,07/22/2024 08:52:45 AM,VACANT
18,CB2814,07/22/2024 09:08:25 AM,VACANT
19,66296,07/21/2024 05:28:40 PM,UNKNOWN
20,LT276,07/22/2024 07:00:25 AM,VACANT
21,CT60B,07/21/2024 02:09:25 AM,OCCUPIED
22,CB3491B,07/22/2024 07:00:29 AM,VACANT
23,CB1317A,07/22/2024 08:37:02 AM,VACANT
24,61464,07/22/2024 07:47:27 AM,VACANT
25,CT591,07/21/2024 02:36:13 AM,OCCUPIED
26,CB239,07/22/2024 07:00:25 AM,OCCUPIED
27,CB4142,07/22/2024 09:50:14 AM,VACANT
28,CC1267A,07/21/2024 02:58:49 AM,OCCUPIED
29,CB420,07/22/2024 09:12:48 AM,VACANT
30,CB4198,07/21/2024 12:42:02 AM,VACANT
31,CC1258,07/22/2024 07:17:36 AM,VACANT
32,LT49,07/22/2024 08:09:25 AM,VACANT
33,CB905A,07/21/2024 02:31:16 AM,OCCUPIED
34,SP654,07/22/2024 07:00:48 AM,VACANT
35,LT318,07/22/2024 09:58:48 AM,VACANT
36,V254,07/22/2024 09:35:01 AM,OCCUPIED
37,ED205,07/20/2024 09:50:27 PM,VACANT
38,CB2490A,07/22/2024 08:04:30 AM,VACANT
39,CB934,07/22/2024 07:59:59 AM,OCCUPIED
40,LT478,07/22/2024 09:30:41 AM,VACANT
41,66420,07/22/2024 08:38:41 AM,VACANT
42,CB2225,07/22/2024 09:19:24 AM,VACANT
43,CB2373,07/22/2024 07:00:30 AM,VACANT
44,CB4286,07/21/2024 02:11:10 AM,OCCUPIED
45,CB2391,07/20/2024 09:41:47 PM,VACANT
46,CB3193,07/22/2024 08:05:18 AM,OCCUPIED
47,CB476,07/20/2024 10:59:36 PM,VACANT
48,LT493,07/22/2024 07:10:50 AM,VACANT
49,CB2189,07/22/2024 07:58:48 AM,VACANT
