,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
0,1 st ST,AT,MC CADDEN PL,AUT,TUE,February 05 2013,TUE,364.0,763.0,0.0,0.0,1127
1,1 st ST,AT,ALAMEDA ST,AUTO,CR,January 16 2014,THU,6433.0,11669.0,0.0,0.0,18102
2,1 st ST,AT,MAIN ST,MIO,CR,March 27 2013,WED,9221.0,9811.0,0.0,0.0,19032
3,1 st ST,AT,SPRING ST,MIO,CR,March 19 2013,TUE,9365.0,9884.0,0.0,0.0,19249
4,1 st ST,AT,MAIN ST,MAN,CR,November 08 2011,TUE,11400.0,12497.0,,,23897
5,10 th AV,AT,48 th ST,AUTO,SR,January 29 2014,WED,0.0,0.0,285.0,358.0,643
6,10 th ST,AT,ALMA  ST,AUTO,SR,June 17 2013,MON,428.0,294.0,0.0,0.0,722
7,102 nd ST,AT,BROADWAY,MAN,SR,November 09 2011,WED,444.0,268.0,,,712
8,102 nd ST,AT,BROADWAY,AUTO,SR,December 09 2013,MON,579.0,326.0,0.0,0.0,905
9,103 rd ST,AT,PALOMA ST,AUTO,SR,January 24 2011,MON,3325.0,2817.0,,,6142
10,103 rd ST,AT,CLOVIS ST,AUTO,SR,January 24 2011,MON,3716.0,3496.0,,,7212
11,103 rd ST,AT,WEIGARD AV,AUTO,SR,January 25 2011,TUE,5887.0,3805.0,,,9692
12,103 rd ST,AT,LOU DILLON AV,AUTO,SR,January 25 2011,TUE,6457.0,4454.0,,,10911
13,103 rd ST,AT,COMPTON AV,AUT,THU,January 31 2013,THU,6165.0,6298.0,0.0,0.0,12463
14,103 rd ST,AT,BEACH ST,AUTO,SR,January 25 2011,TUE,7133.0,5360.0,,,12493
15,103 rd ST,AT,SUCCESS AV,MAN,SR,January 10 2013,THU,5786.0,7008.0,0.0,0.0,12794
16,103 rd ST,AT,FIRTH BL,AUTO,SR,October 17 2013,THU,6562.0,6400.0,0.0,0.0,12962
17,103 rd ST,AT,SUCCESS ST,AUTO,SR,January 25 2011,TUE,6557.0,9215.0,,,15772
18,103rd ST,AT,FIRTH BL,MAN,SR,May 19 2014,MON,3682.0,3614.0,0.0,0.0,7396
19,104 th ST,AT,CENTRAL AV,MAN,SR,February 01 2013,FRI,0.0,533.0,0.0,0.0,533
20,104 th ST,AT,DENVER AV,AUTO,SR,October 29 2013,TUE,283.0,281.0,0.0,0.0,564
21,104 th ST,AT,CENTRAL AV,MAN,WED,January 30 2013,WED,378.0,244.0,0.0,0.0,622
22,104 th ST,AT,WESTERN AV,MAN,SR,June 12 2013,WED,421.0,1711.0,0.0,0.0,2132
23,104 th ST,AT,WESTERN AV,MAN,SR,June 12 2013,WED,421.0,1711.0,0.0,0.0,2132
24,104 th ST,AT,WESTERN AV,AUT,SR,May 01 2013,WED,508.0,2163.0,0.0,0.0,2671
25,104 th ST,E/O,AVIATION BL,AUTO,WR,September 27 2011,TUES,1564.0,2044.0,,,3608
26,104 th ST,E/O,AVIATION BL,AUTO,WR,September 27 2011,TUES,1564.0,2044.0,,,3608
27,105 th ST,AT,COMPTON AV,AUTO,SR,June 11 2013,TUE,314.0,294.0,0.0,0.0,608
28,105 th ST,AT,COMPTON AV,AUTO,SR,June 11 2013,TUE,314.0,294.0,0.0,0.0,608
29,105 th ST,AT,CENTRAL AV,MAN,SR,January 30 2013,WED,378.0,244.0,0.0,0.0,622
30,105 th ST,AT,CENTRAL AV,MAN,SR,March 31 2011,THU,193.0,808.0,,,1001
31,105 th ST ,AT,CENTRAL AV,AUTO,SR,June 10 2011,FRI,884.0,3079.0,,,3963
32,11 th ST,AT,ALMA ST,AUTO,SR,June 12 2013,WED,412.0,250.0,0.0,0.0,662
33,11 th ST,AT,OXFORD AV,MAN,HW,January 14 2014,TUE,1673.0,1008.0,0.0,0.0,2681
34,11 th ST,AT,OXFORD AV,AUTO ,HW,November 25 2013,MON,2414.0,1357.0,0.0,0.0,3771
35,11 th ST,AT,OXFORD AV,AUTO,HW,February 22 2014,SAT,2152.0,1695.0,0.0,0.0,3847
36,111 th ST,AT,FIGUEROA ST,MAN,SR,January 04 2011,TUE,38.0,,,,38
37,112th ST,AT,WILMINGTON AV,AUTO,SR,May 12 2014,MON,909.0,777.0,0.0,0.0,1686
