,the_geom,bldgsqft,blklot,block_num,cie,from_st,landuse,landval,lot_num,mapblklot,med,mips,mixed_use,pdr,restype,resunits,retail,st_area_sh,st_length_,st_type,street,strucval,to_st,total_uses,usetype,visitor,yrbuilt
0,"MULTIPOLYGON (((-122.41912043183999 37.805784888794555, -122.41881526560783 37.80582382905669, -122.4187975885464 37.805735682518346, -122.41910254725589 37.80569676910402, -122.41912043183999 37.805784888794555)))",4871,0027001,27,0,715,RESIDENT,1905896,001,0027001,0,0,RESIDENT,0,APTS,3,0,2901.11802629,243.530926248,ST,NORTH POINT,1270596,,0,F,0,1950
1,"MULTIPOLYGON (((-122.41922939565688 37.805458052866236, -122.41924590450799 37.80553939438368, -122.41907503193971 37.80556119868806, -122.41877039304215 37.8056000716906, -122.418754076019 37.805518705365714, -122.41922939565688 37.805458052866236)))",3480,0027001A,27,0,2647,RESIDENT,1886135,001A,0027001A,0,0,RESIDENT,0,FLATS,2,2128,4173.40634216,338.227484574,ST,LEAVENWORTH,1617722,,2128,F,0,1934
2,"MULTIPOLYGON (((-122.41921037751696 37.805390939064424, -122.41921563848237 37.80539026766202, -122.41922939565688 37.805458052866236, -122.418754076019 37.805518705365714, -122.41874047777786 37.805450900404914, -122.41893698144933 37.80542582629916, -122.4190395052799 37.80541274331801, -122.41912494199026 37.805401841663326, -122.41921037751696 37.805390939064424)))",3370,0027001B,27,0,2639,RESIDENT,413338,001B,0027001B,0,0,RESIDENT,0,FLATS,2,0,3476.55617513,328.125269518,ST,LEAVENWORTH,373460,,0,F,0,1940
3,"MULTIPOLYGON (((-122.41907503193971 37.80556119868806, -122.41908879015294 37.805628983888035, -122.41878399022576 37.805667877565355, -122.41877039304215 37.8056000716906, -122.41907503193971 37.80556119868806)))",3230,0027001C,27,0,2653,RESIDENT,69216,001C,0027001C,0,0,RESIDENT,0,FLATS,2,0,2229.15169792,228.331206863,ST,LEAVENWORTH,108003,,0,F,0,1950
4,"MULTIPOLYGON (((-122.41908879015294 37.805628983888035, -122.41910254725589 37.80569676910402, -122.4187975885464 37.805735682518346, -122.41878399022576 37.805667877565355, -122.41908879015294 37.805628983888035)))",3273,0027001D,27,0,2659,RESIDENT,437992,001D,0027001D,0,0,RESIDENT,0,FLATS,2,0,2230.30471429,228.424281237,ST,LEAVENWORTH,420740,,0,F,0,1950
5,"MULTIPOLYGON (((-122.4189179443713 37.80533089864949, -122.41893698144933 37.80542582629916, -122.41874047777786 37.805450900404914, -122.41872143983255 37.805355973643316, -122.41882396476332 37.80534289173168, -122.4189179443713 37.80533089864949)))",2400,0027002,27,0,2633,RESIDENT,74682,002,0027002,0,0,RESIDENT,0,FLATS,2,0,2012.49772671,185.00041789,ST,LEAVENWORTH,99450,,0,F,0,1938
6,"MULTIPOLYGON (((-122.41882396476332 37.80534289173168, -122.41872143983255 37.805355973643316, -122.4186655213799 37.80507713360344, -122.41876805122203 37.80506408049255, -122.41882396476332 37.80534289173168)))",3900,0027002B,27,0,704,RESIDENT,147726,002B,0027002B,0,0,RESIDENT,0,APTS,3,0,3084.14873646,265.608698294,ST,BAY,189988,,0,F,0,1940
7,"MULTIPOLYGON (((-122.41896456554575 37.80503906292524, -122.4190395052799 37.80541274331801, -122.41893698144933 37.80542582629916, -122.4189179443713 37.80533089864949, -122.41886203574943 37.80505211530621, -122.41896456554575 37.80503906292524)))",6102,0027004,27,0,716A,RESIDENT,500988,004,0027004,0,2184,RESIDENT,0,APTS,6,0,4133.50145787,335.566380948,ST,BAY,496412,,2184,A5,0,1912
8,"MULTIPOLYGON (((-122.41905000587197 37.8050281855912, -122.41912494199026 37.805401841663326, -122.4190395052799 37.80541274331801, -122.41896456554575 37.80503906292524, -122.41905000587197 37.8050281855912)))",5771,0027005,27,0,726,RESIDENT,106172,005,0027005,0,750,RESIDENT,0,APTS,4,0,3444.31508395,325.545850561,ST,BAY,112062,,750,A5,0,1900
9,"MULTIPOLYGON (((-122.41913544730859 37.80501730817674, -122.41918317621483 37.80525530407452, -122.41921037751696 37.805390939064424, -122.41912494199026 37.805401841663326, -122.41905000587197 37.8050281855912, -122.41913544730859 37.80501730817674)))",2638,0027006,27,0,730,RESIDENT,618186,006,0027006,0,0,RESIDENT,0,FLATS,2,0,3444.08733672,325.527662018,ST,BAY,264935,,0,F,0,1914
10,"MULTIPOLYGON (((-122.419270326285 37.80524420950707, -122.41922259710654 37.80500621364411, -122.41930803735717 37.80499533612308, -122.41938295915999 37.80536891658527, -122.41934806378634 37.80537336872608, -122.41929752366076 37.80537981840844, -122.419270326285 37.80524420950707)))",3175,0027008,27,0,740,RESIDENT,3327234,008,0027008,0,0,RESIDENT,0,SINGLE,1,0,3443.61178077,325.489893549,ST,BAY,1425954,,0,D,0,1900
