,Customer,Address Line 1,Address Line 2,City,State,Zip,Date Enrolled,VAT202 Category,Status,Observation Date,Crash Notification,Conviction Notification,Suspension Notification,Point Insurance Reduction Course Completion Notification,Driver Status Change Notification,License Expiration Notification,Hazardous Material Endorsement Notification,CDL Medical Certification Status Change Notification,Ticket Notification,Drivers Monitored,Latest Driver Add Date,Latest Driver Drop Date,LENS Internet Interface Users
0,''A'' BEST INC,7 PAYNE AVENUE,,N TONAWANDA,NY,14120,06/12/2006,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,N,Y,N,N,N,N,8,01/02/2007,,0
1,A  F FIRE PROTECTION INC,90 OTIS STREET,,WEST BABYLON,NY,11704,04/04/2013,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,N,N,43,05/06/2024,05/06/2024,1
2,A + CONVENIENCE,1450 N. BENSON AVE,,UPLAND,CA,91786,07/09/2019,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,N,N,6,06/13/2022,,1
3,A & A SPRINT ENTERPRISES INC.,72 EAST HOFFMAN AVENUE,,LINDENHURST,NY,11757,08/14/2017,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,N,N,17,05/14/2024,05/14/2024,1
4,A & D ENTRANCES INC,105 WYANDANCH AVENUE,,WYANDANCH,NY,11798,11/26/2019,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,4,01/11/2024,03/31/2023,2
5,A & G DEALERSHIP LLC,270 LINKS DR W,,OCEANSIDE,NY,11572,03/13/2021,PAYING,ACTIVE,06/12/2024,N,Y,Y,Y,Y,Y,N,N,N,0,,,0
6,A & N PETROLEUM CORP,64 HIGHLAND AVE,,NEW ROCHELLE,NY,10801,11/05/2009,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,N,N,5,07/27/2023,12/22/2022,1
7,"A ACE BUS CHARTER, INC.",12423 POPES HEAD RD,,CLIFTON,VA,20124,12/27/2023,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
8,A AND L CESSPOOL SERVICE CORP,38-40 REVIEW AVENUE,,LONGISLAND CITY,NY,11101,12/13/2013,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,N,N,63,04/17/2024,04/17/2024,1
9,A CAPPIONE INC,54 LIBERTY AVE BOX 580,,MASSENA,NY,13662,01/06/2010,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,Y,N,N,0,,,0
10,A GREAT CHOICE LAWN CARE & LANDSCAPING,100 OAKDALE RD,,JOHNSON CITY,NY,13790,08/09/2016,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,36,06/11/2024,05/30/2024,1
11,A J LAWN SPRINKLER CO INC,1173 NEW LOUDON ROAD,,COHOES,NY,12047,05/19/2021,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,N,N,N,24,06/03/2024,04/18/2023,1
12,A J MISSERT INC,1001 CHAMPLAIN ST.,,OGDENSBURG,NY,13669,10/22/2013,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,Y,N,9,10/04/2018,07/07/2022,1
13,A M BRONX BAKING INC,35 COLONIAL PLACE,,MOUNT VERNON,NY,10550,01/06/2012,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,N,N,N,0,,,0
14,A MONTANO CO INC,571 ROUTE 212,,SAUGERTIES,NY,12477,03/23/2012,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,16,07/27/2023,10/30/2023,1
15,A PLUS MOVING SERVICES INC,6422 BUFFALO AVE,,NIAGARA FALLS,NY,14304,08/05/2010,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,N,N,10,10/27/2014,,0
