,License Num,DBA Indicator,Business Name,Business Address, Note,City,State,Zip Code ,License Expiration,License Type,New Georeferenced Column
0,M0890,,JAGUAR LAND ROVER NA LLC,100 JAGUAR LAND ROVER WAY,,MAHWAH,NJ,07495,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-74.161650014 41.11089598)
1,M0824,DBA,TURTLE TOP,1607 S MAIN ST,,GOSHEN,IN,46526,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-85.828719565 41.56775638)
2,M1050,,MV AGUSTA MOTORCYCLE NORTH AMERICA INC,38429 INNOVATION CT,,MURRIETA,CA,92563-2570,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-117.134179975 33.560200996)
3,M0977,,ALCOM LLC,6 MILLENNIUM DR,,WINSLOW,ME,04989,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-69.658440514 44.510114661)
4,M0504,,"MACK TRUCKS, INC",7900 NATIONAL SERVICE RD,,GREENSBORO,NC,27409,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-79.967313474 36.082052889)
5,M0955,,REV RECREATION GROUP INC,1031 US 224 E,BOX 31,DECATUR,IN,46733,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-84.933991007 40.829797339)
6,M1046,,AMERICAN CARGO GROUP TRAILERS  LLC,6 BANKS AVE,,MCADOO,PA,18237-2507,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-75.977033726 40.903690991)
7,M0990,,ROYAL ENFIELD NORTH AMERICA LIMITED,226 NORTH WATER ST,,MILWAUKEE,WI,53202,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-87.908812011 43.033044996)
8,M1049,,AUTOMOBILI PININFARINA AMERICAS INC,275 REX BLVD,,AUBURN HILLS,MI,48326-2954,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-83.236281026 42.638091982)
9,M0732,,GULF STREAM COACH INC,503 S OAKLAND,,NAPPANEE,IN,46550,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-85.981452971 41.437097984)
10,M1059,,VINFAST USA DISTRIBUTION LLC,12777 W JEFFERSON BLVD SUITE A101,,LOS ANGELES,CA,90066,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-118.418137002 33.978645007)
11,M0907,,FCA US LLC,1000 CHRYSLER DR,,AUBURN HILLS,MI,48326-2757,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-83.229849005 42.654596997)
12,M1044,,CFMOTO POWERSPORTS INC,3555 HOLLY LN N STE 30,,PLYMOUTH,MN,55447-1285,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-93.497586014 45.021421986)
13,M0993,DBA,DBA SSR MOTORSPORTS,13220 MOLETTE ST,,SANTA FE SPRINGS,CA,90670-5526,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-118.05063296 33.89080702)
