,Year,Gender,Cohort,State,Drivers,Unnamed Column
0,2020,Male,Under 16,Alabama,0,
1,2020,Male,Under 16,Alaska,0,
2,2020,Male,Under 16,Arizona,0,
3,2020,Male,Under 16,Arkansas,0,
4,2020,Male,Under 16,California,0,
5,2020,Male,Under 16,Colorado,0,
6,2020,Male,Under 16,Connecticut,0,
7,2020,Male,Under 16,Delaware,0,
8,2020,Male,Under 16,District of Columbia,0,
9,2020,Male,Under 16,Florida,0,
10,2020,Male,Under 16,Georgia,0,
11,2020,Male,Under 16,Hawaii,0,
12,2020,Male,Under 16,Idaho,1844,
13,2020,Male,Under 16,Illinois,0,
14,2020,Male,Under 16,Indiana,0,
15,2020,Male,Under 16,Iowa,0,
16,2020,Male,Under 16,Kansas,4454,
17,2020,Male,Under 16,Kentucky,0,
18,2020,Male,Under 16,Louisiana,0,
19,2020,Male,Under 16,Maine,0,
20,2020,Male,Under 16,Maryland,0,
21,2020,Male,Under 16,Massachusetts,0,
22,2020,Male,Under 16,Michigan,0,
23,2020,Male,Under 16,Minnesota,0,
24,2020,Male,Under 16,Mississippi,0,
25,2020,Male,Under 16,Missouri,0,
26,2020,Male,Under 16,Montana,1186,
27,2020,Male,Under 16,Nebraska,0,
28,2020,Male,Under 16,Nevada,0,
29,2020,Male,Under 16,New Hampshire,0,
30,2020,Male,Under 16,New Jersey,0,
31,2020,Male,Under 16,New Mexico,0,
32,2020,Male,Under 16,New York,0,
33,2020,Male,Under 16,North Carolina,0,
34,2020,Male,Under 16,North Dakota,1524,
35,2020,Male,Under 16,Ohio,0,
36,2020,Male,Under 16,Oklahoma,4359,
37,2020,Male,Under 16,Oregon,0,
38,2020,Male,Under 16,Pennsylvania,0,
39,2020,Male,Under 16,Rhode Island,0,
40,2020,Male,Under 16,South Carolina,11228,
41,2020,Male,Under 16,South Dakota,5882,
42,2020,Male,Under 16,Tennessee,0,
43,2020,Male,Under 16,Texas,0,
44,2020,Male,Under 16,Utah,0,
45,2020,Male,Under 16,Vermont,0,
46,2020,Male,Under 16,Virginia,0,
47,2020,Male,Under 16,Washington,0,
48,2020,Male,Under 16,West Virginia,0,
49,2020,Male,Under 16,Wisconsin,0,
