,Year,Gender,Cohort,State,Drivers
0,2017,Male,Under 16,Alabama,0
1,2017,Male,Under 16,Alaska,0
2,2017,Male,Under 16,Arizona,0
3,2017,Male,Under 16,Arkansas,0
4,2017,Male,Under 16,California,0
5,2017,Male,Under 16,Colorado,0
6,2017,Male,Under 16,Connecticut,0
7,2017,Male,Under 16,Delaware,0
8,2017,Male,Under 16,District of Columbia,0
9,2017,Male,Under 16,Florida,0
10,2017,Male,Under 16,Georgia,0
11,2017,Male,Under 16,Hawaii,0
12,2017,Male,Under 16,Idaho,8286
13,2017,Male,Under 16,Illinois,0
14,2017,Male,Under 16,Indiana,0
15,2017,Male,Under 16,Iowa,0
16,2017,Male,Under 16,Kansas,14251
17,2017,Male,Under 16,Kentucky,0
18,2017,Male,Under 16,Louisiana,0
19,2017,Male,Under 16,Maine,0
20,2017,Male,Under 16,Maryland,0
21,2017,Male,Under 16,Massachusetts,0
22,2017,Male,Under 16,Michigan,0
23,2017,Male,Under 16,Minnesota,0
24,2017,Male,Under 16,Mississippi,0
25,2017,Male,Under 16,Missouri,0
26,2017,Male,Under 16,Montana,1207
27,2017,Male,Under 16,Nebraska,0
28,2017,Male,Under 16,Nevada,0
29,2017,Male,Under 16,New Hampshire,0
30,2017,Male,Under 16,New Jersey,0
31,2017,Male,Under 16,New Mexico,0
32,2017,Male,Under 16,New York,0
33,2017,Male,Under 16,North Carolina,0
34,2017,Male,Under 16,North Dakota,1298
35,2017,Male,Under 16,Ohio,0
36,2017,Male,Under 16,Oklahoma,0
37,2017,Male,Under 16,Oregon,0
38,2017,Male,Under 16,Pennsylvania,0
39,2017,Male,Under 16,Rhode Island,0
40,2017,Male,Under 16,South Carolina,12986
41,2017,Male,Under 16,South Dakota,0
42,2017,Male,Under 16,Tennessee,0
43,2017,Male,Under 16,Texas,0
44,2017,Male,Under 16,Utah,0
45,2017,Male,Under 16,Vermont,0
46,2017,Male,Under 16,Virginia,0
47,2017,Male,Under 16,Washington,0
48,2017,Male,Under 16,West Virginia,0
49,2017,Male,Under 16,Wisconsin,0
50,2017,Male,Under 16,Wyoming,0
51,2017,Male,16,Alabama,23637
52,2017,Male,16,Alaska,1352
53,2017,Male,16,Arizona,10913
54,2017,Male,16,Arkansas,7631
55,2017,Male,16,California,34362
56,2017,Male,16,Colorado,9029
57,2017,Male,16,Connecticut,3547
58,2017,Male,16,Delaware,3608
59,2017,Male,16,District of Columbia,0
60,2017,Male,16,Florida,25336
61,2017,Male,16,Georgia,17958
62,2017,Male,16,Hawaii,1026
63,2017,Male,16,Idaho,8309
64,2017,Male,16,Illinois,31407
65,2017,Male,16,Indiana,9758
66,2017,Male,16,Iowa,16653
67,2017,Male,16,Kansas,12213
68,2017,Male,16,Kentucky,9
69,2017,Male,16,Louisiana,12353
70,2017,Male,16,Maine,2235
71,2017,Male,16,Maryland,3698
72,2017,Male,16,Massachusetts,993
73,2017,Male,16,Michigan,23431
74,2017,Male,16,Minnesota,12736
75,2017,Male,16,Mississippi,10537
76,2017,Male,16,Missouri,16895
77,2017,Male,16,Montana,3418
78,2017,Male,16,Nebraska,7439
79,2017,Male,16,Nevada,2642
80,2017,Male,16,New Hampshire,3289
81,2017,Male,16,New Jersey,70
82,2017,Male,16,New Mexico,3944
83,2017,Male,16,New York,6125
84,2017,Male,16,North Carolina,3902
85,2017,Male,16,North Dakota,2521
86,2017,Male,16,Ohio,25146
87,2017,Male,16,Oklahoma,15025
88,2017,Male,16,Oregon,7273
89,2017,Male,16,Pennsylvania,8589
90,2017,Male,16,Rhode Island,0
91,2017,Male,16,South Carolina,19699
92,2017,Male,16,South Dakota,3990
93,2017,Male,16,Tennessee,24655
94,2017,Male,16,Texas,40750
95,2017,Male,16,Utah,12223
96,2017,Male,16,Vermont,1235
97,2017,Male,16,Virginia,8933
98,2017,Male,16,Washington,14921
99,2017,Male,16,West Virginia,8693
